ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0010494	cytoplasmic stress granule	33	6	Tb927.10.14550,Tb927.10.1510,Tb927.10.1540,Tb927.11.14220,Tb927.5.1490,Tb927.6.640,	18.2	15.05	19.34	2.25703088777e-06	0.000123272187938	0.000257301521206
GO:0035770	ribonucleoprotein granule	35	6	Tb927.10.14550,Tb927.10.1510,Tb927.10.1540,Tb927.11.14220,Tb927.5.1490,Tb927.6.640,	17.1	14.19	18.0	3.24400494574e-06	0.000123272187938	0.000369816563814
GO:0036464	cytoplasmic ribonucleoprotein granule	35	6	Tb927.10.14550,Tb927.10.1510,Tb927.10.1540,Tb927.11.14220,Tb927.5.1490,Tb927.6.640,	17.1	14.19	18.0	3.24400494574e-06	0.000123272187938	0.000369816563814
GO:0030286	dynein complex	39	5	Tb927.11.11220,Tb927.11.3250,Tb927.3.930,Tb927.4.870,Tb927.8.3250,	12.8	10.61	12.64	9.632002363e-05	0.00274512067345	0.0109804826938
GO:0005829	cytosol	118	7	Tb927.10.13560,Tb927.10.2890,Tb927.10.5140,Tb927.11.2500,Tb927.3.4020,Tb927.4.800,Tb927.8.2210,	5.9	4.91	5.49	0.000532377821866	0.0121382143386	0.0606910716928
GO:0005875	microtubule associated complex	93	6	Tb927.11.11220,Tb927.11.3250,Tb927.3.930,Tb927.4.870,Tb927.8.3250,Tb927.8.4950,	6.5	5.34	5.95	0.000868369923978	0.0164990285556	0.0989941713335
GO:1902494	catalytic complex	227	9	Tb927.10.2890,Tb927.11.11220,Tb927.11.16720,Tb927.11.3250,Tb927.11.760,Tb927.11.9980,Tb927.3.930,Tb927.4.870,Tb927.8.3250,	4.0	3.28	3.63	0.00161477601798	0.0262977808643	0.18408446605
GO:0099568	cytoplasmic region	1231	25	Tb927.10.10250,Tb927.10.13560,Tb927.10.14540,Tb927.10.2890,Tb927.10.5140,Tb927.10.8900,Tb927.11.10060,Tb927.11.11220,Tb927.11.2500,Tb927.11.3250,Tb927.11.3650,Tb927.11.7560,Tb927.11.760,Tb927.11.9980,Tb927.3.930,Tb927.4.870,Tb927.6.1800,Tb927.8.2520,Tb927.8.3020,Tb927.8.3250,Tb927.8.4210,Tb927.8.4950,Tb927.8.510,Tb927.8.870,Tb927.9.14570,	2.0	1.68	1.95	0.00494793850052	0.0705081236325	0.56406498906
GO:0015630	microtubule cytoskeleton	386	11	Tb927.10.10280,Tb927.11.11220,Tb927.11.2500,Tb927.11.3250,Tb927.11.7560,Tb927.11.9980,Tb927.3.930,Tb927.4.870,Tb927.8.3250,Tb927.8.4210,Tb927.8.4950,	2.8	2.36	2.58	0.00659511994664	0.0707717669284	0.751843673917
GO:0032838	plasma membrane bounded cell projection cytoplasm	1194	24	Tb927.10.10250,Tb927.10.13560,Tb927.10.14540,Tb927.10.2890,Tb927.10.5140,Tb927.10.8900,Tb927.11.10060,Tb927.11.11220,Tb927.11.2500,Tb927.11.3250,Tb927.11.3650,Tb927.11.7560,Tb927.11.760,Tb927.11.9980,Tb927.3.930,Tb927.4.870,Tb927.6.1800,Tb927.8.2520,Tb927.8.3020,Tb927.8.3250,Tb927.8.4210,Tb927.8.510,Tb927.8.870,Tb927.9.14570,	2.0	1.66	1.91	0.00682885470361	0.0707717669284	0.778489436212
