ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0003729	mRNA binding	186	15	Tb927.10.14140,Tb927.10.14550,Tb927.10.15310,Tb927.10.1540,Tb927.11.14220,Tb927.11.16550,Tb927.11.6440,Tb927.2.3880,Tb927.6.4770,Tb927.6.640,Tb927.7.3330,Tb927.8.4500,Tb927.9.11050,Tb927.9.4080,Tb927.9.9520,	8.1	6.67	8.34	4.83485960011e-09	8.12256412818e-07	8.12256412818e-07
GO:0003674	molecular function	4127	73	Tb927.1.4010,Tb927.10.10280,Tb927.10.13560,Tb927.10.14140,Tb927.10.14550,Tb927.10.15310,Tb927.10.1540,Tb927.10.2890,Tb927.10.5140,Tb927.10.6900,Tb927.10.6920,Tb927.10.6960,Tb927.10.8900,Tb927.11.10060,Tb927.11.1090,Tb927.11.1100,Tb927.11.11220,Tb927.11.12410,Tb927.11.1340,Tb927.11.14220,Tb927.11.16550,Tb927.11.16720,Tb927.11.17000,Tb927.11.2210,Tb927.11.2500,Tb927.11.2650,Tb927.11.3250,Tb927.11.3650,Tb927.11.4610,Tb927.11.6440,Tb927.11.7380,Tb927.11.7560,Tb927.11.760,Tb927.11.9980,Tb927.2.1820,Tb927.2.2340,Tb927.2.3880,Tb927.3.4020,Tb927.3.5250,Tb927.3.590,Tb927.3.930,Tb927.4.310,Tb927.4.800,Tb927.4.870,Tb927.5.1090,Tb927.5.1490,Tb927.5.2290,Tb927.5.3250,Tb927.5.3620,Tb927.5.900,Tb927.6.1800,Tb927.6.2030,Tb927.6.4770,Tb927.6.640,Tb927.7.2680,Tb927.7.3330,Tb927.7.960,Tb927.8.2210,Tb927.8.2520,Tb927.8.3250,Tb927.8.3620,Tb927.8.3630,Tb927.8.4210,Tb927.8.4500,Tb927.8.480,Tb927.8.4950,Tb927.8.870,Tb927.9.11050,Tb927.9.15290,Tb927.9.4080,Tb927.9.4190,Tb927.9.5770,Tb927.9.9520,	1.8	1.46	3.11	6.12896760873e-07	5.14833279133e-05	0.000102966655827
GO:0097159	organic cyclic compound binding	1556	38	Tb927.10.13560,Tb927.10.14140,Tb927.10.14550,Tb927.10.15310,Tb927.10.1540,Tb927.10.5140,Tb927.11.11220,Tb927.11.12410,Tb927.11.14220,Tb927.11.16550,Tb927.11.2650,Tb927.11.3250,Tb927.11.3650,Tb927.11.6440,Tb927.11.7380,Tb927.11.9980,Tb927.2.1820,Tb927.2.3880,Tb927.3.5250,Tb927.3.930,Tb927.4.870,Tb927.5.1090,Tb927.5.1490,Tb927.5.2290,Tb927.6.2030,Tb927.6.4770,Tb927.6.640,Tb927.7.2680,Tb927.7.3330,Tb927.7.960,Tb927.8.2520,Tb927.8.3250,Tb927.8.4500,Tb927.8.4950,Tb927.8.870,Tb927.9.11050,Tb927.9.4080,Tb927.9.9520,	2.4	2.02	2.76	4.0101974894e-06	0.000168428294555	0.00067371317822
GO:1901363	heterocyclic compound binding	1556	38	Tb927.10.13560,Tb927.10.14140,Tb927.10.14550,Tb927.10.15310,Tb927.10.1540,Tb927.10.5140,Tb927.11.11220,Tb927.11.12410,Tb927.11.14220,Tb927.11.16550,Tb927.11.2650,Tb927.11.3250,Tb927.11.3650,Tb927.11.6440,Tb927.11.7380,Tb927.11.9980,Tb927.2.1820,Tb927.2.3880,Tb927.3.5250,Tb927.3.930,Tb927.4.870,Tb927.5.1090,Tb927.5.1490,Tb927.5.2290,Tb927.6.2030,Tb927.6.4770,Tb927.6.640,Tb927.7.2680,Tb927.7.3330,Tb927.7.960,Tb927.8.2520,Tb927.8.3250,Tb927.8.4500,Tb927.8.4950,Tb927.8.870,Tb927.9.11050,Tb927.9.4080,Tb927.9.9520,	2.4	2.02	2.76	4.0101974894e-06	0.000168428294555	0.00067371317822
GO:0003723	RNA binding	455	18	Tb927.10.14140,Tb927.10.14550,Tb927.10.15310,Tb927.10.1540,Tb927.11.14220,Tb927.11.16550,Tb927.11.6440,Tb927.2.3880,Tb927.3.5250,Tb927.5.1490,Tb927.6.4770,Tb927.6.640,Tb927.7.2680,Tb927.7.3330,Tb927.8.4500,Tb927.9.11050,Tb927.9.4080,Tb927.9.9520,	4.0	3.27	3.93	6.56972715743e-06	0.00022074283249	0.00110371416245
GO:0043167	ion binding	1177	30	Tb927.10.13560,Tb927.10.14140,Tb927.10.14550,Tb927.10.2890,Tb927.10.5140,Tb927.10.6920,Tb927.10.6960,Tb927.11.11220,Tb927.11.12410,Tb927.11.16550,Tb927.11.2650,Tb927.11.3250,Tb927.11.3650,Tb927.11.7380,Tb927.11.9980,Tb927.2.1820,Tb927.3.5250,Tb927.3.930,Tb927.4.870,Tb927.5.1090,Tb927.5.2290,Tb927.6.2030,Tb927.7.2680,Tb927.7.960,Tb927.8.2520,Tb927.8.3250,Tb927.8.4950,Tb927.8.870,Tb927.9.4080,Tb927.9.9520,	2.5	2.11	2.67	3.05083899812e-05	0.000854234919473	0.00512540951684
GO:0003824	catalytic activity	1989	42	Tb927.1.4010,Tb927.10.13560,Tb927.10.14140,Tb927.10.14550,Tb927.10.2890,Tb927.10.5140,Tb927.10.6900,Tb927.10.8900,Tb927.11.10060,Tb927.11.1090,Tb927.11.1100,Tb927.11.11220,Tb927.11.12410,Tb927.11.2210,Tb927.11.2500,Tb927.11.2650,Tb927.11.3250,Tb927.11.3650,Tb927.11.7380,Tb927.11.760,Tb927.11.9980,Tb927.2.1820,Tb927.2.2340,Tb927.3.4020,Tb927.3.930,Tb927.4.310,Tb927.4.870,Tb927.5.1090,Tb927.5.3620,Tb927.5.900,Tb927.6.1800,Tb927.6.2030,Tb927.6.640,Tb927.7.960,Tb927.8.2210,Tb927.8.2520,Tb927.8.3250,Tb927.8.480,Tb927.8.4950,Tb927.8.870,Tb927.9.4190,Tb927.9.5770,	2.1	1.75	2.38	4.11698013373e-05	0.000988075232096	0.00691652662467
GO:0005488	binding	2806	52	Tb927.10.10280,Tb927.10.13560,Tb927.10.14140,Tb927.10.14550,Tb927.10.15310,Tb927.10.1540,Tb927.10.2890,Tb927.10.5140,Tb927.10.6920,Tb927.10.6960,Tb927.11.11220,Tb927.11.12410,Tb927.11.1340,Tb927.11.14220,Tb927.11.16550,Tb927.11.16720,Tb927.11.17000,Tb927.11.2650,Tb927.11.3250,Tb927.11.3650,Tb927.11.6440,Tb927.11.7380,Tb927.11.7560,Tb927.11.9980,Tb927.2.1820,Tb927.2.3880,Tb927.3.4020,Tb927.3.5250,Tb927.3.930,Tb927.4.310,Tb927.4.800,Tb927.4.870,Tb927.5.1090,Tb927.5.1490,Tb927.5.2290,Tb927.5.3250,Tb927.6.2030,Tb927.6.4770,Tb927.6.640,Tb927.7.2680,Tb927.7.3330,Tb927.7.960,Tb927.8.2520,Tb927.8.3250,Tb927.8.4210,Tb927.8.4500,Tb927.8.4950,Tb927.8.870,Tb927.9.11050,Tb927.9.15290,Tb927.9.4080,Tb927.9.9520,	1.9	1.53	2.22	0.000100113583825	0.00210238526033	0.0168190820826
GO:0003777	microtubule motor activity	86	6	Tb927.11.11220,Tb927.11.3250,Tb927.3.930,Tb927.4.870,Tb927.8.3250,Tb927.8.4950,	7.0	5.77	6.48	0.000573083962252	0.00962265860294	0.0962781056583
GO:0032559	adenyl ribonucleotide binding	646	18	Tb927.10.13560,Tb927.10.14550,Tb927.10.5140,Tb927.11.11220,Tb927.11.12410,Tb927.11.2650,Tb927.11.3250,Tb927.2.1820,Tb927.3.930,Tb927.4.870,Tb927.5.1090,Tb927.5.2290,Tb927.6.2030,Tb927.7.960,Tb927.8.2520,Tb927.8.3250,Tb927.8.4950,Tb927.8.870,	2.8	2.31	2.66	0.00061858162123	0.00962265860294	0.103921712367
