ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0042254	ribosome biogenesis	93	32	Tb927.1.1370,Tb927.1.2580,Tb927.1.880,Tb927.10.10010,Tb927.10.14330,Tb927.10.14680,Tb927.10.15380,Tb927.10.170,Tb927.10.7500,Tb927.11.10480,Tb927.11.13930,Tb927.11.3070,Tb927.11.460,Tb927.11.6790,Tb927.11.9080,Tb927.2.4550,Tb927.3.3590,Tb927.4.1900,Tb927.4.3840,Tb927.6.1900,Tb927.6.3210,Tb927.6.670,Tb927.8.1410,Tb927.8.2000,Tb927.8.3750,Tb927.8.5490,Tb927.8.900,Tb927.9.14410,Tb927.9.15060,Tb927.9.15330,Tb927.9.2900,Tb927.9.8200,	34.4	8.95	14.58	1.06418030345e-22	5.4592449567e-20	5.4592449567e-20
GO:0022613	ribonucleoprotein complex biogenesis	102	32	Tb927.1.1370,Tb927.1.2580,Tb927.1.880,Tb927.10.10010,Tb927.10.14330,Tb927.10.14680,Tb927.10.15380,Tb927.10.170,Tb927.10.7500,Tb927.11.10480,Tb927.11.13930,Tb927.11.3070,Tb927.11.460,Tb927.11.6790,Tb927.11.9080,Tb927.2.4550,Tb927.3.3590,Tb927.4.1900,Tb927.4.3840,Tb927.6.1900,Tb927.6.3210,Tb927.6.670,Tb927.8.1410,Tb927.8.2000,Tb927.8.3750,Tb927.8.5490,Tb927.8.900,Tb927.9.14410,Tb927.9.15060,Tb927.9.15330,Tb927.9.2900,Tb927.9.8200,	31.4	8.16	12.69	2.75502940607e-21	7.06665042658e-19	1.41333008532e-18
GO:0034660	ncRNA metabolic process	122	34	Tb927.1.1370,Tb927.1.2580,Tb927.10.12980,Tb927.10.14330,Tb927.10.15380,Tb927.10.170,Tb927.10.7500,Tb927.10.9020,Tb927.11.10480,Tb927.11.13930,Tb927.11.15830,Tb927.11.1990,Tb927.11.3730,Tb927.11.3890,Tb927.11.460,Tb927.11.6790,Tb927.11.9310,Tb927.11.9640,Tb927.2.4550,Tb927.3.3590,Tb927.4.1900,Tb927.4.2310,Tb927.4.3840,Tb927.4.4030,Tb927.6.1900,Tb927.6.3210,Tb927.6.670,Tb927.8.1600,Tb927.8.2000,Tb927.8.3750,Tb927.8.5490,Tb927.8.900,Tb927.9.15330,Tb927.9.2900,	27.9	7.25	10.78	1.05772433705e-20	1.80870861636e-18	5.42612584908e-18
GO:0034470	ncRNA processing	87	29	Tb927.1.1370,Tb927.1.2580,Tb927.10.12980,Tb927.10.14330,Tb927.10.15380,Tb927.10.170,Tb927.10.7500,Tb927.10.9020,Tb927.11.10480,Tb927.11.13930,Tb927.11.15830,Tb927.11.3890,Tb927.11.460,Tb927.11.6790,Tb927.11.9310,Tb927.2.4550,Tb927.3.3590,Tb927.4.1900,Tb927.4.3840,Tb927.4.4030,Tb927.6.1900,Tb927.6.3210,Tb927.6.670,Tb927.8.2000,Tb927.8.3750,Tb927.8.5490,Tb927.8.900,Tb927.9.15330,Tb927.9.2900,	33.3	8.67	13.74	3.25129749393e-20	4.16978903596e-18	1.66791561438e-17
GO:0006364	rRNA processing	52	23	Tb927.1.1370,Tb927.1.2580,Tb927.10.14330,Tb927.10.15380,Tb927.10.170,Tb927.10.7500,Tb927.11.10480,Tb927.11.13930,Tb927.11.460,Tb927.11.6790,Tb927.2.4550,Tb927.3.3590,Tb927.4.1900,Tb927.4.3840,Tb927.6.1900,Tb927.6.3210,Tb927.6.670,Tb927.8.2000,Tb927.8.3750,Tb927.8.5490,Tb927.8.900,Tb927.9.15330,Tb927.9.2900,	44.2	11.51	21.41	1.57218869423e-19	1.61306560029e-17	8.06532800143e-17
GO:0016072	rRNA metabolic process	55	23	Tb927.1.1370,Tb927.1.2580,Tb927.10.14330,Tb927.10.15380,Tb927.10.170,Tb927.10.7500,Tb927.11.10480,Tb927.11.13930,Tb927.11.460,Tb927.11.6790,Tb927.2.4550,Tb927.3.3590,Tb927.4.1900,Tb927.4.3840,Tb927.6.1900,Tb927.6.3210,Tb927.6.670,Tb927.8.2000,Tb927.8.3750,Tb927.8.5490,Tb927.8.900,Tb927.9.15330,Tb927.9.2900,	41.8	10.88	19.4	7.49229392964e-19	6.40591130984e-17	3.8435467859e-16
GO:0044085	cellular component biogenesis	240	40	Tb927.1.1370,Tb927.1.2580,Tb927.1.2670,Tb927.1.880,Tb927.10.10010,Tb927.10.14330,Tb927.10.14680,Tb927.10.15180,Tb927.10.15380,Tb927.10.170,Tb927.10.7050,Tb927.10.7500,Tb927.11.10480,Tb927.11.13930,Tb927.11.14950,Tb927.11.1790,Tb927.11.1800,Tb927.11.3070,Tb927.11.460,Tb927.11.6790,Tb927.11.9080,Tb927.2.4550,Tb927.3.3590,Tb927.4.1900,Tb927.4.2560,Tb927.4.3840,Tb927.6.1900,Tb927.6.3210,Tb927.6.670,Tb927.8.1410,Tb927.8.1750,Tb927.8.2000,Tb927.8.3750,Tb927.8.5490,Tb927.8.900,Tb927.9.14410,Tb927.9.15060,Tb927.9.15330,Tb927.9.2900,Tb927.9.8200,	16.7	4.34	5.62	1.36173564821e-15	9.97957696477e-14	6.98570387534e-13
GO:0016070	RNA metabolic process	457	51	Tb927.1.1370,Tb927.1.1620,Tb927.1.2580,Tb927.1.540,Tb927.10.12980,Tb927.10.13310,Tb927.10.14330,Tb927.10.15370,Tb927.10.15380,Tb927.10.170,Tb927.10.6220,Tb927.10.7500,Tb927.10.9020,Tb927.10.9130,Tb927.11.10420,Tb927.11.10480,Tb927.11.13930,Tb927.11.14310,Tb927.11.15830,Tb927.11.1990,Tb927.11.3730,Tb927.11.3890,Tb927.11.460,Tb927.11.6670,Tb927.11.6790,Tb927.11.9310,Tb927.11.9640,Tb927.2.4550,Tb927.3.3590,Tb927.4.1900,Tb927.4.2310,Tb927.4.3840,Tb927.4.4030,Tb927.5.1150,Tb927.6.1900,Tb927.6.2420,Tb927.6.3210,Tb927.6.670,Tb927.7.1510,Tb927.8.1600,Tb927.8.2000,Tb927.8.2500,Tb927.8.3750,Tb927.8.5090,Tb927.8.5490,Tb927.8.900,Tb927.9.10100,Tb927.9.13130,Tb927.9.14410,Tb927.9.15330,Tb927.9.2900,	11.2	2.9	3.58	2.29575145535e-12	1.47215062074e-10	1.17772049659e-09
GO:0010467	gene expression	650	62	Tb927.1.1370,Tb927.1.2580,Tb927.1.540,Tb927.10.10010,Tb927.10.12980,Tb927.10.13310,Tb927.10.13730,Tb927.10.14330,Tb927.10.15370,Tb927.10.15380,Tb927.10.170,Tb927.10.4640,Tb927.10.6220,Tb927.10.7500,Tb927.10.7710,Tb927.10.9020,Tb927.10.9130,Tb927.11.10420,Tb927.11.10480,Tb927.11.13930,Tb927.11.14310,Tb927.11.15430,Tb927.11.15830,Tb927.11.1990,Tb927.11.2300,Tb927.11.3730,Tb927.11.3890,Tb927.11.4530,Tb927.11.460,Tb927.11.5840,Tb927.11.6790,Tb927.11.9310,Tb927.11.9640,Tb927.2.3780,Tb927.2.4550,Tb927.3.2900,Tb927.3.3590,Tb927.4.1900,Tb927.4.2310,Tb927.4.3590,Tb927.4.3840,Tb927.4.4030,Tb927.5.1150,Tb927.6.1900,Tb927.6.3210,Tb927.6.670,Tb927.7.5760,Tb927.8.1600,Tb927.8.2000,Tb927.8.3750,Tb927.8.5090,Tb927.8.5490,Tb927.8.6750,Tb927.8.900,Tb927.9.10100,Tb927.9.10710,Tb927.9.13520,Tb927.9.14410,Tb927.9.15330,Tb927.9.2900,Tb927.9.5150,Tb927.9.8950,	9.5	2.48	3.07	7.52336450144e-12	4.28831776582e-10	3.85948598924e-09
GO:0006396	RNA processing	287	35	Tb927.1.1370,Tb927.1.2580,Tb927.10.12980,Tb927.10.14330,Tb927.10.15380,Tb927.10.170,Tb927.10.6220,Tb927.10.7500,Tb927.10.9020,Tb927.10.9130,Tb927.11.10480,Tb927.11.13930,Tb927.11.14310,Tb927.11.15830,Tb927.11.3890,Tb927.11.460,Tb927.11.6790,Tb927.11.9310,Tb927.2.4550,Tb927.3.3590,Tb927.4.1900,Tb927.4.3840,Tb927.4.4030,Tb927.5.1150,Tb927.6.1900,Tb927.6.3210,Tb927.6.670,Tb927.8.2000,Tb927.8.3750,Tb927.8.5490,Tb927.8.900,Tb927.9.10100,Tb927.9.14410,Tb927.9.15330,Tb927.9.2900,	12.2	3.17	3.8	8.69344551026e-10	4.45973754676e-08	4.45973754676e-07
