ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0009897	external side of plasma membrane	2	2	Tb927.11.3610,Tb927.11.3620,	100.0	109.56	inf	8.21418875666e-05	0.0071463442183	0.0071463442183
GO:0009986	cell surface	35	4	Tb927.11.3610,Tb927.11.3620,Tb927.7.6570,Tb927.9.15570,	11.4	12.52	14.78	0.000269452635272	0.0117211896343	0.0234423792687
GO:0016021	integral component of membrane	593	14	Tb927.10.4370,Tb927.10.8470,Tb927.11.3610,Tb927.11.3620,Tb927.11.3630,Tb927.11.9000,Tb927.4.5240,Tb927.5.286b,Tb927.6.170,Tb927.6.180,Tb927.6.200,Tb927.6.800,Tb927.7.5960,Tb927.8.580,	2.4	2.59	3.02	0.000790530263121	0.0171940332229	0.0687761328915
GO:0031224	intrinsic component of membrane	593	14	Tb927.10.4370,Tb927.10.8470,Tb927.11.3610,Tb927.11.3620,Tb927.11.3630,Tb927.11.9000,Tb927.4.5240,Tb927.5.286b,Tb927.6.170,Tb927.6.180,Tb927.6.200,Tb927.6.800,Tb927.7.5960,Tb927.8.580,	2.4	2.59	3.02	0.000790530263121	0.0171940332229	0.0687761328915
GO:0044425	membrane part	779	15	Tb927.10.4370,Tb927.10.8470,Tb927.11.3610,Tb927.11.3620,Tb927.11.3630,Tb927.11.9000,Tb927.4.5240,Tb927.5.286b,Tb927.5.440,Tb927.6.170,Tb927.6.180,Tb927.6.200,Tb927.6.800,Tb927.7.5960,Tb927.8.580,	1.9	2.11	2.43	0.00388146430269	0.0675374788668	0.337687394334
GO:0098552	side of membrane	12	2	Tb927.11.3610,Tb927.11.3620,	16.7	18.26	22.31	0.00510998980359	0.0740948521521	0.444569112913
GO:0016020	membrane	1039	17	Tb927.10.4370,Tb927.10.8470,Tb927.10.9030,Tb927.11.3610,Tb927.11.3620,Tb927.11.3630,Tb927.11.9000,Tb927.4.5240,Tb927.5.286b,Tb927.5.440,Tb927.6.170,Tb927.6.180,Tb927.6.200,Tb927.6.800,Tb927.7.3520,Tb927.7.5960,Tb927.8.580,	1.6	1.79	2.06	0.0106747592868	0.132672008279	0.928704057956
GO:0044444	cytoplasmic part	3323	39	Tb927.10.10040,Tb927.10.12540,Tb927.10.12730,Tb927.10.12750,Tb927.10.2010,Tb927.10.280,Tb927.10.2970,Tb927.10.3660,Tb927.10.3960,Tb927.10.6200,Tb927.10.7910,Tb927.10.9030,Tb927.11.12040,Tb927.11.15880,Tb927.11.3630,Tb927.11.8340,Tb927.11.9000,Tb927.11.9850,Tb927.3.2380,Tb927.3.700,Tb927.4.1010,Tb927.4.1230,Tb927.4.4620,Tb927.5.286b,Tb927.5.300,Tb927.6.3850,Tb927.6.4270,Tb927.7.1280,Tb927.7.2650,Tb927.7.3520,Tb927.7.4390,Tb927.7.5780,Tb927.7.6570,Tb927.7.7090,Tb927.8.580,Tb927.8.7740,Tb927.9.10650,Tb927.9.12200,Tb927.9.3170,	1.2	1.29	1.64	0.0250331864929	0.259119807755	1.0
GO:0005737	cytoplasm	4930	53	Tb927.1.4710,Tb927.10.10040,Tb927.10.12540,Tb927.10.12730,Tb927.10.12750,Tb927.10.2010,Tb927.10.2400,Tb927.10.280,Tb927.10.2970,Tb927.10.3660,Tb927.10.3960,Tb927.10.4370,Tb927.10.6200,Tb927.10.7910,Tb927.10.9030,Tb927.11.12040,Tb927.11.15880,Tb927.11.3610,Tb927.11.3630,Tb927.11.8340,Tb927.11.8680,Tb927.11.8900,Tb927.11.9000,Tb927.11.9850,Tb927.3.2380,Tb927.3.700,Tb927.4.1010,Tb927.4.1230,Tb927.4.4620,Tb927.5.1780,Tb927.5.286b,Tb927.5.300,Tb927.5.440,Tb927.5.620,Tb927.6.3850,Tb927.6.4270,Tb927.7.1280,Tb927.7.2650,Tb927.7.3520,Tb927.7.4390,Tb927.7.5780,Tb927.7.5960,Tb927.7.6570,Tb927.7.7090,Tb927.8.580,Tb927.8.5870,Tb927.8.7740,Tb927.9.10650,Tb927.9.12200,Tb927.9.13200,Tb927.9.3170,Tb927.9.8320,Tb927.9.9370,	1.1	1.18	1.71	0.0292971840122	0.259119807755	1.0
GO:0044459	plasma membrane part	74	3	Tb927.11.3610,Tb927.11.3620,Tb927.5.440,	4.1	4.44	4.75	0.0297838859489	0.259119807755	1.0
