"","x"
"1","Tb927.1.20"
"2","Tb927.1.20"
"3","Tb927.1.20"
"4","Tb927.1.20"
"5","Tb927.1.2590"
"6","Tb927.1.2590"
"7","Tb927.1.2590"
"8","Tb927.1.2590"
"9","Tb927.1.4010"
"10","Tb927.1.4010"
"11","Tb927.1.4010"
"12","Tb927.1.4010"
"13","Tb927.1.5140"
"14","Tb927.1.5140"
"15","Tb927.1.5140"
"16","Tb927.1.5140"
"17","Tb927.1.5340"
"18","Tb927.1.5340"
"19","Tb927.1.5340"
"20","Tb927.1.5340"
"21","Tb927.10.10250"
"22","Tb927.10.10250"
"23","Tb927.10.10250"
"24","Tb927.10.10250"
"25","Tb927.10.10280"
"26","Tb927.10.10280"
"27","Tb927.10.10280"
"28","Tb927.10.10280"
"29","Tb927.10.10450"
"30","Tb927.10.10450"
"31","Tb927.10.10450"
"32","Tb927.10.10450"
"33","Tb927.10.13560"
"34","Tb927.10.13560"
"35","Tb927.10.13560"
"36","Tb927.10.13560"
"37","Tb927.10.14140"
"38","Tb927.10.14140"
"39","Tb927.10.14140"
"40","Tb927.10.14140"
"41","Tb927.10.14540"
"42","Tb927.10.14540"
"43","Tb927.10.14540"
"44","Tb927.10.14540"
"45","Tb927.10.14550"
"46","Tb927.10.14550"
"47","Tb927.10.14550"
"48","Tb927.10.14550"
"49","Tb927.10.1490"
"50","Tb927.10.1490"
"51","Tb927.10.1490"
"52","Tb927.10.1490"
"53","Tb927.10.1510"
"54","Tb927.10.1510"
"55","Tb927.10.1510"
"56","Tb927.10.1510"
"57","Tb927.10.15310"
"58","Tb927.10.15310"
"59","Tb927.10.15310"
"60","Tb927.10.15310"
"61","Tb927.10.1540"
"62","Tb927.10.1540"
"63","Tb927.10.1540"
"64","Tb927.10.1540"
"65","Tb927.10.2890"
"66","Tb927.10.2890"
"67","Tb927.10.2890"
"68","Tb927.10.2890"
"69","Tb927.10.3400"
"70","Tb927.10.3400"
"71","Tb927.10.3400"
"72","Tb927.10.3400"
"73","Tb927.10.3410"
"74","Tb927.10.3410"
"75","Tb927.10.3410"
"76","Tb927.10.3410"
"77","Tb927.10.5140"
"78","Tb927.10.5140"
"79","Tb927.10.5140"
"80","Tb927.10.5140"
"81","Tb927.10.6330"
"82","Tb927.10.6330"
"83","Tb927.10.6330"
"84","Tb927.10.6330"
"85","Tb927.10.6900"
"86","Tb927.10.6900"
"87","Tb927.10.6900"
"88","Tb927.10.6900"
"89","Tb927.10.6920"
"90","Tb927.10.6920"
"91","Tb927.10.6920"
"92","Tb927.10.6920"
"93","Tb927.10.6960"
"94","Tb927.10.6960"
"95","Tb927.10.6960"
"96","Tb927.10.6960"
"97","Tb927.10.8900"
"98","Tb927.10.8900"
"99","Tb927.10.8900"
"100","Tb927.10.8900"
"101","Tb927.11.10060"
"102","Tb927.11.10060"
"103","Tb927.11.10060"
"104","Tb927.11.10060"
"105","Tb927.11.1090"
"106","Tb927.11.1090"
"107","Tb927.11.1090"
"108","Tb927.11.1090"
"109","Tb927.11.1100"
"110","Tb927.11.1100"
"111","Tb927.11.1100"
"112","Tb927.11.1100"
"113","Tb927.11.11220"
"114","Tb927.11.11220"
"115","Tb927.11.11220"
"116","Tb927.11.11220"
"117","Tb927.11.12410"
"118","Tb927.11.12410"
"119","Tb927.11.12410"
"120","Tb927.11.12410"
"121","Tb927.11.1340"
"122","Tb927.11.1340"
"123","Tb927.11.1340"
"124","Tb927.11.1340"
"125","Tb927.11.14220"
"126","Tb927.11.14220"
"127","Tb927.11.14220"
"128","Tb927.11.14220"
"129","Tb927.11.16550"
"130","Tb927.11.16550"
"131","Tb927.11.16550"
"132","Tb927.11.16550"
"133","Tb927.11.16720"
"134","Tb927.11.16720"
"135","Tb927.11.16720"
"136","Tb927.11.16720"
"137","Tb927.11.17000"
"138","Tb927.11.17000"
"139","Tb927.11.17000"
"140","Tb927.11.17000"
"141","Tb927.11.2210"
"142","Tb927.11.2210"
"143","Tb927.11.2210"
"144","Tb927.11.2210"
"145","Tb927.11.2500"
"146","Tb927.11.2500"
"147","Tb927.11.2500"
"148","Tb927.11.2500"
"149","Tb927.11.2650"
"150","Tb927.11.2650"
"151","Tb927.11.2650"
"152","Tb927.11.2650"
"153","Tb927.11.3250"
"154","Tb927.11.3250"
"155","Tb927.11.3250"
"156","Tb927.11.3250"
"157","Tb927.11.3650"
"158","Tb927.11.3650"
"159","Tb927.11.3650"
"160","Tb927.11.3650"
"161","Tb927.11.4610"
"162","Tb927.11.4610"
"163","Tb927.11.4610"
"164","Tb927.11.4610"
"165","Tb927.11.6440"
"166","Tb927.11.6440"
"167","Tb927.11.6440"
"168","Tb927.11.6440"
"169","Tb927.11.7380"
"170","Tb927.11.7380"
"171","Tb927.11.7380"
"172","Tb927.11.7380"
"173","Tb927.11.7560"
"174","Tb927.11.7560"
"175","Tb927.11.7560"
"176","Tb927.11.7560"
"177","Tb927.11.760"
"178","Tb927.11.760"
"179","Tb927.11.760"
"180","Tb927.11.760"
"181","Tb927.11.9980"
"182","Tb927.11.9980"
"183","Tb927.11.9980"
"184","Tb927.11.9980"
"185","Tb927.2.1820"
"186","Tb927.2.1820"
"187","Tb927.2.1820"
"188","Tb927.2.1820"
"189","Tb927.2.2340"
"190","Tb927.2.2340"
"191","Tb927.2.2340"
"192","Tb927.2.2340"
"193","Tb927.2.3880"
"194","Tb927.2.3880"
"195","Tb927.2.3880"
"196","Tb927.2.3880"
"197","Tb927.2.5384"
"198","Tb927.2.5384"
"199","Tb927.2.5384"
"200","Tb927.2.5384"
"201","Tb927.2.5760"
"202","Tb927.2.5760"
"203","Tb927.2.5760"
"204","Tb927.2.5760"
"205","Tb927.3.3180"
"206","Tb927.3.3180"
"207","Tb927.3.3180"
"208","Tb927.3.3180"
"209","Tb927.3.4010"
"210","Tb927.3.4010"
"211","Tb927.3.4010"
"212","Tb927.3.4010"
"213","Tb927.3.4020"
"214","Tb927.3.4020"
"215","Tb927.3.4020"
"216","Tb927.3.4020"
"217","Tb927.3.5250"
"218","Tb927.3.5250"
"219","Tb927.3.5250"
"220","Tb927.3.5250"
"221","Tb927.3.590"
"222","Tb927.3.590"
"223","Tb927.3.590"
"224","Tb927.3.590"
"225","Tb927.3.930"
"226","Tb927.3.930"
"227","Tb927.3.930"
"228","Tb927.3.930"
"229","Tb927.4.1910"
"230","Tb927.4.1910"
"231","Tb927.4.1910"
"232","Tb927.4.1910"
"233","Tb927.4.2070"
"234","Tb927.4.2070"
"235","Tb927.4.2070"
"236","Tb927.4.2070"
"237","Tb927.4.310"
"238","Tb927.4.310"
"239","Tb927.4.310"
"240","Tb927.4.310"
"241","Tb927.4.800"
"242","Tb927.4.800"
"243","Tb927.4.800"
"244","Tb927.4.800"
"245","Tb927.4.870"
"246","Tb927.4.870"
"247","Tb927.4.870"
"248","Tb927.4.870"
"249","Tb927.5.1090"
"250","Tb927.5.1090"
"251","Tb927.5.1090"
"252","Tb927.5.1090"
"253","Tb927.5.1490"
"254","Tb927.5.1490"
"255","Tb927.5.1490"
"256","Tb927.5.1490"
"257","Tb927.5.2290"
"258","Tb927.5.2290"
"259","Tb927.5.2290"
"260","Tb927.5.2290"
"261","Tb927.5.3250"
"262","Tb927.5.3250"
"263","Tb927.5.3250"
"264","Tb927.5.3250"
"265","Tb927.5.3620"
"266","Tb927.5.3620"
"267","Tb927.5.3620"
"268","Tb927.5.3620"
"269","Tb927.5.3720"
"270","Tb927.5.3720"
"271","Tb927.5.3720"
"272","Tb927.5.3720"
"273","Tb927.5.900"
"274","Tb927.5.900"
"275","Tb927.5.900"
"276","Tb927.5.900"
"277","Tb927.6.1800"
"278","Tb927.6.1800"
"279","Tb927.6.1800"
"280","Tb927.6.1800"
"281","Tb927.6.2030"
"282","Tb927.6.2030"
"283","Tb927.6.2030"
"284","Tb927.6.2030"
