ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:1901564	organonitrogen compound metabolic process	1081	46	Tb11.02.5400,Tb927.10.12260,Tb927.10.12370,Tb927.10.1420,Tb927.10.15270,Tb927.10.16120,Tb927.10.2770,Tb927.10.3210,Tb927.10.4310,Tb927.10.4560,Tb927.10.4570,Tb927.10.5840,Tb927.10.8020,Tb927.11.10240,Tb927.11.10990,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.12850,Tb927.11.13190,Tb927.11.16130,Tb927.11.5060,Tb927.11.6160,Tb927.11.6590,Tb927.11.7170,Tb927.11.8720,Tb927.11.880,Tb927.11.8970,Tb927.4.3950,Tb927.5.1140,Tb927.5.2700,Tb927.5.3050,Tb927.5.3800,Tb927.5.3820,Tb927.5.4380,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.190,Tb927.7.3620,Tb927.8.4820,Tb927.8.5620,Tb927.8.5630,Tb927.8.6170,Tb927.9.4680,	4.3	2.16	2.74	1.39369908658e-07	7.19148728674e-05	7.19148728674e-05
GO:1901566	organonitrogen compound biosynthetic process	475	27	Tb11.02.5400,Tb927.10.12370,Tb927.10.16120,Tb927.10.2770,Tb927.10.4560,Tb927.10.4570,Tb927.10.5840,Tb927.11.10990,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.13190,Tb927.11.16130,Tb927.11.5060,Tb927.11.6160,Tb927.11.7170,Tb927.5.1140,Tb927.5.3800,Tb927.5.3820,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.3620,Tb927.8.4820,Tb927.8.5630,Tb927.9.4680,	5.7	2.89	3.43	4.51020040966e-07	9.10867400008e-05	0.000232726341138
GO:0006520	cellular amino acid metabolic process	66	10	Tb11.02.5400,Tb927.10.3210,Tb927.11.7170,Tb927.5.3800,Tb927.5.3820,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.3620,	15.2	7.7	9.45	5.29574069772e-07	9.10867400008e-05	0.000273260220002
GO:0044249	cellular biosynthetic process	765	35	Tb11.02.5400,Tb927.10.12370,Tb927.10.16120,Tb927.10.2770,Tb927.10.2780,Tb927.10.4560,Tb927.10.4570,Tb927.10.5840,Tb927.10.7100,Tb927.11.10240,Tb927.11.10990,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.13190,Tb927.11.16130,Tb927.11.3030,Tb927.11.5060,Tb927.11.6160,Tb927.11.630,Tb927.11.7170,Tb927.5.1140,Tb927.5.3800,Tb927.5.3820,Tb927.6.1500,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.3620,Tb927.8.2550,Tb927.8.4820,Tb927.8.5630,Tb927.9.4680,Tb927.9.9000,	4.6	2.33	2.8	1.31775033292e-06	0.000169989792947	0.000679959171788
GO:1901576	organic substance biosynthetic process	778	35	Tb11.02.5400,Tb927.10.12370,Tb927.10.16120,Tb927.10.2770,Tb927.10.2780,Tb927.10.4560,Tb927.10.4570,Tb927.10.5840,Tb927.10.7100,Tb927.11.10240,Tb927.11.10990,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.13190,Tb927.11.16130,Tb927.11.3030,Tb927.11.5060,Tb927.11.6160,Tb927.11.630,Tb927.11.7170,Tb927.5.1140,Tb927.5.3800,Tb927.5.3820,Tb927.6.1500,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.3620,Tb927.8.2550,Tb927.8.4820,Tb927.8.5630,Tb927.9.4680,Tb927.9.9000,	4.5	2.29	2.75	1.95096023683e-06	0.000181682175284	0.00100669548221
GO:0019752	carboxylic acid metabolic process	138	13	Tb11.02.5400,Tb927.10.3210,Tb927.10.7100,Tb927.10.7410,Tb927.11.7170,Tb927.5.3800,Tb927.5.3820,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.3620,Tb927.9.4230,	9.4	4.79	5.57	2.81042846644e-06	0.000181682175284	0.00145018108868
GO:0044271	cellular nitrogen compound biosynthetic process	555	28	Tb927.10.12370,Tb927.10.16120,Tb927.10.2770,Tb927.10.2780,Tb927.10.4560,Tb927.10.4570,Tb927.10.5840,Tb927.11.10990,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.13190,Tb927.11.16130,Tb927.11.3030,Tb927.11.5060,Tb927.11.6160,Tb927.11.630,Tb927.11.7170,Tb927.5.3800,Tb927.5.3820,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.3620,Tb927.8.4820,Tb927.8.5630,Tb927.9.4680,	5.0	2.57	3.02	2.93271629707e-06	0.000181682175284	0.00151328160929
GO:0009058	biosynthetic process	795	35	Tb11.02.5400,Tb927.10.12370,Tb927.10.16120,Tb927.10.2770,Tb927.10.2780,Tb927.10.4560,Tb927.10.4570,Tb927.10.5840,Tb927.10.7100,Tb927.11.10240,Tb927.11.10990,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.13190,Tb927.11.16130,Tb927.11.3030,Tb927.11.5060,Tb927.11.6160,Tb927.11.630,Tb927.11.7170,Tb927.5.1140,Tb927.5.3800,Tb927.5.3820,Tb927.6.1500,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.3620,Tb927.8.2550,Tb927.8.4820,Tb927.8.5630,Tb927.9.4680,Tb927.9.9000,	4.4	2.24	2.68	3.20800537411e-06	0.000181682175284	0.00165533077304
GO:0043604	amide biosynthetic process	288	19	Tb927.10.12370,Tb927.10.2770,Tb927.10.4560,Tb927.10.4570,Tb927.10.5840,Tb927.11.10990,Tb927.11.11590,Tb927.11.11770,Tb927.11.13190,Tb927.11.5060,Tb927.11.6160,Tb927.11.7170,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.3620,Tb927.8.4820,Tb927.9.4680,	6.6	3.35	3.88	3.25831544226e-06	0.000181682175284	0.00168129076821
GO:0043436	oxoacid metabolic process	141	13	Tb11.02.5400,Tb927.10.3210,Tb927.10.7100,Tb927.10.7410,Tb927.11.7170,Tb927.5.3800,Tb927.5.3820,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.3620,Tb927.9.4230,	9.2	4.69	5.44	3.57853341271e-06	0.000181682175284	0.00184652324096
