ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0044424	intracellular part	5842	140	Tb927.1.1140,Tb927.1.3200,Tb927.10.11170,Tb927.10.12260,Tb927.10.12340,Tb927.10.12370,Tb927.10.13280,Tb927.10.1420,Tb927.10.15270,Tb927.10.15520,Tb927.10.16120,Tb927.10.2060,Tb927.10.2530,Tb927.10.2770,Tb927.10.2780,Tb927.10.3210,Tb927.10.3540,Tb927.10.3810,Tb927.10.3990,Tb927.10.4310,Tb927.10.4560,Tb927.10.4570,Tb927.10.540,Tb927.10.5840,Tb927.10.6400,Tb927.10.7100,Tb927.10.7410,Tb927.10.7680,Tb927.10.8020,Tb927.10.8120,Tb927.10.8230,Tb927.11.10240,Tb927.11.1030,Tb927.11.10990,Tb927.11.11290,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.12850,Tb927.11.13020,Tb927.11.13190,Tb927.11.13360,Tb927.11.13520,Tb927.11.14090,Tb927.11.14370,Tb927.11.14750,Tb927.11.1560,Tb927.11.15950,Tb927.11.16130,Tb927.11.16480,Tb927.11.16730,Tb927.11.1700,Tb927.11.1980,Tb927.11.2340,Tb927.11.2370,Tb927.11.2700,Tb927.11.2950,Tb927.11.3030,Tb927.11.3130,Tb927.11.4180,Tb927.11.5060,Tb927.11.6160,Tb927.11.6170,Tb927.11.630,Tb927.11.6590,Tb927.11.6870,Tb927.11.7170,Tb927.11.7450,Tb927.11.7780,Tb927.11.8720,Tb927.11.880,Tb927.11.8970,Tb927.11.9590,Tb927.2.1810,Tb927.3.2050,Tb927.3.2090,Tb927.3.2230,Tb927.3.2600,Tb927.3.3850,Tb927.4.2000,Tb927.4.2400,Tb927.4.2880,Tb927.4.3950,Tb927.4.450,Tb927.4.4550,Tb927.4.4940,Tb927.4.5110,Tb927.4.590,Tb927.5.1140,Tb927.5.2780,Tb927.5.2790,Tb927.5.3050,Tb927.5.3400,Tb927.5.3800,Tb927.5.3820,Tb927.5.4380,Tb927.5.490,Tb927.6.1500,Tb927.6.2640,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.1120,Tb927.7.1130,Tb927.7.1320,Tb927.7.2240,Tb927.7.2400,Tb927.7.3110,Tb927.7.3550,Tb927.7.3620,Tb927.7.4060,Tb927.7.4290,Tb927.7.4340,Tb927.7.4520,Tb927.7.5160,Tb927.7.6670,Tb927.7.6890,Tb927.8.2080,Tb927.8.2550,Tb927.8.4820,Tb927.8.5570,Tb927.8.5620,Tb927.8.5630,Tb927.8.6170,Tb927.8.650,Tb927.8.7530,Tb927.9.10310,Tb927.9.12090,Tb927.9.1380,Tb927.9.2320,Tb927.9.4230,Tb927.9.4500,Tb927.9.4680,Tb927.9.5730,Tb927.9.7920,Tb927.9.8410,Tb927.9.8880,Tb927.9.9000,Tb927.9.9060,	2.4	1.22	3.63	1.44401405298e-07	1.11193538596e-05	2.44038374953e-05
GO:0005622	intracellular	5856	140	Tb927.1.1140,Tb927.1.3200,Tb927.10.11170,Tb927.10.12260,Tb927.10.12340,Tb927.10.12370,Tb927.10.13280,Tb927.10.1420,Tb927.10.15270,Tb927.10.15520,Tb927.10.16120,Tb927.10.2060,Tb927.10.2530,Tb927.10.2770,Tb927.10.2780,Tb927.10.3210,Tb927.10.3540,Tb927.10.3810,Tb927.10.3990,Tb927.10.4310,Tb927.10.4560,Tb927.10.4570,Tb927.10.540,Tb927.10.5840,Tb927.10.6400,Tb927.10.7100,Tb927.10.7410,Tb927.10.7680,Tb927.10.8020,Tb927.10.8120,Tb927.10.8230,Tb927.11.10240,Tb927.11.1030,Tb927.11.10990,Tb927.11.11290,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.12850,Tb927.11.13020,Tb927.11.13190,Tb927.11.13360,Tb927.11.13520,Tb927.11.14090,Tb927.11.14370,Tb927.11.14750,Tb927.11.1560,Tb927.11.15950,Tb927.11.16130,Tb927.11.16480,Tb927.11.16730,Tb927.11.1700,Tb927.11.1980,Tb927.11.2340,Tb927.11.2370,Tb927.11.2700,Tb927.11.2950,Tb927.11.3030,Tb927.11.3130,Tb927.11.4180,Tb927.11.5060,Tb927.11.6160,Tb927.11.6170,Tb927.11.630,Tb927.11.6590,Tb927.11.6870,Tb927.11.7170,Tb927.11.7450,Tb927.11.7780,Tb927.11.8720,Tb927.11.880,Tb927.11.8970,Tb927.11.9590,Tb927.2.1810,Tb927.3.2050,Tb927.3.2090,Tb927.3.2230,Tb927.3.2600,Tb927.3.3850,Tb927.4.2000,Tb927.4.2400,Tb927.4.2880,Tb927.4.3950,Tb927.4.450,Tb927.4.4550,Tb927.4.4940,Tb927.4.5110,Tb927.4.590,Tb927.5.1140,Tb927.5.2780,Tb927.5.2790,Tb927.5.3050,Tb927.5.3400,Tb927.5.3800,Tb927.5.3820,Tb927.5.4380,Tb927.5.490,Tb927.6.1500,Tb927.6.2640,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.1120,Tb927.7.1130,Tb927.7.1320,Tb927.7.2240,Tb927.7.2400,Tb927.7.3110,Tb927.7.3550,Tb927.7.3620,Tb927.7.4060,Tb927.7.4290,Tb927.7.4340,Tb927.7.4520,Tb927.7.5160,Tb927.7.6670,Tb927.7.6890,Tb927.8.2080,Tb927.8.2550,Tb927.8.4820,Tb927.8.5570,Tb927.8.5620,Tb927.8.5630,Tb927.8.6170,Tb927.8.650,Tb927.8.7530,Tb927.9.10310,Tb927.9.12090,Tb927.9.1380,Tb927.9.2320,Tb927.9.4230,Tb927.9.4500,Tb927.9.4680,Tb927.9.5730,Tb927.9.7920,Tb927.9.8410,Tb927.9.8880,Tb927.9.9000,Tb927.9.9060,	2.4	1.22	3.6	1.85037014364e-07	1.11193538596e-05	3.12712554276e-05
GO:0044464	cell part	6023	142	Tb927.1.1140,Tb927.1.3200,Tb927.10.11170,Tb927.10.12260,Tb927.10.12340,Tb927.10.12370,Tb927.10.12500,Tb927.10.13280,Tb927.10.1420,Tb927.10.15270,Tb927.10.15520,Tb927.10.16120,Tb927.10.2060,Tb927.10.2530,Tb927.10.2770,Tb927.10.2780,Tb927.10.3210,Tb927.10.3540,Tb927.10.3810,Tb927.10.3990,Tb927.10.4310,Tb927.10.4560,Tb927.10.4570,Tb927.10.540,Tb927.10.5840,Tb927.10.6400,Tb927.10.7100,Tb927.10.7410,Tb927.10.7680,Tb927.10.8020,Tb927.10.8120,Tb927.10.8230,Tb927.11.10240,Tb927.11.1030,Tb927.11.10990,Tb927.11.11290,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.12850,Tb927.11.13020,Tb927.11.13190,Tb927.11.13360,Tb927.11.13520,Tb927.11.14090,Tb927.11.14370,Tb927.11.14750,Tb927.11.1560,Tb927.11.15950,Tb927.11.16130,Tb927.11.16480,Tb927.11.16730,Tb927.11.1700,Tb927.11.1980,Tb927.11.2340,Tb927.11.2370,Tb927.11.2700,Tb927.11.2950,Tb927.11.3030,Tb927.11.3130,Tb927.11.4180,Tb927.11.5060,Tb927.11.6160,Tb927.11.6170,Tb927.11.630,Tb927.11.6590,Tb927.11.6870,Tb927.11.7170,Tb927.11.7450,Tb927.11.7780,Tb927.11.8720,Tb927.11.880,Tb927.11.8970,Tb927.11.9590,Tb927.2.1810,Tb927.3.2050,Tb927.3.2090,Tb927.3.2230,Tb927.3.2600,Tb927.3.3850,Tb927.4.2000,Tb927.4.2400,Tb927.4.2880,Tb927.4.3950,Tb927.4.450,Tb927.4.4550,Tb927.4.4940,Tb927.4.5110,Tb927.4.590,Tb927.5.1140,Tb927.5.2780,Tb927.5.2790,Tb927.5.3050,Tb927.5.3400,Tb927.5.3800,Tb927.5.3820,Tb927.5.4380,Tb927.5.490,Tb927.6.1500,Tb927.6.2640,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.1120,Tb927.7.1130,Tb927.7.1320,Tb927.7.2240,Tb927.7.2400,Tb927.7.3110,Tb927.7.3550,Tb927.7.3620,Tb927.7.4060,Tb927.7.4290,Tb927.7.4340,Tb927.7.4520,Tb927.7.5160,Tb927.7.6670,Tb927.7.6890,Tb927.8.2080,Tb927.8.2550,Tb927.8.4820,Tb927.8.5450,Tb927.8.5570,Tb927.8.5620,Tb927.8.5630,Tb927.8.6170,Tb927.8.650,Tb927.8.7530,Tb927.9.10310,Tb927.9.12090,Tb927.9.1380,Tb927.9.2320,Tb927.9.4230,Tb927.9.4500,Tb927.9.4680,Tb927.9.5730,Tb927.9.7920,Tb927.9.8410,Tb927.9.8880,Tb927.9.9000,Tb927.9.9060,	2.4	1.2	3.83	2.63179973008e-07	1.11193538596e-05	4.44774154384e-05
GO:0005623	cell	6023	142	Tb927.1.1140,Tb927.1.3200,Tb927.10.11170,Tb927.10.12260,Tb927.10.12340,Tb927.10.12370,Tb927.10.12500,Tb927.10.13280,Tb927.10.1420,Tb927.10.15270,Tb927.10.15520,Tb927.10.16120,Tb927.10.2060,Tb927.10.2530,Tb927.10.2770,Tb927.10.2780,Tb927.10.3210,Tb927.10.3540,Tb927.10.3810,Tb927.10.3990,Tb927.10.4310,Tb927.10.4560,Tb927.10.4570,Tb927.10.540,Tb927.10.5840,Tb927.10.6400,Tb927.10.7100,Tb927.10.7410,Tb927.10.7680,Tb927.10.8020,Tb927.10.8120,Tb927.10.8230,Tb927.11.10240,Tb927.11.1030,Tb927.11.10990,Tb927.11.11290,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.12850,Tb927.11.13020,Tb927.11.13190,Tb927.11.13360,Tb927.11.13520,Tb927.11.14090,Tb927.11.14370,Tb927.11.14750,Tb927.11.1560,Tb927.11.15950,Tb927.11.16130,Tb927.11.16480,Tb927.11.16730,Tb927.11.1700,Tb927.11.1980,Tb927.11.2340,Tb927.11.2370,Tb927.11.2700,Tb927.11.2950,Tb927.11.3030,Tb927.11.3130,Tb927.11.4180,Tb927.11.5060,Tb927.11.6160,Tb927.11.6170,Tb927.11.630,Tb927.11.6590,Tb927.11.6870,Tb927.11.7170,Tb927.11.7450,Tb927.11.7780,Tb927.11.8720,Tb927.11.880,Tb927.11.8970,Tb927.11.9590,Tb927.2.1810,Tb927.3.2050,Tb927.3.2090,Tb927.3.2230,Tb927.3.2600,Tb927.3.3850,Tb927.4.2000,Tb927.4.2400,Tb927.4.2880,Tb927.4.3950,Tb927.4.450,Tb927.4.4550,Tb927.4.4940,Tb927.4.5110,Tb927.4.590,Tb927.5.1140,Tb927.5.2780,Tb927.5.2790,Tb927.5.3050,Tb927.5.3400,Tb927.5.3800,Tb927.5.3820,Tb927.5.4380,Tb927.5.490,Tb927.6.1500,Tb927.6.2640,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.1120,Tb927.7.1130,Tb927.7.1320,Tb927.7.2240,Tb927.7.2400,Tb927.7.3110,Tb927.7.3550,Tb927.7.3620,Tb927.7.4060,Tb927.7.4290,Tb927.7.4340,Tb927.7.4520,Tb927.7.5160,Tb927.7.6670,Tb927.7.6890,Tb927.8.2080,Tb927.8.2550,Tb927.8.4820,Tb927.8.5450,Tb927.8.5570,Tb927.8.5620,Tb927.8.5630,Tb927.8.6170,Tb927.8.650,Tb927.8.7530,Tb927.9.10310,Tb927.9.12090,Tb927.9.1380,Tb927.9.2320,Tb927.9.4230,Tb927.9.4500,Tb927.9.4680,Tb927.9.5730,Tb927.9.7920,Tb927.9.8410,Tb927.9.8880,Tb927.9.9000,Tb927.9.9060,	2.4	1.2	3.83	2.63179973008e-07	1.11193538596e-05	4.44774154384e-05
GO:0005737	cytoplasm	4930	121	Tb927.1.1140,Tb927.1.3200,Tb927.10.12260,Tb927.10.12340,Tb927.10.13280,Tb927.10.1420,Tb927.10.15270,Tb927.10.15520,Tb927.10.16120,Tb927.10.2060,Tb927.10.2530,Tb927.10.2770,Tb927.10.2780,Tb927.10.3210,Tb927.10.3810,Tb927.10.3990,Tb927.10.4310,Tb927.10.4560,Tb927.10.4570,Tb927.10.5840,Tb927.10.6400,Tb927.10.7100,Tb927.10.7410,Tb927.10.8020,Tb927.10.8230,Tb927.11.10240,Tb927.11.10990,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.12850,Tb927.11.13020,Tb927.11.13190,Tb927.11.13520,Tb927.11.14090,Tb927.11.14370,Tb927.11.14750,Tb927.11.1560,Tb927.11.15950,Tb927.11.16130,Tb927.11.16480,Tb927.11.16730,Tb927.11.1700,Tb927.11.1980,Tb927.11.2370,Tb927.11.2700,Tb927.11.3030,Tb927.11.3130,Tb927.11.4180,Tb927.11.5060,Tb927.11.6160,Tb927.11.6170,Tb927.11.6590,Tb927.11.6870,Tb927.11.7170,Tb927.11.7780,Tb927.11.8720,Tb927.11.880,Tb927.11.8970,Tb927.11.9590,Tb927.3.2050,Tb927.3.2090,Tb927.3.2230,Tb927.3.2600,Tb927.3.3850,Tb927.4.2000,Tb927.4.2400,Tb927.4.3950,Tb927.4.450,Tb927.4.4550,Tb927.4.4940,Tb927.4.590,Tb927.5.1140,Tb927.5.2780,Tb927.5.2790,Tb927.5.3050,Tb927.5.3400,Tb927.5.3800,Tb927.5.3820,Tb927.5.4380,Tb927.5.490,Tb927.6.1500,Tb927.6.2640,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.1120,Tb927.7.1130,Tb927.7.1320,Tb927.7.2400,Tb927.7.3110,Tb927.7.3550,Tb927.7.3620,Tb927.7.4060,Tb927.7.4290,Tb927.7.4520,Tb927.7.6670,Tb927.7.6890,Tb927.8.2080,Tb927.8.2550,Tb927.8.4820,Tb927.8.5570,Tb927.8.5620,Tb927.8.5630,Tb927.8.6170,Tb927.8.650,Tb927.8.7530,Tb927.9.10310,Tb927.9.12090,Tb927.9.1380,Tb927.9.2320,Tb927.9.4230,Tb927.9.4500,Tb927.9.4680,Tb927.9.5730,Tb927.9.7920,Tb927.9.8410,Tb927.9.8880,Tb927.9.9000,Tb927.9.9060,	2.5	1.25	2.21	1.68987186504e-05	0.000571176690384	0.00285588345192
GO:0005575	cellular component	6378	143	Tb927.1.1140,Tb927.1.3200,Tb927.10.11170,Tb927.10.12260,Tb927.10.12340,Tb927.10.12370,Tb927.10.12500,Tb927.10.13280,Tb927.10.1420,Tb927.10.15270,Tb927.10.15520,Tb927.10.16120,Tb927.10.2060,Tb927.10.2530,Tb927.10.2770,Tb927.10.2780,Tb927.10.3210,Tb927.10.3540,Tb927.10.3810,Tb927.10.3990,Tb927.10.4310,Tb927.10.4560,Tb927.10.4570,Tb927.10.540,Tb927.10.5840,Tb927.10.6400,Tb927.10.7100,Tb927.10.7410,Tb927.10.7680,Tb927.10.8020,Tb927.10.8120,Tb927.10.8230,Tb927.11.10240,Tb927.11.1030,Tb927.11.10990,Tb927.11.11290,Tb927.11.11590,Tb927.11.11770,Tb927.11.11950,Tb927.11.12850,Tb927.11.13020,Tb927.11.13190,Tb927.11.13360,Tb927.11.13520,Tb927.11.14090,Tb927.11.14370,Tb927.11.14750,Tb927.11.1560,Tb927.11.15950,Tb927.11.16130,Tb927.11.16480,Tb927.11.16730,Tb927.11.1700,Tb927.11.1980,Tb927.11.2340,Tb927.11.2370,Tb927.11.2700,Tb927.11.2950,Tb927.11.3030,Tb927.11.3130,Tb927.11.4180,Tb927.11.5060,Tb927.11.6160,Tb927.11.6170,Tb927.11.630,Tb927.11.6590,Tb927.11.6870,Tb927.11.7170,Tb927.11.7450,Tb927.11.7780,Tb927.11.8720,Tb927.11.880,Tb927.11.8970,Tb927.11.9590,Tb927.2.1810,Tb927.3.2050,Tb927.3.2090,Tb927.3.2230,Tb927.3.2600,Tb927.3.3850,Tb927.3.4190,Tb927.4.2000,Tb927.4.2400,Tb927.4.2880,Tb927.4.3950,Tb927.4.450,Tb927.4.4550,Tb927.4.4940,Tb927.4.5110,Tb927.4.590,Tb927.5.1140,Tb927.5.2780,Tb927.5.2790,Tb927.5.3050,Tb927.5.3400,Tb927.5.3800,Tb927.5.3820,Tb927.5.4380,Tb927.5.490,Tb927.6.1500,Tb927.6.2640,Tb927.6.4480,Tb927.6.4590,Tb927.6.700,Tb927.7.1110,Tb927.7.1120,Tb927.7.1130,Tb927.7.1320,Tb927.7.2240,Tb927.7.2400,Tb927.7.3110,Tb927.7.3550,Tb927.7.3620,Tb927.7.4060,Tb927.7.4290,Tb927.7.4340,Tb927.7.4520,Tb927.7.5160,Tb927.7.6670,Tb927.7.6890,Tb927.8.2080,Tb927.8.2550,Tb927.8.4820,Tb927.8.5450,Tb927.8.5570,Tb927.8.5620,Tb927.8.5630,Tb927.8.6170,Tb927.8.650,Tb927.8.7530,Tb927.9.10310,Tb927.9.12090,Tb927.9.1380,Tb927.9.2320,Tb927.9.4230,Tb927.9.4500,Tb927.9.4680,Tb927.9.5730,Tb927.9.7920,Tb927.9.8410,Tb927.9.8880,Tb927.9.9000,Tb927.9.9060,	2.2	1.14	3.19	2.99285723517e-05	0.000742172653534	0.00505792872744
GO:0005634	nucleus	2033	63	Tb927.1.3200,Tb927.10.11170,Tb927.10.12370,Tb927.10.2060,Tb927.10.2530,Tb927.10.2780,Tb927.10.3210,Tb927.10.3540,Tb927.10.3810,Tb927.10.540,Tb927.10.7100,Tb927.10.7680,Tb927.10.8020,Tb927.10.8120,Tb927.11.10240,Tb927.11.1030,Tb927.11.11290,Tb927.11.13360,Tb927.11.13520,Tb927.11.14090,Tb927.11.14370,Tb927.11.15950,Tb927.11.16130,Tb927.11.16480,Tb927.11.1980,Tb927.11.2340,Tb927.11.2370,Tb927.11.2700,Tb927.11.2950,Tb927.11.630,Tb927.11.6870,Tb927.11.7450,Tb927.11.8720,Tb927.11.880,Tb927.2.1810,Tb927.3.2090,Tb927.4.2000,Tb927.4.2880,Tb927.4.5110,Tb927.5.2780,Tb927.5.2790,Tb927.5.3050,Tb927.5.3400,Tb927.5.3820,Tb927.5.4380,Tb927.5.490,Tb927.6.2640,Tb927.7.1120,Tb927.7.2240,Tb927.7.4060,Tb927.7.4290,Tb927.7.4340,Tb927.7.4520,Tb927.7.5160,Tb927.7.6670,Tb927.7.6890,Tb927.8.2080,Tb927.8.2550,Tb927.8.5620,Tb927.8.5630,Tb927.8.6170,Tb927.9.12090,Tb927.9.5730,	3.1	1.58	2.01	3.07408791405e-05	0.000742172653534	0.00519520857474
GO:0043231	intracellular membrane-bounded organelle	3666	96	Tb927.1.1140,Tb927.1.3200,Tb927.10.11170,Tb927.10.12370,Tb927.10.16120,Tb927.10.2060,Tb927.10.2530,Tb927.10.2780,Tb927.10.3210,Tb927.10.3540,Tb927.10.3810,Tb927.10.4310,Tb927.10.540,Tb927.10.6400,Tb927.10.7100,Tb927.10.7410,Tb927.10.7680,Tb927.10.8020,Tb927.10.8120,Tb927.11.10240,Tb927.11.1030,Tb927.11.11290,Tb927.11.11950,Tb927.11.13020,Tb927.11.13360,Tb927.11.13520,Tb927.11.14090,Tb927.11.14370,Tb927.11.15950,Tb927.11.16130,Tb927.11.16480,Tb927.11.16730,Tb927.11.1700,Tb927.11.1980,Tb927.11.2340,Tb927.11.2370,Tb927.11.2700,Tb927.11.2950,Tb927.11.3030,Tb927.11.3130,Tb927.11.5060,Tb927.11.6170,Tb927.11.630,Tb927.11.6870,Tb927.11.7170,Tb927.11.7450,Tb927.11.7780,Tb927.11.8720,Tb927.11.880,Tb927.11.8970,Tb927.2.1810,Tb927.3.2050,Tb927.3.2090,Tb927.3.2230,Tb927.3.3850,Tb927.4.2000,Tb927.4.2880,Tb927.4.450,Tb927.4.5110,Tb927.4.590,Tb927.5.2780,Tb927.5.2790,Tb927.5.3050,Tb927.5.3400,Tb927.5.3820,Tb927.5.4380,Tb927.5.490,Tb927.6.1500,Tb927.6.2640,Tb927.7.1120,Tb927.7.1130,Tb927.7.1320,Tb927.7.2240,Tb927.7.4060,Tb927.7.4290,Tb927.7.4340,Tb927.7.4520,Tb927.7.5160,Tb927.7.6670,Tb927.7.6890,Tb927.8.2080,Tb927.8.2550,Tb927.8.5620,Tb927.8.5630,Tb927.8.6170,Tb927.8.650,Tb927.8.7530,Tb927.9.10310,Tb927.9.12090,Tb927.9.1380,Tb927.9.2320,Tb927.9.4230,Tb927.9.4500,Tb927.9.5730,Tb927.9.8410,Tb927.9.9000,	2.6	1.33	1.91	6.304089196e-05	0.00133173884266	0.0106539107412
GO:0043227	membrane-bounded organelle	3715	96	Tb927.1.1140,Tb927.1.3200,Tb927.10.11170,Tb927.10.12370,Tb927.10.16120,Tb927.10.2060,Tb927.10.2530,Tb927.10.2780,Tb927.10.3210,Tb927.10.3540,Tb927.10.3810,Tb927.10.4310,Tb927.10.540,Tb927.10.6400,Tb927.10.7100,Tb927.10.7410,Tb927.10.7680,Tb927.10.8020,Tb927.10.8120,Tb927.11.10240,Tb927.11.1030,Tb927.11.11290,Tb927.11.11950,Tb927.11.13020,Tb927.11.13360,Tb927.11.13520,Tb927.11.14090,Tb927.11.14370,Tb927.11.15950,Tb927.11.16130,Tb927.11.16480,Tb927.11.16730,Tb927.11.1700,Tb927.11.1980,Tb927.11.2340,Tb927.11.2370,Tb927.11.2700,Tb927.11.2950,Tb927.11.3030,Tb927.11.3130,Tb927.11.5060,Tb927.11.6170,Tb927.11.630,Tb927.11.6870,Tb927.11.7170,Tb927.11.7450,Tb927.11.7780,Tb927.11.8720,Tb927.11.880,Tb927.11.8970,Tb927.2.1810,Tb927.3.2050,Tb927.3.2090,Tb927.3.2230,Tb927.3.3850,Tb927.4.2000,Tb927.4.2880,Tb927.4.450,Tb927.4.5110,Tb927.4.590,Tb927.5.2780,Tb927.5.2790,Tb927.5.3050,Tb927.5.3400,Tb927.5.3820,Tb927.5.4380,Tb927.5.490,Tb927.6.1500,Tb927.6.2640,Tb927.7.1120,Tb927.7.1130,Tb927.7.1320,Tb927.7.2240,Tb927.7.4060,Tb927.7.4290,Tb927.7.4340,Tb927.7.4520,Tb927.7.5160,Tb927.7.6670,Tb927.7.6890,Tb927.8.2080,Tb927.8.2550,Tb927.8.5620,Tb927.8.5630,Tb927.8.6170,Tb927.8.650,Tb927.8.7530,Tb927.9.10310,Tb927.9.12090,Tb927.9.1380,Tb927.9.2320,Tb927.9.4230,Tb927.9.4500,Tb927.9.5730,Tb927.9.8410,Tb927.9.9000,	2.6	1.31	1.86	0.000118239721701	0.00222027921861	0.0199825129675
GO:0005654	nucleoplasm	665	27	Tb927.1.3200,Tb927.10.11170,Tb927.10.12370,Tb927.10.2530,Tb927.10.2780,Tb927.10.3210,Tb927.10.540,Tb927.11.11290,Tb927.11.13360,Tb927.11.14090,Tb927.11.14370,Tb927.11.1980,Tb927.11.630,Tb927.2.1810,Tb927.4.2000,Tb927.4.5110,Tb927.5.490,Tb927.6.2640,Tb927.7.1120,Tb927.7.4060,Tb927.7.4520,Tb927.7.5160,Tb927.7.6670,Tb927.7.6890,Tb927.8.2550,Tb927.8.5630,Tb927.9.12090,	4.1	2.06	2.35	0.000209239051518	0.00353613997066	0.0353613997066
