,Gene,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,allZero
Tb04.24M18.150,Tb04.24M18.150,0.178878607,0.19568467,-121.315492,-125.12211,7,2,261.5034146,0,0,FALSE
Tb04.3I12.100,Tb04.3I12.100,0.034386129,0.040828387,-96.33686343,-102.3516009,7,2,57.2875039,0,0,FALSE
Tb06.3A7.270,Tb06.3A7.270,6.87E-16,2.24E-15,-161.1586694,-201.366273,7,2,3675.959623,0,0,FALSE
Tb06.3A7.960,Tb06.3A7.960,2.46E-14,7.37E-14,-134.1978845,-170.6869437,7,2,822.7950909,0,0,FALSE
Tb07.30D13.110,Tb07.30D13.110,0.056183577,0.065179516,-109.9430653,-115.3269572,7,2,135.4758637,0,0,FALSE
Tb07.30D13.160,Tb07.30D13.160,2.06E-07,3.97E-07,-105.0624839,-124.715387,7,2,140.0316303,0,0,FALSE
Tb07.30D13.180,Tb07.30D13.180,3.54E-05,5.61E-05,-113.1164153,-127.1486285,7,2,165.3549254,0,0,FALSE
Tb07.30D13.60,Tb07.30D13.60,0.054932308,0.063783807,-103.4375499,-108.8507591,7,2,110.0107644,0,0,FALSE
Tb10_snoRNA_0055:snoRNA,Tb10_snoRNA_0055:snoRNA,5.78E-39,4.18E-38,-135.5704714,-230.1729753,7,2,249.5656071,0,0,FALSE
Tb11.01.2730,Tb11.01.2730,6.01E-14,1.77E-13,-177.1917368,-212.7492306,7,2,4950.913311,0,0,FALSE
Tb11.01.6240,Tb11.01.6240,3.61E-07,6.80E-07,-73.54222592,-92.59134986,7,2,13.16032642,0,0,FALSE
Tb11.01.6250,Tb11.01.6250,7.81E-08,1.56E-07,-78.19556123,-98.89293953,7,2,15.49846562,0,0,FALSE
Tb11.02.5090,Tb11.02.5090,1.14E-10,2.75E-10,-135.2099951,-162.85642,7,2,517.5777691,0,0,FALSE
Tb11.02.5105,Tb11.02.5105,0.000150523,0.000226211,-150.2052005,-162.6182981,7,2,1022.035074,0,0,FALSE
Tb11.02.5360,Tb11.02.5360,0.001022021,0.00141861,-154.8545512,-165.0869337,7,2,1100.002094,0,0,FALSE
Tb11.02.5370,Tb11.02.5370,6.71E-07,1.24E-06,-143.9752411,-162.3524158,7,2,1219.941067,0,0,FALSE
Tb11.02.5390,Tb11.02.5390,4.78E-77,7.14E-76,-166.8682644,-350.1438568,7,2,5362.842028,0,0,FALSE
Tb11.02.5400,Tb11.02.5400,3.56E-122,9.03E-121,-174.2694685,-462.1291312,7,2,5907.388179,0,0,FALSE
Tb11.02.5410,Tb11.02.5410,3.38E-09,7.42E-09,-134.0536447,-158.1064037,7,2,738.3009426,0,0,FALSE
Tb11.02.5420,Tb11.02.5420,7.13E-08,1.42E-07,-156.4995302,-177.2951419,7,2,2375.740324,0,0,FALSE
Tb11.02.5430,Tb11.02.5430,0.000259176,0.000381415,-151.9818769,-163.7815627,7,2,1715.990909,0,0,FALSE
Tb11.02.5440,Tb11.02.5440,0.000291179,0.000425907,-153.7021783,-165.369939,7,2,1997.850413,0,0,FALSE
Tb927.1.100,Tb927.1.100,1.35E-07,2.64E-07,-184.8389062,-204.9470072,7,2,3320.602834,0,0,FALSE
Tb927.1.1000,Tb927.1.1000,2.38E-19,9.05E-19,-183.4389691,-231.8863744,7,2,2761.769261,0,0,FALSE
Tb927.1.1010,Tb927.1.1010,3.05E-07,5.80E-07,-145.1825082,-164.410862,7,2,1511.807713,0,0,FALSE
Tb927.1.1020,Tb927.1.1020,2.79E-05,4.47E-05,-136.3113488,-150.6048841,7,2,1206.158655,0,0,FALSE
Tb927.1.1030,Tb927.1.1030,0.023050171,0.027987983,-155.6514922,-162.169144,7,2,2075.418643,0,0,FALSE
Tb927.1.1040,Tb927.1.1040,0.180429617,0.197272695,-100.8946038,-104.6887767,7,2,78.3619779,0,0,FALSE
Tb927.1.1050,Tb927.1.1050,4.56E-40,3.39E-39,-162.7913944,-259.9731416,7,2,3835.169823,0,0,FALSE
Tb927.1.1060,Tb927.1.1060,0.000503241,0.000720396,-146.4790346,-157.5243221,7,2,1160.020488,0,0,FALSE
Tb927.1.1070,Tb927.1.1070,6.41E-11,1.57E-10,-115.9487745,-144.1988975,7,2,203.6532203,0,0,FALSE
Tb927.1.1080,Tb927.1.1080,1.41E-06,2.53E-06,-141.2222565,-158.7926072,7,2,996.163185,0,0,FALSE
Tb927.1.110,Tb927.1.110,6.02E-19,2.25E-18,-151.2671786,-198.7580504,7,2,831.8205126,0,0,FALSE
Tb927.1.1100,Tb927.1.1100,8.25E-48,7.28E-47,-144.9344844,-260.198093,7,2,733.7860965,0,0,FALSE
Tb927.1.1110,Tb927.1.1110,0.135544959,0.150435014,-104.5266254,-108.7264222,7,2,137.9796813,0,0,FALSE
Tb927.1.1120,Tb927.1.1120,0.002468489,0.003310635,-149.6166375,-158.8243034,7,2,1562.78252,0,0,FALSE
Tb927.1.1130,Tb927.1.1130,5.38E-40,3.99E-39,-148.5312066,-245.54442,7,2,2375.456326,0,0,FALSE
Tb927.1.1140,Tb927.1.1140,2.99E-50,2.81E-49,-171.2086603,-292.1625103,7,2,1647.702158,0,0,FALSE
Tb927.1.1150,Tb927.1.1150,0.689785448,0.703427025,-146.928924,-148.4620074,7,2,1555.561981,0,0,FALSE
Tb927.1.1160,Tb927.1.1160,4.77E-06,8.17E-06,-145.1769274,-161.4166418,7,2,1706.159547,0,0,FALSE
Tb927.1.1170,Tb927.1.1170,0.236620825,0.255126405,-158.1920844,-161.5877927,7,2,683.1157397,0,0,FALSE
Tb927.1.1180,Tb927.1.1180,0.647534468,0.661870409,-122.8329626,-124.5035812,7,2,264.0616514,0,0,FALSE
Tb927.1.120,Tb927.1.120,6.10E-163,2.15E-161,-247.4865998,-629.6372215,7,2,26453.53791,0,0,FALSE
Tb927.1.1200,Tb927.1.1200,0.120380149,0.134468809,-172.8354133,-177.1998432,7,2,2432.772441,0,0,FALSE
Tb927.1.1210,Tb927.1.1210,1.59E-07,3.08E-07,-149.2851264,-169.2205862,7,2,1308.204837,0,0,FALSE
Tb927.1.1220,Tb927.1.1220,0.836684896,0.844447732,-144.0919124,-145.1364596,7,2,1384.118043,0,0,FALSE
Tb927.1.1230,Tb927.1.1230,0.861655179,0.868105021,-142.0380379,-142.9922889,7,2,965.759061,0,0,FALSE
Tb927.1.1240,Tb927.1.1240,2.32E-27,1.21E-26,-192.3690895,-259.7518944,7,2,6074.868971,0,0,FALSE
Tb927.1.1250,Tb927.1.1250,0.000853783,0.001192802,-135.4003347,-145.8398899,7,2,388.9903659,0,0,FALSE
Tb927.1.1260,Tb927.1.1260,5.61E-05,8.75E-05,-145.9148695,-159.4329485,7,2,440.1415519,0,0,FALSE
Tb927.1.1270,Tb927.1.1270,4.10E-30,2.33E-29,-158.2694896,-232.1252959,7,2,1294.600929,0,0,FALSE
Tb927.1.1280,Tb927.1.1280,3.99E-05,6.30E-05,-115.0006047,-128.8982305,7,2,133.2361902,0,0,FALSE
Tb927.1.1290,Tb927.1.1290,0.058318286,0.067498873,-132.2165431,-137.5518062,7,2,201.8346085,0,0,FALSE
Tb927.1.1300,Tb927.1.1300,5.02E-19,1.88E-18,-131.1946165,-178.8745457,7,2,521.9924613,0,0,FALSE
Tb927.1.1310,Tb927.1.1310,0.218625238,0.236687527,-149.4017404,-152.9153405,7,2,2122.68351,0,0,FALSE
Tb927.1.1320,Tb927.1.1320,0.045810151,0.053630902,-120.122268,-125.7704593,7,2,246.24375,0,0,FALSE
Tb927.1.1330,Tb927.1.1330,1.77E-06,3.15E-06,-150.6098217,-167.9345813,7,2,2136.302367,0,0,FALSE
Tb927.1.1340,Tb927.1.1340,9.78E-19,3.62E-18,-142.9470857,-189.9380485,7,2,1766.461774,0,0,FALSE
Tb927.1.1350,Tb927.1.1350,2.28E-23,1.02E-22,-148.8575096,-206.8252291,7,2,1820.538531,0,0,FALSE
Tb927.1.1360,Tb927.1.1360,0.041669118,0.049028666,-101.0088735,-106.77873,7,2,94.8026875,0,0,FALSE
Tb927.1.1370,Tb927.1.1370,0,0,-181.8829792,-1197.560683,7,2,2546.922091,0,0,FALSE
Tb927.1.1380,Tb927.1.1380,4.49E-06,7.70E-06,-145.0194103,-161.3267215,7,2,877.8838874,0,0,FALSE
Tb927.1.1390,Tb927.1.1390,3.78E-09,8.26E-09,-135.816243,-159.7499505,7,2,807.5517472,0,0,FALSE
Tb927.1.1400,Tb927.1.1400,0.051022193,0.059495923,-121.918617,-127.4276695,7,2,483.5508751,0,0,FALSE
Tb927.1.1420,Tb927.1.1420,0.001251376,0.001722811,-127.7878937,-137.7863715,7,2,305.9627991,0,0,FALSE
Tb927.1.1430,Tb927.1.1430,0.120052007,0.134140001,-101.9844154,-106.3526105,7,2,74.85237045,0,0,FALSE
Tb927.1.1440,Tb927.1.1440,0.002665723,0.003561323,-120.6392455,-129.7568041,7,2,258.3054513,0,0,FALSE
