"","x"
"1","Tb927.1.110"
"2","Tb927.1.110"
"3","Tb927.1.110"
"4","Tb927.1.110"
"5","Tb927.1.20"
"6","Tb927.1.20"
"7","Tb927.1.20"
"8","Tb927.1.20"
"9","Tb927.1.300"
"10","Tb927.1.300"
"11","Tb927.1.300"
"12","Tb927.1.300"
"13","Tb927.1.3200"
"14","Tb927.1.3200"
"15","Tb927.1.3200"
"16","Tb927.1.3200"
"17","Tb927.1.3210"
"18","Tb927.1.3210"
"19","Tb927.1.3210"
"20","Tb927.1.3210"
"21","Tb927.1.330"
"22","Tb927.1.330"
"23","Tb927.1.330"
"24","Tb927.1.330"
"25","Tb927.1.500"
"26","Tb927.1.500"
"27","Tb927.1.500"
"28","Tb927.1.500"
"29","Tb927.1.5340"
"30","Tb927.1.5340"
"31","Tb927.1.5340"
"32","Tb927.1.5340"
"33","Tb927.10.10590"
"34","Tb927.10.10590"
"35","Tb927.10.10590"
"36","Tb927.10.10590"
"37","Tb927.10.1080"
"38","Tb927.10.1080"
"39","Tb927.10.1080"
"40","Tb927.10.1080"
"41","Tb927.10.11700"
"42","Tb927.10.11700"
"43","Tb927.10.11700"
"44","Tb927.10.11700"
"45","Tb927.10.12340"
"46","Tb927.10.12340"
"47","Tb927.10.12340"
"48","Tb927.10.12340"
"49","Tb927.10.14060"
"50","Tb927.10.14060"
"51","Tb927.10.14060"
"52","Tb927.10.14060"
"53","Tb927.10.14140"
"54","Tb927.10.14140"
"55","Tb927.10.14140"
"56","Tb927.10.14140"
"57","Tb927.10.15270"
"58","Tb927.10.15270"
"59","Tb927.10.15270"
"60","Tb927.10.15270"
"61","Tb927.10.2010"
"62","Tb927.10.2010"
"63","Tb927.10.2010"
"64","Tb927.10.2010"
"65","Tb927.10.2890"
"66","Tb927.10.2890"
"67","Tb927.10.2890"
"68","Tb927.10.2890"
"69","Tb927.10.3410"
"70","Tb927.10.3410"
"71","Tb927.10.3410"
"72","Tb927.10.3410"
"73","Tb927.10.3660"
"74","Tb927.10.3660"
"75","Tb927.10.3660"
"76","Tb927.10.3660"
"77","Tb927.10.6020"
"78","Tb927.10.6020"
"79","Tb927.10.6020"
"80","Tb927.10.6020"
"81","Tb927.10.6900"
"82","Tb927.10.6900"
"83","Tb927.10.6900"
"84","Tb927.10.6900"
"85","Tb927.10.6920"
"86","Tb927.10.6920"
"87","Tb927.10.6920"
"88","Tb927.10.6920"
"89","Tb927.10.8020"
"90","Tb927.10.8020"
"91","Tb927.10.8020"
"92","Tb927.10.8020"
"93","Tb927.10.8230"
"94","Tb927.10.8230"
"95","Tb927.10.8230"
"96","Tb927.10.8230"
"97","Tb927.11.10060"
"98","Tb927.11.10060"
"99","Tb927.11.10060"
"100","Tb927.11.10060"
"101","Tb927.11.1500"
"102","Tb927.11.1500"
"103","Tb927.11.1500"
"104","Tb927.11.1500"
"105","Tb927.11.2500"
"106","Tb927.11.2500"
"107","Tb927.11.2500"
"108","Tb927.11.2500"
"109","Tb927.11.2650"
"110","Tb927.11.2650"
"111","Tb927.11.2650"
"112","Tb927.11.2650"
"113","Tb927.11.2840"
"114","Tb927.11.2840"
"115","Tb927.11.2840"
"116","Tb927.11.2840"
"117","Tb927.11.7380"
"118","Tb927.11.7380"
"119","Tb927.11.7380"
"120","Tb927.11.7380"
"121","Tb927.11.8440"
"122","Tb927.11.8440"
"123","Tb927.11.8440"
"124","Tb927.11.8440"
"125","Tb927.11.9000"
"126","Tb927.11.9000"
"127","Tb927.11.9000"
"128","Tb927.11.9000"
"129","Tb927.2.3190"
"130","Tb927.2.3190"
"131","Tb927.2.3190"
"132","Tb927.2.3190"
"133","Tb927.2.340"
"134","Tb927.2.340"
"135","Tb927.2.340"
"136","Tb927.2.340"
"137","Tb927.2.5280"
"138","Tb927.2.5280"
"139","Tb927.2.5280"
"140","Tb927.2.5280"
"141","Tb927.2.5350"
"142","Tb927.2.5350"
"143","Tb927.2.5350"
"144","Tb927.2.5350"
"145","Tb927.2.5384"
"146","Tb927.2.5384"
"147","Tb927.2.5384"
"148","Tb927.2.5384"
"149","Tb927.3.2230"
"150","Tb927.3.2230"
"151","Tb927.3.2230"
"152","Tb927.3.2230"
"153","Tb927.3.2420"
"154","Tb927.3.2420"
"155","Tb927.3.2420"
"156","Tb927.3.2420"
"157","Tb927.3.590"
"158","Tb927.3.590"
"159","Tb927.3.590"
