"","x"
"1","Tb927.1.120"
"2","Tb927.1.120"
"3","Tb927.1.120"
"4","Tb927.1.120"
"5","Tb927.1.1270"
"6","Tb927.1.1270"
"7","Tb927.1.1270"
"8","Tb927.1.1270"
"9","Tb927.1.1370"
"10","Tb927.1.1370"
"11","Tb927.1.1370"
"12","Tb927.1.1370"
"13","Tb927.1.1540"
"14","Tb927.1.1540"
"15","Tb927.1.1540"
"16","Tb927.1.1540"
"17","Tb927.1.1620"
"18","Tb927.1.1620"
"19","Tb927.1.1620"
"20","Tb927.1.1620"
"21","Tb927.1.1700"
"22","Tb927.1.1700"
"23","Tb927.1.1700"
"24","Tb927.1.1700"
"25","Tb927.1.2580"
"26","Tb927.1.2580"
"27","Tb927.1.2580"
"28","Tb927.1.2580"
"29","Tb927.1.2670"
"30","Tb927.1.2670"
"31","Tb927.1.2670"
"32","Tb927.1.2670"
"33","Tb927.1.2750"
"34","Tb927.1.2750"
"35","Tb927.1.2750"
"36","Tb927.1.2750"
"37","Tb927.1.3390"
"38","Tb927.1.3390"
"39","Tb927.1.3390"
"40","Tb927.1.3390"
"41","Tb927.1.3450"
"42","Tb927.1.3450"
"43","Tb927.1.3450"
"44","Tb927.1.3450"
"45","Tb927.1.540"
"46","Tb927.1.540"
"47","Tb927.1.540"
"48","Tb927.1.540"
"49","Tb927.1.560"
"50","Tb927.1.560"
"51","Tb927.1.560"
"52","Tb927.1.560"
"53","Tb927.1.880"
"54","Tb927.1.880"
"55","Tb927.1.880"
"56","Tb927.1.880"
"57","Tb927.10.10010"
"58","Tb927.10.10010"
"59","Tb927.10.10010"
"60","Tb927.10.10010"
"61","Tb927.10.10070"
"62","Tb927.10.10070"
"63","Tb927.10.10070"
"64","Tb927.10.10070"
"65","Tb927.10.10200"
"66","Tb927.10.10200"
"67","Tb927.10.10200"
"68","Tb927.10.10200"
"69","Tb927.10.10210"
"70","Tb927.10.10210"
"71","Tb927.10.10210"
"72","Tb927.10.10210"
"73","Tb927.10.10220"
"74","Tb927.10.10220"
"75","Tb927.10.10220"
"76","Tb927.10.10220"
"77","Tb927.10.10230"
"78","Tb927.10.10230"
"79","Tb927.10.10230"
"80","Tb927.10.10230"
