"","x"
"1","Tb927.1.600"
"2","Tb927.1.1000"
"3","Tb927.1.1010"
"4","Tb927.1.1720"
"5","Tb927.1.2180"
"6","Tb927.1.2970"
"7","Tb927.1.3310"
"8","Tb927.1.3840"
"9","Tb927.1.3860"
"10","Tb927.1.3910"
"11","Tb927.1.4370"
"12","Tb927.1.5000"
"13","Tb927.1.5050"
"14","Tb927.2.1850"
"15","Tb927.2.1890"
"16","Tb927.2.2240"
"17","Tb927.2.4930"
"18","Tb927.2.5200"
"19","Tb927.2.5230"
"20","Tb927.2.5930"
"21","Tb927.3.850"
"22","Tb927.3.1400"
"23","Tb927.3.1720"
"24","Tb927.3.2130"
"25","Tb927.3.2200"
"26","Tb927.3.2240"
"27","Tb927.3.2410"
"28","Tb927.3.3080"
"29","Tb927.3.3160"
"30","Tb927.3.3330"
"31","Tb927.3.3360"
"32","Tb927.3.3400"
"33","Tb927.3.4140"
"34","Tb927.3.5090"
"35","Tb927.3.5640"
"36","Tb927.4.370"
"37","Tb927.4.1090"
"38","Tb927.4.1110"
"39","Tb927.4.1150"
"40","Tb927.4.1240"
"41","Tb927.4.1280"
"42","Tb927.4.1460"
"43","Tb927.4.1600"
"44","Tb927.4.1730"
"45","Tb927.4.1950"
"46","Tb927.4.2140"
"47","Tb927.4.2240"
"48","Tb927.4.2390"
"49","Tb927.4.2440"
"50","Tb927.4.2830"
"51","Tb927.4.2960"
"52","Tb927.4.3090"
"53","Tb927.4.3620"
"54","Tb927.4.3650"
"55","Tb927.4.3860"
"56","Tb927.4.4190"
"57","Tb927.4.4990"
"58","Tb927.4.5060"
"59","Tb927.4.5140"
"60","Tb927.5.288b"
"61","Tb927.5.291b"
"62","Tb927.5.320"
"63","Tb927.5.360"
"64","Tb927.5.370"
"65","Tb927.5.390"
"66","Tb927.5.510"
"67","Tb927.5.590"
"68","Tb927.5.660"
"69","Tb927.5.1660"
"70","Tb927.5.1730"
"71","Tb927.5.1880"
"72","Tb927.5.1970"
"73","Tb927.5.2450"
"74","Tb927.5.2490"
"75","Tb927.5.2580"
"76","Tb927.5.2680"
"77","Tb927.5.2740"
"78","Tb927.5.3100"
"79","Tb927.5.3380"
"80","Tb927.5.3470"
"81","Tb927.5.3550"
"82","Tb927.5.3560"
"83","Tb927.5.3590"
"84","Tb927.5.3600"
"85","Tb927.5.4350"
"86","Tb927.5.4360"
"87","Tb927.5.4430"
"88","Tb927.6.370"
"89","Tb927.6.840"
"90","Tb927.6.1110"
"91","Tb927.6.1130"
"92","Tb927.6.1210"
"93","Tb927.6.1560"
"94","Tb927.6.1850"
"95","Tb927.6.2130"
"96","Tb927.6.3030"
"97","Tb927.6.3120"
"98","Tb927.6.3140"
"99","Tb927.6.3190"
"100","Tb927.6.3230"
"101","Tb927.6.3290"
"102","Tb927.6.3590"
"103","Tb927.6.3860"
"104","Tb927.6.3950"
"105","Tb927.6.4180"
"106","Tb927.6.4290"
"107","Tb927.6.4520"
"108","Tb927.6.4550"
"109","Tb927.6.4640"
"110","Tb927.6.5030"
"111","Tb927.7.330"
"112","Tb927.7.690"
"113","Tb927.7.1260"
"114","Tb927.7.1690"
