"","x"
"1","talB"
"2","mog"
"3","nhaA"
"4","kefF"
"5","kefC"
"6","folA"
"7","polB"
"8","leuD"
"9","secM"
"10","nadC"
"11","lpd"
"12","yacH"
"13","acnB"
"14","cueO"
"15","panD"
"16","sfsA"
"17","clcA"
"18","yadS"
"19","yaeH"
"20","dapD"
"21","ispU"
"22","ldcC"
"23","yaeR"
"24","yaeP"
"25","nlpE"
"26","yaeF"
"27","metI"
"28","rnhA"
"29","yafV"
"30","ivy"
"31","mmuP"
"32","paoD"
"33","paoC"
"34","paoB"
"35","paoA"
"36","ecpC"
"37","rclA"
"38","yahK"
"39","yahO"
"40","prpR"
"41","prpB"
"42","prpC"
"43","prpD"
"44","prpE"
"45","iraP"
"46","phoA"
"47","psiF"
"48","yaiC"
"49","yaiI"
"50","aroL"
"51","yaiA"
"52","acpH"
"53","yajC"
"54","secD"
"55","tsx"
"56","yajI"
"57","nrdR"
"58","yajO"
"59","ispA"
"60","cyoA"
"61","bolA"
"62","clpP"
"63","clpX"
"64","ppiD"
"65","fadM"
"66","queC"
"67","tesB"
"68","ybaY"
"69","ybaA"
"70","hemH"
"71","glsA"
"72","ybaT"
"73","cueR"
"74","qmcA"
"75","allR"
"76","gcl"
"77","sfmA"
"78","nmpC"
"79","essD"
"80","rrrD"
"81","rzpD"
"82","rzoD"
"83","borD"
"84","ompT"
"85","nfrB"
"86","ybdG"
"87","nfsB"
"88","ybdK"
"89","fes"
"90","ahpC"
"91","ybdR"
"92","pagP"
"93","lipA"
"94","ybeL"
"95","ybeY"
"96","ybeZ"
"97","ubiF"
"98","glnS"
"99","chiP"
"100","seqA"
"101","kdpD"
"102","ybgA"
"103","phr"
"104","nei"
"105","mngR"
"106","pnuC"
"107","zitB"
"108","ybgS"
"109","pgl"
"110","ybhB"
"111","uvrB"
"112","ybhL"
"113","ybhN"
"114","clsB"
"115","ybhP"
"116","ybhS"
"117","ybhF"
"118","ybhG"
"119","rhlE"
"120","ybiI"
"121","mcbA"
"122","ybiO"
"123","glnQ"
"124","glnP"
"125","glnH"
"126","dps"
"127","ybiU"
"128","yliI"
"129","dacC"
"130","ybjJ"
"131","ybjN"
"132","potF"
"133","potG"
"134","potI"
"135","rlmC"
"136","artJ"
"137","artM"
"138","artQ"
"139","artI"
"140","artP"
"141","ybjP"
"142","ybjQ"
"143","amiD"
"144","ltaE"
"145","poxB"
"146","cspD"
"147","dmsA"
"148","dmsC"
"149","ycaC"
"150","ycaP"
"151","ycbJ"
"152","smtA"
"153","mukF"
"154","ldtD"
"155","yccT"
"156","yccU"
"157","hspQ"
"158","yccX"
"159","hyaA"
"160","hyaB"
"161","hyaE"
"162","hyaF"
"163","cbdA"
"164","cbdB"
"165","cbdX"
"166","appA"
"167","etk"
"168","cspH"
"169","cbpM"
"170","cbpA"
"171","yccJ"
"172","wrbA"
"173","ymdF"
"174","efeO"
"175","pgaD"
"176","ghrA"
"177","ymdB"
"178","clsC"
"179","msyB"
"180","mdtG"
"181","mdtH"
"182","rluC"
"183","yceF"
"184","yceD"
"185","ycfH"
"186","hinT"
"187","ycfL"
"188","lpoB"
"189","thiK"
"190","nagZ"
"191","ldtC"
"192","pepT"
"193","icd"
"194","ycgZ"
"195","ymgA"
"196","ariR"
"197","ymgC"
"198","ycgG"
"199","hlyE"
"200","dsbB"
"201","nhaB"
"202","fadR"
"203","ycgB"
"204","ymgE"
"205","ycgY"
"206","treA"
"207","ycgV"
"208","ychH"
"209","chaA"
"210","chaB"
"211","chaC"
"212","narH"
"213","narI"
"214","rssA"
"215","rssB"
"216","galU"
"217","kch"
"218","yciA"
"219","ompW"
"220","yciE"
"221","yciF"
"222","yciG"
"223","trpB"
"224","yciO"
"225","yciQ"
"226","rluB"
"227","yciX"
"228","pgpB"
"229","osmB"
"230","gmr"
"231","puuD"
"232","puuR"
"233","puuC"
"234","puuB"
"235","puuE"
"236","ycjX"
"237","tpx"
"238","ycjY"
"239","ydaM"
"240","ydaN"
"241","dbpA"
"242","intR"
"243","stfR"
"244","uspF"
"245","pfo"
"246","paaZ"
"247","paaB"
"248","paaE"
"249","paaF"
"250","paaX"
"251","cybB"
"252","hokB"
"253","mokB"
"254","ydcJ"
"255","opgD"
"256","ydcH"
"257","rimL"
"258","ydcK"
"259","ydcL"
"260","ydcS"
"261","ydcT"
"262","ydcU"
"263","ydcV"
"264","patD"
"265","yncL"
"266","curA"
"267","mcbR"
"268","yncD"
"269","yncG"
"270","yncH"
"271","yddH"
"272","narV"
"273","narW"
"274","narY"
"275","narZ"
"276","narU"
"277","adhP"
"278","sra"
"279","bdm"
"280","osmC"
"281","ddpF"
"282","ddpD"
"283","ddpC"
"284","ddpB"
"285","ddpA"
"286","ddpX"
"287","dosP"
"288","dosC"
"289","gadC"
"290","gadB"
"291","pqqL"
"292","yddB"
"293","yddA"
"294","ydeT"
"295","tam"
"296","marC"
"297","marR"
"298","ydeI"
"299","ydeJ"
"300","dcp"
"301","flxA"
"302","ynfC"
"303","ynfD"
"304","ynfE"
"305","ynfF"
"306","dmsD"
"307","asr"
"308","ydgD"
"309","mdtJ"
"310","fumC"
"311","fumA"
"312","ydgA"
"313","hdhA"
"314","malI"
"315","rsxC"
"316","slyA"
"317","sodC"
"318","ydhF"
"319","ydhL"
"320","cfa"
"321","ydhQ"
"322","ydhS"
"323","ydhZ"
"324","pykF"
"325","ldtE"
"326","sufE"
"327","sufS"
"328","sufD"
"329","sufC"
"330","sufB"
"331","sufA"
"332","ydiJ"
"333","ydiK"
"334","btuD"
"335","btuE"
"336","ihfA"
"337","pfkB"
"338","ydiZ"
"339","yniB"
"340","katE"
"341","osmE"
"342","astE"
"343","astB"
"344","astD"
"345","sppA"
"346","msrB"
"347","yeaG"
"348","yeaH"
"349","yeaQ"
"350","yoaB"
"351","yoaC"
"352","nudL"
"353","sdaA"
"354","yoaD"
"355","proQ"
"356","yebS"
"357","yebT"
"358","yebV"
"359","yebW"
"360","pphA"
"361","yebZ"
"362","yobA"
"363","ptrB"
"364","yebF"
"365","lpxM"
"366","znuA"
"367","yecN"
"368","cmoB"
"369","flhE"
"370","otsA"
"371","otsB"
"372","fliC"
"373","amyA"
"374","yedE"
"375","yedF"
"376","dsrB"
"377","yodD"
"378","yedP"
"379","yedQ"
"380","yodC"
"381","yedI"
"382","yedS"
"383","hchA"
"384","yedY"
"385","yedZ"
"386","yodB"
"387","mtfA"
"388","ldtA"
"389","yeeA"
"390","yeeD"
"391","yeeY"
"392","rfbB"
"393","dcd"
"394","yegE"
"395","mdtB"
"396","yegS"
"397","fbaB"
"398","yehD"
"399","yehE"
"400","yehS"
"401","yehT"
"402","yehU"
"403","mlrA"
"404","yehW"
"405","yehX"
"406","yehY"
"407","osmF"
"408","yohC"
"409","yohD"
"410","yohF"
"411","yohP"
"412","yohK"
"413","preA"
"414","lysP"
"415","yeiI"
"416","psuT"
"417","psuG"
"418","yeiR"
"419","bcr"
"420","narP"
"421","ccmA"
"422","napC"
"423","napG"
"424","napF"
"425","eco"
"426","ada"
"427","atoS"
"428","glpA"
"429","yfaZ"
"430","arnB"
"431","arnC"
"432","arnA"
"433","arnD"
"434","arnT"
"435","arnE"
"436","menF"
"437","elaB"
"438","elaA"
"439","lrhA"
