"","x"
"1","Tb927.1.20"
"2","Tb927.1.190"
"3","Tb927.1.240"
"4","Tb927.1.1240"
"5","Tb927.1.1350"
"6","Tb927.1.1460"
"7","Tb927.1.1470"
"8","Tb927.1.1480"
"9","Tb927.1.1560"
"10","Tb927.1.1670"
"11","Tb927.1.1930"
"12","Tb927.1.2120"
"13","Tb927.1.2260"
"14","Tb927.1.2590"
"15","Tb927.1.3060"
"16","Tb927.1.3260"
"17","Tb927.1.3270"
"18","Tb927.1.4050"
"19","Tb927.1.4180"
"20","Tb927.1.4280"
"21","Tb927.1.4310"
"22","Tb927.1.4490"
"23","Tb927.2.270"
"24","Tb927.2.2160"
"25","Tb927.2.2260"
"26","Tb927.2.2340"
"27","Tb927.2.2720"
"28","Tb927.2.3660"
"29","Tb927.2.3720"
"30","Tb927.2.3880"
"31","Tb927.2.3930"
"32","Tb927.2.4050"
"33","Tb927.2.4140"
"34","Tb927.2.4200"
"35","Tb927.2.4230"
"36","Tb927.2.4370"
"37","Tb927.2.4810"
"38","Tb927.2.5270"
"39","Tb927.2.5760"
"40","Tb927.2.5870"
"41","Tb927.3.930"
"42","Tb927.3.1310"
"43","Tb927.3.1420"
"44","Tb927.3.1620"
"45","Tb927.3.1630"
"46","Tb927.3.3550"
"47","Tb927.3.3560"
"48","Tb927.3.3630"
"49","Tb927.3.3690"
"50","Tb927.3.3860"
"51","Tb927.3.4020"
"52","Tb927.3.4030"
"53","Tb927.3.4960"
"54","Tb927.3.5220"
"55","Tb927.3.5250"
"56","Tb927.4.300"
"57","Tb927.4.310"
"58","Tb927.4.420"
"59","Tb927.4.560"
"60","Tb927.4.760"
"61","Tb927.4.770"
"62","Tb927.4.800"
"63","Tb927.4.870"
"64","Tb927.4.1870"
"65","Tb927.4.1910"
"66","Tb927.4.2220"
"67","Tb927.4.2600"
"68","Tb927.4.2920"
"69","Tb927.4.3160"
"70","Tb927.4.3890"
"71","Tb927.4.3920"
"72","Tb927.4.4060"
"73","Tb927.4.4370"
"74","Tb927.4.4400"
"75","Tb927.4.4480"
"76","Tb927.4.4490"
"77","Tb927.4.4500"
"78","Tb927.4.4510"
"79","Tb927.5.500"
"80","Tb927.5.520"
"81","Tb927.5.570"
"82","Tb927.5.910"
"83","Tb927.5.1090"
"84","Tb927.5.1160"
"85","Tb927.5.1260"
"86","Tb927.5.1490"
"87","Tb927.5.1520"
"88","Tb927.5.2060"
"89","Tb927.5.2120"
"90","Tb927.5.2290"
"91","Tb927.5.3030"
"92","Tb927.5.3130"
"93","Tb927.5.3290"
"94","Tb927.5.3330"
"95","Tb927.5.3620"
"96","Tb927.6.620"
"97","Tb927.6.640"
"98","Tb927.6.690"
"99","Tb927.6.890"
"100","Tb927.6.1290"
"101","Tb927.6.1670"
"102","Tb927.6.2370"
"103","Tb927.6.2520"
"104","Tb927.6.3150"
"105","Tb927.6.3280"
"106","Tb927.6.3490"
"107","Tb927.6.3500"
"108","Tb927.6.4000"
"109","Tb927.6.4540"
"110","Tb927.6.4720"
"111","Tb927.6.4770"
"112","Tb927.6.5150"
"113","Tb927.7.530"
"114","Tb927.7.670"
"115","Tb927.7.760"
"116","Tb927.7.920"
"117","Tb927.7.960"
"118","Tb927.7.990"
"119","Tb927.7.1070"
"120","Tb927.7.1090"
"121","Tb927.7.1310"
"122","Tb927.7.1570"
"123","Tb927.7.2120"
"124","Tb927.7.2570"
"125","Tb927.7.2660"
"126","Tb927.7.2670"
"127","Tb927.7.2680"
"128","Tb927.7.2700"
"129","Tb927.7.3040"
"130","Tb927.7.3280"
"131","Tb927.7.3330"
"132","Tb927.7.3370"
"133","Tb927.7.3560"
"134","Tb927.7.3970"
"135","Tb927.7.4000"
"136","Tb927.7.4110"
"137","Tb927.7.4450"
"138","Tb927.7.5340"
"139","Tb927.7.5390"
"140","Tb927.7.5410"
"141","Tb927.7.5600"
"142","Tb927.7.5790"
"143","Tb927.7.6640"
"144","Tb927.7.6680"
"145","Tb927.7.7030"
"146","Tb927.7.7240"
"147","Tb927.7.7290"
"148","Tb927.8.470"
"149","Tb927.8.480"
"150","Tb927.8.870"
"151","Tb927.8.880"
"152","Tb927.8.910"
"153","Tb927.8.1050"
"154","Tb927.8.1100"
"155","Tb927.8.1290"
"156","Tb927.8.1480"
"157","Tb927.8.1550"
"158","Tb927.8.1590"
"159","Tb927.8.1840"
"160","Tb927.8.2630"
"161","Tb927.8.2770"
"162","Tb927.8.2850"
"163","Tb927.8.3020"
"164","Tb927.8.3250"
"165","Tb927.8.3350"
"166","Tb927.8.3410"
"167","Tb927.8.3570"
"168","Tb927.8.3630"
"169","Tb927.8.3650"
"170","Tb927.8.3820"
"171","Tb927.8.4200"
"172","Tb927.8.4210"
"173","Tb927.8.4310"
"174","Tb927.8.4500"
"175","Tb927.8.4780"
"176","Tb927.8.4950"
"177","Tb927.8.5110"
"178","Tb927.8.5370"
"179","Tb927.8.5510"
"180","Tb927.8.5850"
"181","Tb927.8.5920"
"182","Tb927.8.5930"
"183","Tb927.8.6210"
"184","Tb927.8.6500"
"185","Tb927.8.6830"
"186","Tb927.8.7380"
"187","Tb927.8.7400"
"188","Tb927.8.7780"
"189","Tb927.8.7850"
"190","Tb927.8.7950"
"191","Tb927.8.8330"
"192","Tb927.9.1750"
"193","Tb927.9.2590"
"194","Tb927.9.3650"
"195","Tb927.9.4080"
"196","Tb927.9.4640"
"197","Tb927.9.4900"
"198","Tb927.9.5040"
"199","Tb927.9.5410"
"200","Tb927.9.5520"
"201","Tb927.9.5700"
"202","Tb927.9.6510"
"203","Tb927.9.6560"
"204","Tb927.9.7180"
"205","Tb927.9.7370"
"206","Tb927.9.7690"
"207","Tb927.9.10450"
"208","Tb927.9.10630"
"209","Tb927.9.10790"
"210","Tb927.9.10920"
"211","Tb927.9.10950"
"212","Tb927.9.12170"
"213","Tb927.9.12400"
"214","Tb927.9.12510"
"215","Tb927.9.12790"
"216","Tb927.9.12990"
"217","Tb927.9.13050"
"218","Tb927.9.13440"
"219","Tb927.9.13510"
"220","Tb927.9.13610"
"221","Tb927.9.14200"
"222","Tb927.9.14280"
"223","Tb927.9.14470"
"224","Tb927.9.15290"
"225","Tb927.9.15400"
"226","Tb927.9.16890"
"227","Tb927.10.760"
"228","Tb927.10.850"
"229","Tb927.10.890"
"230","Tb927.10.1170"
"231","Tb927.10.1490"
"232","Tb927.10.1510"
"233","Tb927.10.1890"
"234","Tb927.10.1970"
"235","Tb927.10.2040"
"236","Tb927.10.2650"
"237","Tb927.10.2890"
"238","Tb927.10.2950"
"239","Tb927.10.3400"
"240","Tb927.10.3820"
"241","Tb927.10.3900"
"242","Tb927.10.4050"
"243","Tb927.10.4910"
"244","Tb927.10.5090"
"245","Tb927.10.5140"
"246","Tb927.10.5350"
"247","Tb927.10.5380"
"248","Tb927.10.5640"
"249","Tb927.10.5830"
"250","Tb927.10.5850"
"251","Tb927.10.6000"
"252","Tb927.10.6050"
"253","Tb927.10.6330"
"254","Tb927.10.6870"
"255","Tb927.10.6900"
"256","Tb927.10.6920"
"257","Tb927.10.7110"
"258","Tb927.10.7230"
"259","Tb927.10.7300"
"260","Tb927.10.7700"
"261","Tb927.10.8390"
"262","Tb927.10.8590"
"263","Tb927.10.8820"
"264","Tb927.10.8940"
"265","Tb927.10.9230"
"266","Tb927.10.9600"
"267","Tb927.10.9650"
"268","Tb927.10.9690"
