ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0007018	microtubule-based movement	104	14	Tb927.10.1170,Tb927.10.14980,Tb927.10.15400,Tb927.10.5350,Tb927.10.5380,Tb927.11.11220,Tb927.11.8160,Tb927.3.2020,Tb927.3.4960,Tb927.3.930,Tb927.7.3160,Tb927.7.920,Tb927.8.3250,Tb927.9.3650,	13.5	8.38	10.6	8.60588726068e-10	2.53013085464e-07	2.53013085464e-07
GO:0006928	movement of cell or subcellular component	150	15	Tb927.10.1170,Tb927.10.14980,Tb927.10.15400,Tb927.10.5350,Tb927.10.5380,Tb927.11.11220,Tb927.11.8160,Tb927.3.2020,Tb927.3.4960,Tb927.3.930,Tb927.7.1670,Tb927.7.3160,Tb927.7.920,Tb927.8.3250,Tb927.9.3650,	10.0	6.22	7.59	1.37740952422e-08	2.0247920006e-06	4.0495840012e-06
GO:0007017	microtubule-based process	167	14	Tb927.10.1170,Tb927.10.14980,Tb927.10.15400,Tb927.10.5350,Tb927.10.5380,Tb927.11.11220,Tb927.11.8160,Tb927.3.2020,Tb927.3.4960,Tb927.3.930,Tb927.7.3160,Tb927.7.920,Tb927.8.3250,Tb927.9.3650,	8.4	5.22	6.18	3.96996163287e-07	3.89056240021e-05	0.000116716872006
GO:0010970	transport along microtubule	21	4	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.3160,	19.0	11.85	14.85	0.000307696102745	0.0180925308414	0.090462654207
GO:0099111	microtubule-based transport	21	4	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.3160,	19.0	11.85	14.85	0.000307696102745	0.0180925308414	0.090462654207
GO:0030705	cytoskeleton-dependent intracellular transport	22	4	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.3160,	18.2	11.31	14.02	0.000371425233305	0.0181998364319	0.109199018592
GO:0035735	intraciliary transport involved in cilium assembly	14	3	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,	21.4	13.34	17.09	0.00129534695424	0.0489843057975	0.380832004546
GO:0030031	cell projection assembly	54	5	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.1670,Tb927.8.4780,	9.3	5.76	6.47	0.00166613285025	0.0489843057975	0.489843057975
GO:0060271	cilium assembly	54	5	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.1670,Tb927.8.4780,	9.3	5.76	6.47	0.00166613285025	0.0489843057975	0.489843057975
GO:0120031	plasma membrane bounded cell projection assembly	54	5	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.1670,Tb927.8.4780,	9.3	5.76	6.47	0.00166613285025	0.0489843057975	0.489843057975
GO:0042073	intraciliary transport	17	3	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,	17.6	10.98	13.42	0.00233616208745	0.0624392412463	0.686831653709
GO:0030030	cell projection organization	69	5	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.1670,Tb927.8.4780,	7.2	4.51	4.94	0.00489161769943	0.100012743801	1.0
GO:0120036	plasma membrane bounded cell projection organization	69	5	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.1670,Tb927.8.4780,	7.2	4.51	4.94	0.00489161769943	0.100012743801	1.0
GO:0044782	cilium organization	69	5	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.1670,Tb927.8.4780,	7.2	4.51	4.94	0.00489161769943	0.100012743801	1.0
GO:0007052	mitotic spindle organization	7	2	Tb927.7.3160,Tb927.9.3650,	28.6	17.78	24.87	0.00510269101024	0.100012743801	1.0
GO:0031503	protein-containing complex localization	24	3	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,	12.5	7.78	8.94	0.00640704700563	0.116429142954	1.0
GO:1902850	microtubule cytoskeleton organization involved in mitosis	8	2	Tb927.7.3160,Tb927.9.3650,	25.0	15.56	20.73	0.0067322973817	0.116429142954	1.0
GO:0070925	organelle assembly	77	5	Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.1670,Tb927.8.4780,	6.5	4.04	4.39	0.0077701115433	0.126911821874	1.0
