ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0043226	organelle	4734	139	Tb927.1.1270,Tb927.1.1600,Tb927.1.2570,Tb927.1.3200,Tb927.1.3450,Tb927.1.880,Tb927.10.10090,Tb927.10.10170,Tb927.10.1080,Tb927.10.11480,Tb927.10.11700,Tb927.10.12510,Tb927.10.12890,Tb927.10.13120,Tb927.10.13220,Tb927.10.13360,Tb927.10.13560,Tb927.10.14380,Tb927.10.15430,Tb927.10.1550,Tb927.10.16120,Tb927.10.2530,Tb927.10.3210,Tb927.10.3570,Tb927.10.3790,Tb927.10.4060,Tb927.10.5660,Tb927.10.5770,Tb927.10.5910,Tb927.10.6400,Tb927.10.7100,Tb927.10.7380,Tb927.10.7410,Tb927.10.8060,Tb927.10.8120,Tb927.11.10090,Tb927.11.10710,Tb927.11.11290,Tb927.11.11550,Tb927.11.11680,Tb927.11.11920,Tb927.11.11950,Tb927.11.12180,Tb927.11.12190,Tb927.11.12850,Tb927.11.13520,Tb927.11.14300,Tb927.11.14370,Tb927.11.14560,Tb927.11.15430,Tb927.11.15530,Tb927.11.15910,Tb927.11.16730,Tb927.11.16920,Tb927.11.1700,Tb927.11.1980,Tb927.11.2370,Tb927.11.2670,Tb927.11.2950,Tb927.11.3130,Tb927.11.3430,Tb927.11.4490,Tb927.11.5000,Tb927.11.5110,Tb927.11.630,Tb927.11.6870,Tb927.11.7780,Tb927.11.8300,Tb927.11.8720,Tb927.11.880,Tb927.11.9220,Tb927.11.9530,Tb927.11.9590,Tb927.11.980,Tb927.2.100,Tb927.2.1810,Tb927.2.280,Tb927.2.340,Tb927.2.4390,Tb927.2.470,Tb927.2.4830,Tb927.2.5410,Tb927.3.1290,Tb927.3.1920,Tb927.3.2090,Tb927.3.2230,Tb927.3.3230,Tb927.3.3850,Tb927.3.4620,Tb927.4.1300,Tb927.4.2720,Tb927.4.3410,Tb927.4.3810,Tb927.5.1790,Tb927.5.2030,Tb927.5.3210,Tb927.5.3230,Tb927.5.3870,Tb927.5.780,Tb927.5.850,Tb927.5.890,Tb927.6.1500,Tb927.6.4090,Tb927.6.4480,Tb927.6.4650,Tb927.6.4740,Tb927.6.570,Tb927.6.700,Tb927.7.1340,Tb927.7.1910,Tb927.7.2080,Tb927.7.2240,Tb927.7.3620,Tb927.7.4520,Tb927.7.5110,Tb927.7.6670,Tb927.7.6890,Tb927.7.710,Tb927.7.7200,Tb927.8.1250,Tb927.8.1740,Tb927.8.1860,Tb927.8.4250,Tb927.8.5630,Tb927.8.6170,Tb927.8.6220,Tb927.8.6520,Tb927.8.6590,Tb927.8.7520,Tb927.8.820,Tb927.9.10230,Tb927.9.13320,Tb927.9.13380,Tb927.9.14260,Tb927.9.1530,Tb927.9.2320,Tb927.9.4230,Tb927.9.7210,Tb927.9.8410,	2.9	1.28	2.33	5.75000256525e-07	0.000111550049766	0.000111550049766
GO:0044422	organelle part	3274	106	Tb927.1.1270,Tb927.1.2570,Tb927.1.3200,Tb927.1.3450,Tb927.1.880,Tb927.10.10090,Tb927.10.10170,Tb927.10.1080,Tb927.10.11480,Tb927.10.11700,Tb927.10.12510,Tb927.10.13220,Tb927.10.13360,Tb927.10.13560,Tb927.10.14380,Tb927.10.15430,Tb927.10.1550,Tb927.10.16120,Tb927.10.2530,Tb927.10.3210,Tb927.10.3570,Tb927.10.4060,Tb927.10.5770,Tb927.10.5910,Tb927.10.7100,Tb927.10.7380,Tb927.10.8060,Tb927.10.8120,Tb927.11.10090,Tb927.11.10710,Tb927.11.11290,Tb927.11.11680,Tb927.11.11920,Tb927.11.11950,Tb927.11.12180,Tb927.11.12190,Tb927.11.12850,Tb927.11.13520,Tb927.11.14300,Tb927.11.14370,Tb927.11.14560,Tb927.11.15430,Tb927.11.15530,Tb927.11.15910,Tb927.11.16730,Tb927.11.16920,Tb927.11.1700,Tb927.11.1980,Tb927.11.2370,Tb927.11.2670,Tb927.11.2950,Tb927.11.3130,Tb927.11.3430,Tb927.11.4490,Tb927.11.5000,Tb927.11.5110,Tb927.11.630,Tb927.11.6870,Tb927.11.7780,Tb927.11.8300,Tb927.11.8720,Tb927.11.880,Tb927.11.9220,Tb927.11.9530,Tb927.11.9590,Tb927.11.980,Tb927.2.1810,Tb927.2.5410,Tb927.3.1290,Tb927.3.2090,Tb927.3.3230,Tb927.3.3850,Tb927.3.4620,Tb927.4.2720,Tb927.4.3810,Tb927.5.1790,Tb927.5.2030,Tb927.5.3210,Tb927.5.3870,Tb927.5.780,Tb927.5.850,Tb927.6.1500,Tb927.6.4090,Tb927.6.4480,Tb927.6.4650,Tb927.6.4740,Tb927.6.570,Tb927.6.700,Tb927.7.1340,Tb927.7.1910,Tb927.7.3620,Tb927.7.4520,Tb927.7.6670,Tb927.7.6890,Tb927.7.710,Tb927.7.7200,Tb927.8.1740,Tb927.8.5630,Tb927.8.6170,Tb927.8.7520,Tb927.8.820,Tb927.9.10230,Tb927.9.13380,Tb927.9.14260,Tb927.9.2320,Tb927.9.4230,	3.2	1.41	2.06	1.57562911785e-06	0.00012911477643	0.000305672048862
GO:0005634	nucleus	2033	75	Tb927.1.3200,Tb927.1.3450,Tb927.1.880,Tb927.10.10170,Tb927.10.11480,Tb927.10.11700,Tb927.10.13220,Tb927.10.13560,Tb927.10.14380,Tb927.10.15430,Tb927.10.1550,Tb927.10.2530,Tb927.10.3210,Tb927.10.3790,Tb927.10.4060,Tb927.10.5770,Tb927.10.7100,Tb927.10.8120,Tb927.11.10710,Tb927.11.11290,Tb927.11.11550,Tb927.11.12190,Tb927.11.13520,Tb927.11.14370,Tb927.11.14560,Tb927.11.15430,Tb927.11.15530,Tb927.11.15910,Tb927.11.16920,Tb927.11.1980,Tb927.11.2370,Tb927.11.2670,Tb927.11.2950,Tb927.11.3430,Tb927.11.5110,Tb927.11.630,Tb927.11.6870,Tb927.11.8720,Tb927.11.880,Tb927.11.9220,Tb927.11.980,Tb927.2.100,Tb927.2.1810,Tb927.2.280,Tb927.2.340,Tb927.2.4390,Tb927.2.470,Tb927.2.5410,Tb927.3.1290,Tb927.3.1920,Tb927.3.2090,Tb927.3.3230,Tb927.3.4620,Tb927.4.2720,Tb927.4.3410,Tb927.4.3810,Tb927.5.1790,Tb927.5.3210,Tb927.5.3230,Tb927.5.780,Tb927.5.850,Tb927.6.4090,Tb927.6.4650,Tb927.6.4740,Tb927.7.2080,Tb927.7.2240,Tb927.7.4520,Tb927.7.6670,Tb927.7.6890,Tb927.8.5630,Tb927.8.6170,Tb927.8.6220,Tb927.8.820,Tb927.9.10230,Tb927.9.13320,	3.7	1.61	2.1	1.99662025407e-06	0.00012911477643	0.00038734432929
GO:0043231	intracellular membrane-bounded organelle	3666	114	Tb927.1.1600,Tb927.1.2570,Tb927.1.3200,Tb927.1.3450,Tb927.1.880,Tb927.10.10170,Tb927.10.11480,Tb927.10.11700,Tb927.10.12890,Tb927.10.13120,Tb927.10.13220,Tb927.10.13360,Tb927.10.13560,Tb927.10.14380,Tb927.10.15430,Tb927.10.1550,Tb927.10.16120,Tb927.10.2530,Tb927.10.3210,Tb927.10.3570,Tb927.10.3790,Tb927.10.4060,Tb927.10.5660,Tb927.10.5770,Tb927.10.6400,Tb927.10.7100,Tb927.10.7380,Tb927.10.7410,Tb927.10.8120,Tb927.11.10710,Tb927.11.11290,Tb927.11.11550,Tb927.11.11680,Tb927.11.11950,Tb927.11.12190,Tb927.11.13520,Tb927.11.14370,Tb927.11.14560,Tb927.11.15430,Tb927.11.15530,Tb927.11.15910,Tb927.11.16730,Tb927.11.16920,Tb927.11.1700,Tb927.11.1980,Tb927.11.2370,Tb927.11.2670,Tb927.11.2950,Tb927.11.3130,Tb927.11.3430,Tb927.11.4490,Tb927.11.5110,Tb927.11.630,Tb927.11.6870,Tb927.11.7780,Tb927.11.8720,Tb927.11.880,Tb927.11.9220,Tb927.11.980,Tb927.2.100,Tb927.2.1810,Tb927.2.280,Tb927.2.340,Tb927.2.4390,Tb927.2.470,Tb927.2.4830,Tb927.2.5410,Tb927.3.1290,Tb927.3.1920,Tb927.3.2090,Tb927.3.2230,Tb927.3.3230,Tb927.3.3850,Tb927.3.4620,Tb927.4.2720,Tb927.4.3410,Tb927.4.3810,Tb927.5.1790,Tb927.5.2030,Tb927.5.3210,Tb927.5.3230,Tb927.5.3870,Tb927.5.780,Tb927.5.850,Tb927.5.890,Tb927.6.1500,Tb927.6.4090,Tb927.6.4650,Tb927.6.4740,Tb927.7.1340,Tb927.7.1910,Tb927.7.2080,Tb927.7.2240,Tb927.7.4520,Tb927.7.5110,Tb927.7.6670,Tb927.7.6890,Tb927.8.1250,Tb927.8.1740,Tb927.8.1860,Tb927.8.4250,Tb927.8.5630,Tb927.8.6170,Tb927.8.6220,Tb927.8.6520,Tb927.8.6590,Tb927.8.820,Tb927.9.10230,Tb927.9.13320,Tb927.9.1530,Tb927.9.2320,Tb927.9.4230,Tb927.9.7210,Tb927.9.8410,	3.1	1.36	2.03	3.22800925325e-06	0.000134812790509	0.00062623379513
GO:0043227	membrane-bounded organelle	3715	115	Tb927.1.1600,Tb927.1.2570,Tb927.1.3200,Tb927.1.3450,Tb927.1.880,Tb927.10.10170,Tb927.10.11480,Tb927.10.11700,Tb927.10.12890,Tb927.10.13120,Tb927.10.13220,Tb927.10.13360,Tb927.10.13560,Tb927.10.14380,Tb927.10.15430,Tb927.10.1550,Tb927.10.16120,Tb927.10.2530,Tb927.10.3210,Tb927.10.3570,Tb927.10.3790,Tb927.10.4060,Tb927.10.5660,Tb927.10.5770,Tb927.10.6400,Tb927.10.7100,Tb927.10.7380,Tb927.10.7410,Tb927.10.8120,Tb927.11.10710,Tb927.11.11290,Tb927.11.11550,Tb927.11.11680,Tb927.11.11950,Tb927.11.12190,Tb927.11.13520,Tb927.11.14370,Tb927.11.14560,Tb927.11.15430,Tb927.11.15530,Tb927.11.15910,Tb927.11.16730,Tb927.11.16920,Tb927.11.1700,Tb927.11.1980,Tb927.11.2370,Tb927.11.2670,Tb927.11.2950,Tb927.11.3130,Tb927.11.3430,Tb927.11.4490,Tb927.11.5110,Tb927.11.630,Tb927.11.6870,Tb927.11.7780,Tb927.11.8720,Tb927.11.880,Tb927.11.9220,Tb927.11.980,Tb927.2.100,Tb927.2.1810,Tb927.2.280,Tb927.2.340,Tb927.2.4390,Tb927.2.470,Tb927.2.4830,Tb927.2.5410,Tb927.3.1290,Tb927.3.1920,Tb927.3.2090,Tb927.3.2230,Tb927.3.3230,Tb927.3.3850,Tb927.3.4620,Tb927.4.2720,Tb927.4.3410,Tb927.4.3810,Tb927.5.1790,Tb927.5.2030,Tb927.5.3210,Tb927.5.3230,Tb927.5.3870,Tb927.5.780,Tb927.5.850,Tb927.5.890,Tb927.6.1500,Tb927.6.4090,Tb927.6.4650,Tb927.6.4740,Tb927.7.1340,Tb927.7.1910,Tb927.7.2080,Tb927.7.2240,Tb927.7.4520,Tb927.7.5110,Tb927.7.6670,Tb927.7.6890,Tb927.8.1250,Tb927.8.1740,Tb927.8.1860,Tb927.8.4250,Tb927.8.5630,Tb927.8.6170,Tb927.8.6220,Tb927.8.6520,Tb927.8.6590,Tb927.8.820,Tb927.9.10230,Tb927.9.13320,Tb927.9.13380,Tb927.9.1530,Tb927.9.2320,Tb927.9.4230,Tb927.9.7210,Tb927.9.8410,	3.1	1.35	2.03	3.47455645642e-06	0.000134812790509	0.000674063952546
GO:0044428	nuclear part	1488	58	Tb927.1.3200,Tb927.1.3450,Tb927.1.880,Tb927.10.10170,Tb927.10.11480,Tb927.10.11700,Tb927.10.13220,Tb927.10.13560,Tb927.10.14380,Tb927.10.15430,Tb927.10.1550,Tb927.10.2530,Tb927.10.3210,Tb927.10.4060,Tb927.10.5770,Tb927.10.7100,Tb927.10.8120,Tb927.11.10710,Tb927.11.11290,Tb927.11.12190,Tb927.11.13520,Tb927.11.14370,Tb927.11.14560,Tb927.11.15430,Tb927.11.15530,Tb927.11.15910,Tb927.11.16920,Tb927.11.1980,Tb927.11.2370,Tb927.11.2670,Tb927.11.2950,Tb927.11.3430,Tb927.11.5110,Tb927.11.630,Tb927.11.8720,Tb927.11.880,Tb927.11.9220,Tb927.11.980,Tb927.2.1810,Tb927.2.5410,Tb927.3.2090,Tb927.3.3230,Tb927.3.4620,Tb927.4.2720,Tb927.4.3810,Tb927.5.3210,Tb927.5.780,Tb927.5.850,Tb927.6.4090,Tb927.6.4650,Tb927.6.4740,Tb927.7.4520,Tb927.7.6670,Tb927.7.6890,Tb927.8.5630,Tb927.8.6170,Tb927.8.820,Tb927.9.10230,	3.9	1.7	2.09	1.09994445933e-05	0.000355648708517	0.0021338922511
GO:0005654	nucleoplasm	665	33	Tb927.1.3200,Tb927.10.10170,Tb927.10.11700,Tb927.10.13220,Tb927.10.13560,Tb927.10.1550,Tb927.10.2530,Tb927.10.3210,Tb927.10.5770,Tb927.11.10710,Tb927.11.11290,Tb927.11.14370,Tb927.11.14560,Tb927.11.15430,Tb927.11.15910,Tb927.11.16920,Tb927.11.1980,Tb927.11.2670,Tb927.11.3430,Tb927.11.630,Tb927.11.9220,Tb927.2.1810,Tb927.3.3230,Tb927.3.4620,Tb927.4.3810,Tb927.5.780,Tb927.5.850,Tb927.6.4650,Tb927.7.4520,Tb927.7.6670,Tb927.7.6890,Tb927.8.5630,Tb927.9.10230,	5.0	2.17	2.51	1.50038708357e-05	0.000415821563161	0.00291075094213
GO:0043229	intracellular organelle	4424	128	Tb927.1.1600,Tb927.1.2570,Tb927.1.3200,Tb927.1.3450,Tb927.1.880,Tb927.10.10090,Tb927.10.10170,Tb927.10.1080,Tb927.10.11480,Tb927.10.11700,Tb927.10.12890,Tb927.10.13120,Tb927.10.13220,Tb927.10.13360,Tb927.10.13560,Tb927.10.14380,Tb927.10.15430,Tb927.10.1550,Tb927.10.16120,Tb927.10.2530,Tb927.10.3210,Tb927.10.3570,Tb927.10.3790,Tb927.10.4060,Tb927.10.5660,Tb927.10.5770,Tb927.10.5910,Tb927.10.6400,Tb927.10.7100,Tb927.10.7380,Tb927.10.7410,Tb927.10.8120,Tb927.11.10090,Tb927.11.10710,Tb927.11.11290,Tb927.11.11550,Tb927.11.11680,Tb927.11.11920,Tb927.11.11950,Tb927.11.12180,Tb927.11.12190,Tb927.11.13520,Tb927.11.14300,Tb927.11.14370,Tb927.11.14560,Tb927.11.15430,Tb927.11.15530,Tb927.11.15910,Tb927.11.16730,Tb927.11.16920,Tb927.11.1700,Tb927.11.1980,Tb927.11.2370,Tb927.11.2670,Tb927.11.2950,Tb927.11.3130,Tb927.11.3430,Tb927.11.4490,Tb927.11.5000,Tb927.11.5110,Tb927.11.630,Tb927.11.6870,Tb927.11.7780,Tb927.11.8300,Tb927.11.8720,Tb927.11.880,Tb927.11.9220,Tb927.11.9530,Tb927.11.980,Tb927.2.100,Tb927.2.1810,Tb927.2.280,Tb927.2.340,Tb927.2.4390,Tb927.2.470,Tb927.2.4830,Tb927.2.5410,Tb927.3.1290,Tb927.3.1920,Tb927.3.2090,Tb927.3.2230,Tb927.3.3230,Tb927.3.3850,Tb927.3.4620,Tb927.4.1300,Tb927.4.2720,Tb927.4.3410,Tb927.4.3810,Tb927.5.1790,Tb927.5.2030,Tb927.5.3210,Tb927.5.3230,Tb927.5.3870,Tb927.5.780,Tb927.5.850,Tb927.5.890,Tb927.6.1500,Tb927.6.4090,Tb927.6.4480,Tb927.6.4650,Tb927.6.4740,Tb927.6.570,Tb927.7.1340,Tb927.7.1910,Tb927.7.2080,Tb927.7.2240,Tb927.7.4520,Tb927.7.5110,Tb927.7.6670,Tb927.7.6890,Tb927.8.1250,Tb927.8.1740,Tb927.8.1860,Tb927.8.4250,Tb927.8.5630,Tb927.8.6170,Tb927.8.6220,Tb927.8.6520,Tb927.8.6590,Tb927.8.820,Tb927.9.10230,Tb927.9.13320,Tb927.9.13380,Tb927.9.1530,Tb927.9.2320,Tb927.9.4230,Tb927.9.7210,Tb927.9.8410,	2.9	1.26	1.97	2.0159459835e-05	0.000488866900998	0.00391093520798
GO:0044446	intracellular organelle part	2910	93	Tb927.1.2570,Tb927.1.3200,Tb927.1.3450,Tb927.1.880,Tb927.10.10090,Tb927.10.10170,Tb927.10.1080,Tb927.10.11480,Tb927.10.11700,Tb927.10.13220,Tb927.10.13360,Tb927.10.13560,Tb927.10.14380,Tb927.10.15430,Tb927.10.1550,Tb927.10.2530,Tb927.10.3210,Tb927.10.3570,Tb927.10.4060,Tb927.10.5770,Tb927.10.5910,Tb927.10.7100,Tb927.10.7380,Tb927.10.8120,Tb927.11.10090,Tb927.11.10710,Tb927.11.11290,Tb927.11.11680,Tb927.11.11920,Tb927.11.11950,Tb927.11.12180,Tb927.11.12190,Tb927.11.13520,Tb927.11.14300,Tb927.11.14370,Tb927.11.14560,Tb927.11.15430,Tb927.11.15530,Tb927.11.15910,Tb927.11.16730,Tb927.11.16920,Tb927.11.1700,Tb927.11.1980,Tb927.11.2370,Tb927.11.2670,Tb927.11.2950,Tb927.11.3130,Tb927.11.3430,Tb927.11.4490,Tb927.11.5000,Tb927.11.5110,Tb927.11.630,Tb927.11.7780,Tb927.11.8300,Tb927.11.8720,Tb927.11.880,Tb927.11.9220,Tb927.11.9530,Tb927.11.980,Tb927.2.1810,Tb927.2.5410,Tb927.3.1290,Tb927.3.2090,Tb927.3.3230,Tb927.3.3850,Tb927.3.4620,Tb927.4.2720,Tb927.4.3810,Tb927.5.1790,Tb927.5.2030,Tb927.5.3210,Tb927.5.3870,Tb927.5.780,Tb927.5.850,Tb927.6.1500,Tb927.6.4090,Tb927.6.4480,Tb927.6.4650,Tb927.6.4740,Tb927.6.570,Tb927.7.1340,Tb927.7.1910,Tb927.7.4520,Tb927.7.6670,Tb927.7.6890,Tb927.8.1740,Tb927.8.5630,Tb927.8.6170,Tb927.8.820,Tb927.9.10230,Tb927.9.13380,Tb927.9.2320,Tb927.9.4230,	3.2	1.4	1.86	3.24511904605e-05	0.000699503438816	0.00629553094935
GO:0044424	intracellular part	5842	155	Tb927.1.1270,Tb927.1.1600,Tb927.1.2570,Tb927.1.3200,Tb927.1.3450,Tb927.1.880,Tb927.10.10090,Tb927.10.10170,Tb927.10.10200,Tb927.10.1080,Tb927.10.11340,Tb927.10.11450,Tb927.10.11480,Tb927.10.11700,Tb927.10.12890,Tb927.10.13120,Tb927.10.13220,Tb927.10.13280,Tb927.10.13360,Tb927.10.13560,Tb927.10.14380,Tb927.10.15430,Tb927.10.1550,Tb927.10.16120,Tb927.10.2530,Tb927.10.3210,Tb927.10.3570,Tb927.10.3790,Tb927.10.4060,Tb927.10.5660,Tb927.10.5770,Tb927.10.5840,Tb927.10.5910,Tb927.10.6400,Tb927.10.7100,Tb927.10.7380,Tb927.10.7410,Tb927.10.8060,Tb927.10.8120,Tb927.11.10090,Tb927.11.10710,Tb927.11.11290,Tb927.11.11550,Tb927.11.11680,Tb927.11.11780,Tb927.11.11920,Tb927.11.11950,Tb927.11.12180,Tb927.11.12190,Tb927.11.12850,Tb927.11.13520,Tb927.11.14120,Tb927.11.14300,Tb927.11.14370,Tb927.11.14560,Tb927.11.15430,Tb927.11.15530,Tb927.11.15910,Tb927.11.16730,Tb927.11.16920,Tb927.11.1700,Tb927.11.1980,Tb927.11.2370,Tb927.11.2670,Tb927.11.2950,Tb927.11.3130,Tb927.11.3430,Tb927.11.4180,Tb927.11.4490,Tb927.11.5000,Tb927.11.5110,Tb927.11.6160,Tb927.11.630,Tb927.11.6440,Tb927.11.6870,Tb927.11.7780,Tb927.11.8300,Tb927.11.8720,Tb927.11.880,Tb927.11.9220,Tb927.11.9530,Tb927.11.9590,Tb927.11.980,Tb927.2.100,Tb927.2.1810,Tb927.2.280,Tb927.2.340,Tb927.2.4390,Tb927.2.470,Tb927.2.4830,Tb927.2.5410,Tb927.3.1290,Tb927.3.1920,Tb927.3.2090,Tb927.3.2230,Tb927.3.3230,Tb927.3.3850,Tb927.3.4620,Tb927.4.1300,Tb927.4.1560,Tb927.4.2200,Tb927.4.2720,Tb927.4.3410,Tb927.4.3810,Tb927.4.4550,Tb927.5.1790,Tb927.5.2030,Tb927.5.3210,Tb927.5.3230,Tb927.5.3870,Tb927.5.780,Tb927.5.850,Tb927.5.890,Tb927.6.1500,Tb927.6.4090,Tb927.6.4480,Tb927.6.4650,Tb927.6.4740,Tb927.6.570,Tb927.6.700,Tb927.7.1340,Tb927.7.1910,Tb927.7.2080,Tb927.7.2100,Tb927.7.2240,Tb927.7.3620,Tb927.7.4520,Tb927.7.5110,Tb927.7.6670,Tb927.7.6890,Tb927.7.710,Tb927.8.1250,Tb927.8.1740,Tb927.8.1860,Tb927.8.4250,Tb927.8.5630,Tb927.8.6170,Tb927.8.6200,Tb927.8.6220,Tb927.8.6520,Tb927.8.6590,Tb927.8.7520,Tb927.8.820,Tb927.9.10230,Tb927.9.12780,Tb927.9.13320,Tb927.9.13380,Tb927.9.14260,Tb927.9.1530,Tb927.9.2320,Tb927.9.4230,Tb927.9.4680,Tb927.9.6430,Tb927.9.7210,Tb927.9.8410,	2.7	1.16	2.27	5.14552534962e-05	0.000991924153111	0.00998231917827
