ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0016875	ligase activity, forming carbon-oxygen bonds	26	5	Tb927.10.12890,Tb927.11.14120,Tb927.6.4480,Tb927.6.700,Tb927.7.3620,	19.2	8.4	10.43	0.000263981917105	0.0311498662183	0.0622997324367
GO:0004812	aminoacyl-tRNA ligase activity	26	5	Tb927.10.12890,Tb927.11.14120,Tb927.6.4480,Tb927.6.700,Tb927.7.3620,	19.2	8.4	10.43	0.000263981917105	0.0311498662183	0.0622997324367
GO:0003824	catalytic activity	1989	66	Tb927.1.1270,Tb927.1.1600,Tb927.1.880,Tb927.10.11700,Tb927.10.12500,Tb927.10.12510,Tb927.10.12890,Tb927.10.13220,Tb927.10.13360,Tb927.10.13560,Tb927.10.1550,Tb927.10.16120,Tb927.10.2530,Tb927.10.3210,Tb927.10.5770,Tb927.10.7100,Tb927.10.7410,Tb927.11.10370,Tb927.11.11550,Tb927.11.11680,Tb927.11.11780,Tb927.11.11950,Tb927.11.12180,Tb927.11.12850,Tb927.11.14120,Tb927.11.14300,Tb927.11.15430,Tb927.11.15530,Tb927.11.15910,Tb927.11.16730,Tb927.11.3130,Tb927.11.3780,Tb927.11.4490,Tb927.11.4700,Tb927.11.5000,Tb927.11.6160,Tb927.11.630,Tb927.11.8300,Tb927.11.8720,Tb927.11.880,Tb927.11.9220,Tb927.2.1810,Tb927.2.4390,Tb927.2.5410,Tb927.3.2090,Tb927.3.2230,Tb927.3.3230,Tb927.4.3810,Tb927.5.1000,Tb927.5.890,Tb927.6.1500,Tb927.6.4480,Tb927.6.700,Tb927.7.1910,Tb927.7.2100,Tb927.7.3620,Tb927.7.3650,Tb927.8.1860,Tb927.8.5630,Tb927.8.6170,Tb927.8.7510,Tb927.8.7520,Tb927.9.12780,Tb927.9.4230,Tb927.9.4680,Tb927.9.7210,	3.3	1.45	1.74	0.000397895636096	0.0313011233729	0.0939033701186
GO:0051020	GTPase binding	18	4	Tb927.4.2200,Tb927.6.4740,Tb927.7.1460,Tb927.9.6430,	22.2	9.71	12.46	0.000630875221211	0.0372216380514	0.148886552206
GO:0019904	protein domain specific binding	3	2	Tb927.11.6870,Tb927.11.9530,	66.7	29.13	86.36	0.00153858177776	0.0525270437055	0.363105299551
GO:0017056	structural constituent of nuclear pore	3	2	Tb927.11.2950,Tb927.11.980,	66.7	29.13	86.36	0.00153858177776	0.0525270437055	0.363105299551
GO:0016787	hydrolase activity	786	31	Tb927.1.880,Tb927.10.12500,Tb927.10.12510,Tb927.10.12890,Tb927.10.13360,Tb927.10.1550,Tb927.10.5770,Tb927.11.10370,Tb927.11.11550,Tb927.11.12180,Tb927.11.12850,Tb927.11.14300,Tb927.11.15430,Tb927.11.3130,Tb927.11.3780,Tb927.11.5000,Tb927.11.6160,Tb927.11.8720,Tb927.11.9220,Tb927.2.1810,Tb927.2.4390,Tb927.2.5410,Tb927.3.2090,Tb927.6.4480,Tb927.7.2100,Tb927.8.1860,Tb927.8.5630,Tb927.8.7510,Tb927.8.7520,Tb927.9.4680,Tb927.9.7210,	3.9	1.72	1.91	0.00169308580822	0.0525270437055	0.39956825074
GO:0019899	enzyme binding	39	5	Tb927.3.1290,Tb927.4.2200,Tb927.6.4740,Tb927.7.1460,Tb927.9.6430,	12.8	5.6	6.43	0.00181704671361	0.0525270437055	0.428823024412
GO:0031267	small GTPase binding	12	3	Tb927.6.4740,Tb927.7.1460,Tb927.9.6430,	25.0	10.93	14.46	0.00222572219091	0.0525270437055	0.525270437055
GO:0017016	Ras GTPase binding	12	3	Tb927.6.4740,Tb927.7.1460,Tb927.9.6430,	25.0	10.93	14.46	0.00222572219091	0.0525270437055	0.525270437055
GO:0140101	catalytic activity, acting on a tRNA	45	5	Tb927.10.12890,Tb927.11.14120,Tb927.6.4480,Tb927.6.700,Tb927.7.3620,	11.1	4.86	5.46	0.0034529118241	0.0692714853651	0.814887190487
GO:0005488	binding	2806	82	Tb927.1.1600,Tb927.1.2570,Tb927.1.880,Tb927.10.10090,Tb927.10.10170,Tb927.10.1080,Tb927.10.12500,Tb927.10.12510,Tb927.10.12890,Tb927.10.1310,Tb927.10.13280,Tb927.10.13360,Tb927.10.13560,Tb927.10.15430,Tb927.10.2530,Tb927.10.3790,Tb927.10.4060,Tb927.10.5770,Tb927.10.5840,Tb927.10.6400,Tb927.10.8060,Tb927.11.10710,Tb927.11.11550,Tb927.11.11780,Tb927.11.12180,Tb927.11.12190,Tb927.11.14120,Tb927.11.14300,Tb927.11.14560,Tb927.11.15430,Tb927.11.15910,Tb927.11.16730,Tb927.11.1980,Tb927.11.2370,Tb927.11.3130,Tb927.11.3490,Tb927.11.4180,Tb927.11.5000,Tb927.11.6160,Tb927.11.630,Tb927.11.6440,Tb927.11.6870,Tb927.11.7780,Tb927.11.8120,Tb927.11.9220,Tb927.11.9530,Tb927.11.980,Tb927.2.1810,Tb927.2.4390,Tb927.2.5410,Tb927.3.1290,Tb927.3.2230,Tb927.3.4600,Tb927.3.4620,Tb927.4.2200,Tb927.4.2720,Tb927.4.3590,Tb927.4.3810,Tb927.5.3210,Tb927.6.1500,Tb927.6.4090,Tb927.6.4480,Tb927.6.4650,Tb927.6.4740,Tb927.6.700,Tb927.7.1340,Tb927.7.1460,Tb927.7.2100,Tb927.7.2240,Tb927.7.3620,Tb927.7.3650,Tb927.8.1740,Tb927.8.1860,Tb927.8.4250,Tb927.8.6200,Tb927.8.7520,Tb927.9.10100,Tb927.9.12780,Tb927.9.13380,Tb927.9.4680,Tb927.9.6430,Tb927.9.8410,	2.9	1.28	1.53	0.00352227891687	0.0692714853651	0.831257824381
GO:0003746	translation elongation factor activity	15	3	Tb927.10.5840,Tb927.11.6160,Tb927.4.3590,	20.0	8.74	10.84	0.00437641879925	0.0726118223938	1.0
GO:0003674	molecular function	4127	112	Tb927.1.1270,Tb927.1.1600,Tb927.1.2570,Tb927.1.880,Tb927.10.10090,Tb927.10.10170,Tb927.10.1080,Tb927.10.11700,Tb927.10.12500,Tb927.10.12510,Tb927.10.12890,Tb927.10.1310,Tb927.10.13220,Tb927.10.13280,Tb927.10.13360,Tb927.10.13560,Tb927.10.15430,Tb927.10.1550,Tb927.10.16120,Tb927.10.2530,Tb927.10.3210,Tb927.10.3790,Tb927.10.4060,Tb927.10.5770,Tb927.10.5840,Tb927.10.6400,Tb927.10.7100,Tb927.10.7410,Tb927.10.8060,Tb927.11.10370,Tb927.11.10710,Tb927.11.11550,Tb927.11.11680,Tb927.11.11780,Tb927.11.11950,Tb927.11.12180,Tb927.11.12190,Tb927.11.12850,Tb927.11.14120,Tb927.11.14300,Tb927.11.14560,Tb927.11.15430,Tb927.11.15530,Tb927.11.15910,Tb927.11.16730,Tb927.11.1980,Tb927.11.2370,Tb927.11.2950,Tb927.11.3130,Tb927.11.3490,Tb927.11.3780,Tb927.11.4180,Tb927.11.4490,Tb927.11.4700,Tb927.11.5000,Tb927.11.6160,Tb927.11.630,Tb927.11.6440,Tb927.11.6870,Tb927.11.7780,Tb927.11.8120,Tb927.11.8300,Tb927.11.8720,Tb927.11.880,Tb927.11.9220,Tb927.11.9530,Tb927.11.980,Tb927.2.1810,Tb927.2.4390,Tb927.2.5410,Tb927.3.1290,Tb927.3.2090,Tb927.3.2230,Tb927.3.3230,Tb927.3.4600,Tb927.3.4620,Tb927.4.2200,Tb927.4.2720,Tb927.4.3590,Tb927.4.3810,Tb927.5.1000,Tb927.5.3210,Tb927.5.890,Tb927.6.1500,Tb927.6.4090,Tb927.6.4480,Tb927.6.4650,Tb927.6.4740,Tb927.6.700,Tb927.7.1340,Tb927.7.1460,Tb927.7.1910,Tb927.7.2100,Tb927.7.2240,Tb927.7.3620,Tb927.7.3650,Tb927.8.1740,Tb927.8.1860,Tb927.8.4250,Tb927.8.5630,Tb927.8.6170,Tb927.8.6200,Tb927.8.7510,Tb927.8.7520,Tb927.9.10100,Tb927.9.12780,Tb927.9.13380,Tb927.9.4230,Tb927.9.4680,Tb927.9.6430,Tb927.9.7210,Tb927.9.8410,	2.7	1.19	1.52	0.00454993711362	0.0726118223938	1.0
GO:0016462	pyrophosphatase activity	341	16	Tb927.1.880,Tb927.10.12500,Tb927.10.12510,Tb927.10.13360,Tb927.10.5770,Tb927.11.11550,Tb927.11.12180,Tb927.11.14300,Tb927.11.15430,Tb927.11.3130,Tb927.11.5000,Tb927.11.6160,Tb927.2.1810,Tb927.2.5410,Tb927.7.2100,Tb927.9.4680,	4.7	2.05	2.21	0.00492283541653	0.0726118223938	1.0
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	341	16	Tb927.1.880,Tb927.10.12500,Tb927.10.12510,Tb927.10.13360,Tb927.10.5770,Tb927.11.11550,Tb927.11.12180,Tb927.11.14300,Tb927.11.15430,Tb927.11.3130,Tb927.11.5000,Tb927.11.6160,Tb927.2.1810,Tb927.2.5410,Tb927.7.2100,Tb927.9.4680,	4.7	2.05	2.21	0.00492283541653	0.0726118223938	1.0
GO:0016817	hydrolase activity, acting on acid anhydrides	344	16	Tb927.1.880,Tb927.10.12500,Tb927.10.12510,Tb927.10.13360,Tb927.10.5770,Tb927.11.11550,Tb927.11.12180,Tb927.11.14300,Tb927.11.15430,Tb927.11.3130,Tb927.11.5000,Tb927.11.6160,Tb927.2.1810,Tb927.2.5410,Tb927.7.2100,Tb927.9.4680,	4.7	2.03	2.19	0.00535179972237	0.0742955726165	1.0
GO:0016874	ligase activity	75	6	Tb927.10.12890,Tb927.11.14120,Tb927.6.4480,Tb927.6.700,Tb927.7.2100,Tb927.7.3620,	8.0	3.5	3.81	0.00720250130563	0.094432794896	1.0
GO:0017111	nucleoside-triphosphatase activity	329	15	Tb927.1.880,Tb927.10.12500,Tb927.10.12510,Tb927.10.13360,Tb927.10.5770,Tb927.11.11550,Tb927.11.12180,Tb927.11.14300,Tb927.11.15430,Tb927.11.3130,Tb927.11.5000,Tb927.11.6160,Tb927.2.1810,Tb927.2.5410,Tb927.9.4680,	4.6	1.99	2.14	0.00828209798703	0.102522328943	1.0
GO:0140098	catalytic activity, acting on RNA	154	9	Tb927.10.12890,Tb927.11.14120,Tb927.11.630,Tb927.4.3810,Tb927.6.4480,Tb927.6.700,Tb927.7.3620,Tb927.9.4680,Tb927.9.7210,	5.8	2.55	2.74	0.00868833296129	0.102522328943	1.0
