"","x"
"1","Tb927.1.4730"
"2","Tb927.4.2700"
"3","Tb927.5.330"
"4","Tb927.6.1070"
"5","Tb927.6.2740"
"6","Tb927.6.2770"
"7","Tb927.6.2790"
"8","Tb927.7.540"
"9","Tb927.7.930"
"10","Tb927.7.6760"
"11","Tb927.8.5130"
"12","Tb927.8.5140"
"13","Tb927.8.5170"
"14","Tb927.8.5220"
"15","Tb927.9.3600"
"16","Tb927.9.5840"
"17","Tb927.10.7090"
"18","Tb927.10.12870"
"19","Tb927.10.15480"
"20","Tb927.11.1460"
"21","Tb927.11.5070"
"22","Tb927.11.8990"
"23","Tb927.11.10690"
"24","Tb927.11.11650"
"25","Tb927.1.600"
"26","Tb927.1.2980"
"27","Tb927.1.4520"
"28","Tb927.2.2240"
"29","Tb927.3.2430"
"30","Tb927.3.3460"
"31","Tb927.3.4500"
"32","Tb927.4.1150"
"33","Tb927.4.1240"
"34","Tb927.4.2100"
"35","Tb927.4.2740"
"36","Tb927.5.288b"
"37","Tb927.5.1900"
"38","Tb927.5.3950"
"39","Tb927.5.4110"
"40","Tb927.6.190"
"41","Tb927.6.1190"
"42","Tb927.6.2490"
"43","Tb927.7.690"
"44","Tb927.7.1790"
"45","Tb927.7.2350"
"46","Tb927.7.2410"
"47","Tb927.7.6940"
"48","Tb927.7.7470"
"49","Tb927.8.2060"
"50","Tb927.8.4320"
"51","Tb927.8.4940"
"52","Tb927.8.5300"
"53","Tb927.8.5940"
"54","Tb927.8.7550"
"55","Tb927.8.7580"
"56","Tb927.8.8130"
"57","Tb927.9.2670"
"58","Tb927.9.7040"
"59","Tb927.9.9940"
"60","Tb927.9.11580"
"61","Tb927.9.11600"
"62","Tb927.9.12120"
"63","Tb927.9.13150"
"64","Tb927.9.15470"
"65","Tb927.10.410"
"66","Tb927.10.420"
"67","Tb927.10.2570"
"68","Tb927.10.2610"
"69","Tb927.10.7620"
"70","Tb927.10.9270"
"71","Tb927.10.11320"
"72","Tb927.10.11970"
"73","Tb927.10.12240"
"74","Tb927.10.12360"
"75","Tb927.10.13020"
"76","Tb927.10.13930"
"77","Tb927.10.14230"
"78","Tb927.10.14460"
"79","Tb927.10.15410"
"80","Tb927.10.16030"
"81","Tb927.11.750"
"82","Tb927.11.2520"
"83","Tb927.11.2570"
"84","Tb927.11.2830"
"85","Tb927.11.3920"
"86","Tb927.11.4430"
"87","Tb927.11.6820"
"88","Tb927.11.10720"
"89","Tb927.11.12310"
"90","Tb927.11.12660"
"91","Tb927.11.13920"
"92","Tb927.11.14970"
"93","Tb927.4.4470"
"94","Tb927.8.2830"
"95","Tb927.10.2340"
"96","Tb927.11.7620"
"97","Tb927.11.10550"
"98","Tb927.11.15780"
