"","x"
"1","Tb927.1.1050"
"2","Tb927.2.4210"
"3","Tb927.2.5980"
"4","Tb927.3.1840"
"5","Tb927.3.3270"
"6","Tb927.5.1100"
"7","Tb927.5.1210"
"8","Tb927.6.540"
"9","Tb927.7.2650"
"10","Tb927.7.4160"
"11","Tb927.7.4970"
"12","Tb927.8.2540"
"13","Tb927.8.4430"
"14","Tb927.8.5600"
"15","Tb927.8.6100"
"16","Tb927.8.6110"
"17","Tb927.9.7770"
"18","Tb927.9.12650"
"19","Tb927.10.100"
"20","Tb927.10.2010"
"21","Tb927.10.2020"
"22","Tb927.10.5620"
"23","Tb927.10.10610"
"24","Tb927.10.14160"
"25","Tb927.11.5440"
"26","Tb927.11.5720"
"27","Tb927.11.8380"
