ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0020015	glycosome	166	9	Tb927.10.10610,Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.2.4210,Tb927.3.1840,Tb927.3.3270,Tb927.5.1210,Tb927.8.5600,	5.4	16.87	27.22	1.12626654512e-09	3.24867438574e-08	7.88386581582e-08
GO:0005777	peroxisome	170	9	Tb927.10.10610,Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.2.4210,Tb927.3.1840,Tb927.3.3270,Tb927.5.1210,Tb927.8.5600,	5.3	16.47	26.53	1.39228902246e-09	3.24867438574e-08	9.74602315723e-08
GO:0042579	microbody	170	9	Tb927.10.10610,Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.2.4210,Tb927.3.1840,Tb927.3.3270,Tb927.5.1210,Tb927.8.5600,	5.3	16.47	26.53	1.39228902246e-09	3.24867438574e-08	9.74602315723e-08
GO:0044444	cytoplasmic part	3323	22	Tb927.1.1050,Tb927.10.10610,Tb927.10.14160,Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.11.5440,Tb927.11.5720,Tb927.11.8380,Tb927.2.4210,Tb927.3.1840,Tb927.3.3270,Tb927.5.1210,Tb927.7.2650,Tb927.7.4160,Tb927.7.4970,Tb927.8.2540,Tb927.8.4430,Tb927.8.5600,Tb927.8.6110,Tb927.9.12650,Tb927.9.7770,	0.7	2.06	9.89	3.45030089181e-06	6.03802656068e-05	0.000241521062427
GO:0005737	cytoplasm	4930	25	Tb927.1.1050,Tb927.10.10610,Tb927.10.14160,Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.11.5440,Tb927.11.5720,Tb927.11.8380,Tb927.2.4210,Tb927.2.5980,Tb927.3.1840,Tb927.3.3270,Tb927.5.1100,Tb927.5.1210,Tb927.7.2650,Tb927.7.4160,Tb927.7.4970,Tb927.8.2540,Tb927.8.4430,Tb927.8.5600,Tb927.8.6100,Tb927.8.6110,Tb927.9.12650,Tb927.9.7770,	0.5	1.58	inf	1.09237936881e-05	0.000152933111633	0.000764665558165
GO:0043231	intracellular membrane-bounded organelle	3666	21	Tb927.1.1050,Tb927.10.10610,Tb927.10.14160,Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.11.5720,Tb927.11.8380,Tb927.2.4210,Tb927.2.5980,Tb927.3.1840,Tb927.3.3270,Tb927.5.1210,Tb927.7.2650,Tb927.7.4160,Tb927.7.4970,Tb927.8.2540,Tb927.8.5600,Tb927.8.6110,Tb927.9.12650,Tb927.9.7770,	0.6	1.78	5.92	0.000157487863945	0.0018373584127	0.0110241504762
GO:0043227	membrane-bounded organelle	3715	21	Tb927.1.1050,Tb927.10.10610,Tb927.10.14160,Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.11.5720,Tb927.11.8380,Tb927.2.4210,Tb927.2.5980,Tb927.3.1840,Tb927.3.3270,Tb927.5.1210,Tb927.7.2650,Tb927.7.4160,Tb927.7.4970,Tb927.8.2540,Tb927.8.5600,Tb927.8.6110,Tb927.9.12650,Tb927.9.7770,	0.6	1.76	5.77	0.00019941514966	0.0019941514966	0.0139590604762
GO:0043226	organelle	4734	23	Tb927.1.1050,Tb927.10.10610,Tb927.10.14160,Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.11.5440,Tb927.11.5720,Tb927.11.8380,Tb927.2.4210,Tb927.2.5980,Tb927.3.1840,Tb927.3.3270,Tb927.5.1210,Tb927.7.2650,Tb927.7.4160,Tb927.7.4970,Tb927.8.2540,Tb927.8.4430,Tb927.8.5600,Tb927.8.6110,Tb927.9.12650,Tb927.9.7770,	0.5	1.51	7.43	0.000563078816601	0.00492693964526	0.0394155171621
GO:0044424	intracellular part	5842	25	Tb927.1.1050,Tb927.10.10610,Tb927.10.14160,Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.11.5440,Tb927.11.5720,Tb927.11.8380,Tb927.2.4210,Tb927.2.5980,Tb927.3.1840,Tb927.3.3270,Tb927.5.1100,Tb927.5.1210,Tb927.7.2650,Tb927.7.4160,Tb927.7.4970,Tb927.8.2540,Tb927.8.4430,Tb927.8.5600,Tb927.8.6100,Tb927.8.6110,Tb927.9.12650,Tb927.9.7770,	0.4	1.33	inf	0.000768028991595	0.00570843429277	0.0537620294117
GO:0005622	intracellular	5856	25	Tb927.1.1050,Tb927.10.10610,Tb927.10.14160,Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.11.5440,Tb927.11.5720,Tb927.11.8380,Tb927.2.4210,Tb927.2.5980,Tb927.3.1840,Tb927.3.3270,Tb927.5.1100,Tb927.5.1210,Tb927.7.2650,Tb927.7.4160,Tb927.7.4970,Tb927.8.2540,Tb927.8.4430,Tb927.8.5600,Tb927.8.6100,Tb927.8.6110,Tb927.9.12650,Tb927.9.7770,	0.4	1.33	inf	0.000815490613252	0.00570843429277	0.0570843429277
