ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0003729	mRNA binding	186	7	Tb927.10.14550,Tb927.10.14930,Tb927.11.14220,Tb927.2.3880,Tb927.6.640,Tb927.7.3330,Tb927.9.4080,	3.8	10.84	14.81	2.36403701882e-06	0.000146570295167	0.000146570295167
GO:0003723	RNA binding	455	8	Tb927.10.14550,Tb927.10.14930,Tb927.11.14220,Tb927.2.3880,Tb927.5.1490,Tb927.6.640,Tb927.7.3330,Tb927.9.4080,	1.8	5.07	6.88	0.000106429780169	0.00329932318523	0.00659864637046
GO:0003964	RNA-directed DNA polymerase activity	1	1	Tb927.11.10190,	100.0	288.11	inf	0.00347088314693	0.0717315850366	0.21519475511
GO:0003676	nucleic acid binding	847	8	Tb927.10.14550,Tb927.10.14930,Tb927.11.14220,Tb927.2.3880,Tb927.5.1490,Tb927.6.640,Tb927.7.3330,Tb927.9.4080,	0.9	2.72	3.47	0.00641713975552	0.0961492236695	0.397862664842
GO:0140096	catalytic activity, acting on a protein	547	6	Tb927.10.5140,Tb927.2.2720,Tb927.4.770,Tb927.6.560,Tb927.6.640,Tb927.7.6680,	1.1	3.16	3.81	0.00975453787943	0.0961492236695	0.604781348525
GO:0097159	organic cyclic compound binding	1556	11	Tb927.10.14550,Tb927.10.14930,Tb927.10.5140,Tb927.11.14220,Tb927.2.2720,Tb927.2.3880,Tb927.5.1490,Tb927.6.640,Tb927.7.3330,Tb927.7.6680,Tb927.9.4080,	0.7	2.04	2.76	0.0108555575111	0.0961492236695	0.673044565686
GO:1901363	heterocyclic compound binding	1556	11	Tb927.10.14550,Tb927.10.14930,Tb927.10.5140,Tb927.11.14220,Tb927.2.2720,Tb927.2.3880,Tb927.5.1490,Tb927.6.640,Tb927.7.3330,Tb927.7.6680,Tb927.9.4080,	0.7	2.04	2.76	0.0108555575111	0.0961492236695	0.673044565686
GO:0005488	binding	2806	15	Tb927.1.4310,Tb927.10.10280,Tb927.10.14550,Tb927.10.14930,Tb927.10.5140,Tb927.11.14220,Tb927.11.17000,Tb927.2.2720,Tb927.2.3880,Tb927.5.1490,Tb927.6.640,Tb927.7.3330,Tb927.7.6680,Tb927.8.6500,Tb927.9.4080,	0.5	1.54	2.22	0.0300749513909	0.233080873279	1.0
GO:0004672	protein kinase activity	207	3	Tb927.10.5140,Tb927.2.2720,Tb927.7.6680,	1.4	4.18	4.62	0.0339683496902	0.234004186755	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	386	4	Tb927.10.5140,Tb927.11.10190,Tb927.2.2720,Tb927.7.6680,	1.0	2.99	3.36	0.0424272343059	0.263048852696	1.0
