"","x"
"1","Tb927.1.2370"
"2","Tb927.1.2670"
"3","Tb927.1.4650"
"4","Tb927.1.4830"
"5","Tb927.2.660"
"6","Tb927.2.2440"
"7","Tb927.2.3460"
"8","Tb927.2.3920"
"9","Tb927.2.4140"
"10","Tb927.2.5750"
"11","Tb927.3.780"
"12","Tb927.3.3950"
"13","Tb927.3.5230"
"14","Tb927.4.160"
"15","Tb927.4.1000"
"16","Tb927.4.1300"
"17","Tb927.4.3060"
"18","Tb927.4.3300"
"19","Tb927.4.3930"
"20","Tb927.4.5100"
"21","Tb927.4.5160"
"22","Tb927.5.810"
"23","Tb927.5.1060"
"24","Tb927.5.2010"
"25","Tb927.5.3130"
"26","Tb927.5.3240"
"27","Tb927.5.3530"
"28","Tb927.5.3670"
"29","Tb927.5.3840"
"30","Tb927.6.140"
"31","Tb927.6.480"
"32","Tb927.6.2030"
"33","Tb927.7.280"
"34","Tb927.7.740"
"35","Tb927.7.1470"
"36","Tb927.7.1480"
"37","Tb927.7.1600"
"38","Tb927.7.1620"
"39","Tb927.7.2160"
"40","Tb927.7.2570"
"41","Tb927.7.3650"
"42","Tb927.7.4680"
"43","Tb927.7.4870"
"44","Tb927.7.5680"
"45","Tb927.7.6310"
"46","Tb927.7.6450"
"47","Tb927.7.6850"
"48","Tb927.7.6970"
"49","Tb927.7.7100"
"50","Tb927.8.890"
"51","Tb927.8.900"
"52","Tb927.8.1220"
"53","Tb927.8.3850"
"54","Tb927.8.3870"
"55","Tb927.8.5090"
"56","Tb927.8.5330"
"57","Tb927.8.5510"
"58","Tb927.8.6350"
"59","Tb927.8.6550"
"60","Tb927.8.6560"
"61","Tb927.8.6840"
"62","Tb927.8.7230"
"63","Tb927.8.7830"
"64","Tb927.9.2030"
"65","Tb927.9.2220"
"66","Tb927.9.2240"
"67","Tb927.9.2390"
"68","Tb927.9.4560"
"69","Tb927.9.5370"
"70","Tb927.9.6170"
"71","Tb927.9.7470"
"72","Tb927.9.8070"
"73","Tb927.9.8180"
"74","Tb927.9.9450"
"75","Tb927.9.9780"
"76","Tb927.9.10300"
"77","Tb927.9.14470"
"78","Tb927.9.15690"
"79","Tb927.10.720"
"80","Tb927.10.1390"
"81","Tb927.10.2290"
"82","Tb927.10.2490"
"83","Tb927.10.5150"
"84","Tb927.10.5330"
"85","Tb927.10.5450"
"86","Tb927.10.6210"
"87","Tb927.10.6570"
"88","Tb927.10.6870"
"89","Tb927.10.7060"
"90","Tb927.10.7750"
"91","Tb927.10.9190"
"92","Tb927.10.9730"
"93","Tb927.10.10250"
"94","Tb927.10.10310"
"95","Tb927.10.11300"
"96","Tb927.10.11400"
"97","Tb927.10.12410"
"98","Tb927.10.12680"
"99","Tb927.10.13680"
"100","Tb927.10.14740"
"101","Tb927.10.14780"
"102","Tb927.10.15300"
"103","Tb927.10.15850"
"104","Tb927.10.16190"
"105","Tb927.11.1150"
"106","Tb927.11.1340"
"107","Tb927.11.2680"
"108","Tb927.11.4420"
"109","Tb927.11.6430"
"110","Tb927.11.6570"
"111","Tb927.11.7480"
"112","Tb927.11.8070"
"113","Tb927.11.9920"
"114","Tb927.11.10560"
"115","Tb927.11.12720"
"116","Tb927.11.13130"
"117","Tb927.11.14270"
"118","Tb927.11.14590"
"119","Tb927.11.16300"
"120","Tb927.11.16450"
"121","Tb927.11.16460"
