"ID" "Name" "Bgd.count" "Result.count" "Result.gene.list" "Pct.of.bgd" "Fold.enrichment" "Odds.ratio" "P.value" "Benjamini" "Bonferroni" "Cluster" "Type"
"1" "GO:0007018" "microtubule-based movement" 104 14 "Tb927.10.1170,Tb927.10.14980,Tb927.10.15400,Tb927.10.5350,Tb927.10.5380,Tb927.11.11220,Tb927.11.8160,Tb927.3.2020,Tb927.3.4960,Tb927.3.930,Tb927.7.3160,Tb927.7.920,Tb927.8.3250,Tb927.9.3650," 13.5 8.38 10.6 8.60588726068e-10 2.53013085464e-07 2.53013085464e-07 1 "Biological Process"
"2" "GO:0006928" "movement of cell or subcellular component" 150 15 "Tb927.10.1170,Tb927.10.14980,Tb927.10.15400,Tb927.10.5350,Tb927.10.5380,Tb927.11.11220,Tb927.11.8160,Tb927.3.2020,Tb927.3.4960,Tb927.3.930,Tb927.7.1670,Tb927.7.3160,Tb927.7.920,Tb927.8.3250,Tb927.9.3650," 10 6.22 7.59 1.37740952422e-08 2.0247920006e-06 4.0495840012e-06 1 "Biological Process"
"3" "GO:0007017" "microtubule-based process" 167 14 "Tb927.10.1170,Tb927.10.14980,Tb927.10.15400,Tb927.10.5350,Tb927.10.5380,Tb927.11.11220,Tb927.11.8160,Tb927.3.2020,Tb927.3.4960,Tb927.3.930,Tb927.7.3160,Tb927.7.920,Tb927.8.3250,Tb927.9.3650," 8.4 5.22 6.18 3.96996163287e-07 3.89056240021e-05 0.000116716872006 1 "Biological Process"
"4" "GO:0010970" "transport along microtubule" 21 4 "Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.3160," 19 11.85 14.85 0.000307696102745 0.0180925308414 0.090462654207 1 "Biological Process"
"5" "GO:0099111" "microtubule-based transport" 21 4 "Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.3160," 19 11.85 14.85 0.000307696102745 0.0180925308414 0.090462654207 1 "Biological Process"
"6" "GO:0030705" "cytoskeleton-dependent intracellular transport" 22 4 "Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.3160," 18.2 11.31 14.02 0.000371425233305 0.0181998364319 0.109199018592 1 "Biological Process"
"7" "GO:0035735" "intraciliary transport involved in cilium assembly" 14 3 "Tb927.10.1170,Tb927.10.14980,Tb927.10.5380," 21.4 13.34 17.09 0.00129534695424 0.0489843057975 0.380832004546 1 "Biological Process"
"8" "GO:0030031" "cell projection assembly" 54 5 "Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.1670,Tb927.8.4780," 9.3 5.76 6.47 0.00166613285025 0.0489843057975 0.489843057975 1 "Biological Process"
"9" "GO:0060271" "cilium assembly" 54 5 "Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.1670,Tb927.8.4780," 9.3 5.76 6.47 0.00166613285025 0.0489843057975 0.489843057975 1 "Biological Process"
"10" "GO:0120031" "plasma membrane bounded cell projection assembly" 54 5 "Tb927.10.1170,Tb927.10.14980,Tb927.10.5380,Tb927.7.1670,Tb927.8.4780," 9.3 5.76 6.47 0.00166613285025 0.0489843057975 0.489843057975 1 "Biological Process"
"11" "GO:0005875" "microtubule associated complex" 93 11 "Tb927.10.15400,Tb927.10.5350,Tb927.11.11220,Tb927.11.8160,Tb927.3.2020,Tb927.3.4960,Tb927.3.930,Tb927.7.3160,Tb927.7.920,Tb927.8.3250,Tb927.9.3650," 11.8 7.36 8.91 2.36938724047e-07 3.76732571235e-05 3.76732571235e-05 1 "Cellular Component"
"12" "GO:0030286" "dynein complex" 39 7 "Tb927.10.5350,Tb927.11.11220,Tb927.11.8160,Tb927.3.930,Tb927.7.3160,Tb927.7.920,Tb927.8.3250," 17.9 11.17 14.13 2.34554095238e-06 0.000186470505715 0.000372941011429 1 "Cellular Component"
"13" "GO:0044430" "cytoskeletal part" 654 26 "Tb927.10.1170,Tb927.10.14980,Tb927.10.15400,Tb927.10.15750,Tb927.10.5350,Tb927.10.5380,Tb927.10.7230,Tb927.10.8590,Tb927.11.11220,Tb927.11.8160,Tb927.11.8370,Tb927.3.1190,Tb927.3.2020,Tb927.3.4960,Tb927.3.930,Tb927.4.2600,Tb927.6.3150,Tb927.6.620,Tb927.7.3160,Tb927.7.4020,Tb927.7.6640,Tb927.7.920,Tb927.8.1050,Tb927.8.3250,Tb927.9.1750,Tb927.9.3650," 4 2.47 2.94 1.12635602536e-05 0.000596968693441 0.00179090608032 1 "Cellular Component"
"14" "GO:0005856" "cytoskeleton" 678 26 "Tb927.10.1170,Tb927.10.14980,Tb927.10.15400,Tb927.10.15750,Tb927.10.5350,Tb927.10.5380,Tb927.10.7230,Tb927.10.8590,Tb927.11.11220,Tb927.11.8160,Tb927.11.8370,Tb927.3.1190,Tb927.3.2020,Tb927.3.4960,Tb927.3.930,Tb927.4.2600,Tb927.6.3150,Tb927.6.620,Tb927.7.3160,Tb927.7.4020,Tb927.7.6640,Tb927.7.920,Tb927.8.1050,Tb927.8.3250,Tb927.9.1750,Tb927.9.3650," 3.8 2.39 2.82 2.13197584189e-05 0.000847460397153 0.00338984158861 1 "Cellular Component"
