geneName	bnum	group
gadB	b1493	insensitive
gadA	b3517	insensitive
hdeA	b3510	insensitive
gadE	b3512	insensitive
hdeB	b3509	insensitive
hdeD	b3511	insensitive
yhiD	b3508	insensitive
gadC	b1492	insensitive
mdtE	b3513	insensitive
katE	b1732	insensitive
yhiM	b3491	insensitive
cbdA	b0978	insensitive
cbdB	b0979	insensitive
mdtF	b3514	insensitive
dsrA	b1954	sensitive
ydcV	b1443	sensitive
yegP	b2080	sensitive
ycgB	b1188	sensitive
mlrA	b2127	sensitive
yeaG	b1783	sensitive
yceK	b1050	sensitive
ydcS	b1440	sensitive
ydcT	b1441	sensitive
yeaH	b1784	sensitive
patD	b1444	sensitive
csiD	b2659	sensitive
artI	b0863	sensitive
osmE	b1739	sensitive
ydcU	b1442	sensitive
astA	b1747	sensitive
