"Gene ID","source_id","Organism","Product Description","Gene Type","Input ID","Gene Name or Symbol","gene_source_id"
"Tb06.3A7.960","Tb06.3A7.960:mRNA","T. brucei brucei TREU927","hypothetical protein","protein coding","Tb06.3A7.960","null","Tb06.3A7.960"
"Tb10_snoRNA_0055:snoRNA","Tb10_snoRNA_0055:snoRNA:snoRNA","T. brucei brucei TREU927","term","snoRNA encoding","Tb10_snoRNA_0055:snoRNA","null","Tb10_snoRNA_0055:snoRNA"
"Tb11.01.6240","Tb11.01.6240.1","T. brucei brucei TREU927","expression site-associated gene 2 (ESAG2) protein, putative","protein coding","Tb11.01.6240","null","Tb11.01.6240"
"Tb11.01.6250","Tb11.01.6250:mRNA","T. brucei brucei TREU927","expression site-associated gene 11 (ESAG11) protein, putative","protein coding","Tb11.01.6250","null","Tb11.01.6250"
"Tb11.02.5090","Tb11.02.5090.1","T. brucei brucei TREU927","trimethylguanosine synthase","protein coding","Tb11.02.5090","TGS1","Tb11.02.5090"
"Tb11.02.5105","Tb11.02.5105:mRNA","T. brucei brucei TREU927","Present in the outer mitochondrial membrane proteome 15","protein coding","Tb11.02.5105","POMP15","Tb11.02.5105"
"Tb11.02.5360","Tb11.02.5360:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb11.02.5360","null","Tb11.02.5360"
"Tb11.02.5370","Tb11.02.5370.1","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb11.02.5370","null","Tb11.02.5370"
"Tb11.02.5390","Tb11.02.5390:mRNA","T. brucei brucei TREU927","Guide RNA binding complex protein 4","protein coding","Tb11.02.5390","GRBC4","Tb11.02.5390"
"Tb11.02.5400","Tb11.02.5400:mRNA","T. brucei brucei TREU927","cystathionine beta-synthase, putative","protein coding","Tb11.02.5400","null","Tb11.02.5400"
"Tb927.1.1000","Tb927.1.1000:mRNA","T. brucei brucei TREU927","developmentally regulated phosphoprotein","protein coding","Tb927.1.1000","null","Tb927.1.1000"
"Tb927.1.1010","Tb927.1.1010:mRNA","T. brucei brucei TREU927","E3 ubiquitin-protein ligase KCMF1, putative","protein coding","Tb927.1.1010","null","Tb927.1.1010"
"Tb927.1.1020","Tb927.1.1020:mRNA","T. brucei brucei TREU927","leucine-rich repeat-containing protein","protein coding","Tb927.1.1020","null","Tb927.1.1020"
"Tb927.1.1080","Tb927.1.1080:mRNA","T. brucei brucei TREU927","TFIIH basal transcription factor subunit, putative","protein coding","Tb927.1.1080","TSP1","Tb927.1.1080"
"Tb927.1.110","Tb927.1.110:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.1.110","null","Tb927.1.110"
"Tb927.1.1100","Tb927.1.1100:mRNA","T. brucei brucei TREU927","Basal body protein","protein coding","Tb927.1.1100","BBP109","Tb927.1.1100"
"Tb927.1.1120","Tb927.1.1120:mRNA","T. brucei brucei TREU927","ribosomal RNA-processing protein 8, putative","protein coding","Tb927.1.1120","RRP8","Tb927.1.1120"
"Tb927.1.1130","Tb927.1.1130:mRNA","T. brucei brucei TREU927","glycerol-3-phosphate dehydrogenase (FAD-dependent), putative","protein coding","Tb927.1.1130","null","Tb927.1.1130"
"Tb927.1.1140","Tb927.1.1140:mRNA","T. brucei brucei TREU927","Transmembrane protein 231, putative","protein coding","Tb927.1.1140","null","Tb927.1.1140"
"Tb927.1.1160","Tb927.1.1160:mRNA","T. brucei brucei TREU927","kinetoplast ribosomal PPR-repeat containing protein 3","protein coding","Tb927.1.1160","KRIPP3","Tb927.1.1160"
"Tb927.1.120","Tb927.1.120:mRNA","T. brucei brucei TREU927","retrotransposon hot spot protein 4 (RHS4), putative","protein coding","Tb927.1.120","null","Tb927.1.120"
"Tb927.1.1240","Tb927.1.1240:mRNA","T. brucei brucei TREU927","cytidine triphosphate synthase, putative","protein coding","Tb927.1.1240","null","Tb927.1.1240"
"Tb927.1.1270","Tb927.1.1270:mRNA","T. brucei brucei TREU927","homocysteine S-methyltransferase, putative","protein coding","Tb927.1.1270","null","Tb927.1.1270"
"Tb927.1.1300","Tb927.1.1300:mRNA","T. brucei brucei TREU927","hypothetical transmembrane protein, conserved","protein coding","Tb927.1.1300","null","Tb927.1.1300"
"Tb927.1.1330","Tb927.1.1330:mRNA","T. brucei brucei TREU927","Mitochondrial Editosome-like Complex TUTase","protein coding","Tb927.1.1330","MEAT1","Tb927.1.1330"
