gene	MG_1	MG_2	MG_3	PV_1	PV_2	PV_3	PV_4	SA_1	SA_2	SA_3
Tb04.24M18.150	2.0	4.0	1.0	1.0	1.0	0.0	2.0	4.0	5.0	6.0
Tb04.3I12.100	3.0	1.0	1.0	3.0	6.0	5.0	4.0	13.0	11.0	5.0
Tb05.30F7.410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tb06.3A7.270	30.0	32.0	25.0	27.0	20.0	13.0	23.0	32.0	43.0	23.0
Tb06.3A7.960	74.0	58.0	61.0	58.0	44.0	37.0	57.0	345.0	332.0	156.0
Tb07.30D13.110	1.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	3.0	0.0
Tb07.30D13.130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tb07.30D13.160	3.0	4.0	1.0	3.0	0.0	0.0	1.0	12.0	8.0	5.0
Tb07.30D13.180	2.0	4.0	1.0	2.0	0.0	2.0	4.0	7.0	7.0	1.0
Tb07.30D13.60	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	3.0	0.0
Tb07.30D13.80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tb10_snoRNA_0055:snoRNA	15.0	11.0	12.0	7.0	2.0	3.0	4.0	34.0	26.0	20.0
Tb11.01.2730	57.0	51.0	44.0	42.0	58.0	35.0	65.0	114.0	117.0	65.0
Tb11.01.6240	4.0	9.0	4.0	1.0	0.0	2.0	8.0	96.0	84.0	47.0
Tb11.01.6250	5.0	13.0	7.0	6.0	2.0	3.0	3.0	55.0	43.0	41.0
Tb11.02.5090	15.0	15.0	14.0	12.0	17.0	5.0	22.0	49.0	61.0	41.0
Tb11.02.5105	119.0	116.0	91.0	57.0	56.0	44.0	64.0	210.0	224.0	113.0
Tb11.02.5360	47.0	33.0	27.0	27.0	15.0	18.0	25.0	66.0	64.0	26.0
Tb11.02.5370	16.0	26.0	24.0	10.0	11.0	7.0	15.0	107.0	84.0	80.0
Tb11.02.5390	101.0	81.0	79.0	59.0	51.0	30.0	64.0	100.0	85.0	63.0
Tb11.02.5400	133.0	123.0	96.0	42.0	40.0	23.0	48.0	144.0	120.0	79.0
Tb11.02.5410	30.0	18.0	13.0	8.0	16.0	8.0	10.0	41.0	60.0	27.0
Tb11.02.5420	76.0	63.0	43.0	26.0	34.0	18.0	38.0	96.0	82.0	57.0
Tb11.02.5430	36.0	30.0	22.0	6.0	18.0	15.0	24.0	22.0	34.0	7.0
Tb11.02.5440	60.0	67.0	52.0	42.0	39.0	34.0	42.0	165.0	158.0	92.0
Tb11.1431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tb11.1441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tb11.1451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tb11.1480	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tb927.1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tb927.1.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tb927.1.100	350.0	307.0	248.0	202.0	180.0	112.0	245.0	723.0	652.0	428.0
Tb927.1.1000	379.0	348.0	294.0	165.0	152.0	114.0	215.0	227.0	228.0	122.0
Tb927.1.1010	43.0	35.0	26.0	29.0	24.0	18.0	26.0	81.0	62.0	42.0
Tb927.1.1020	40.0	34.0	22.0	45.0	42.0	24.0	31.0	63.0	66.0	45.0
Tb927.1.1030	92.0	97.0	98.0	65.0	70.0	38.0	76.0	177.0	167.0	120.0
Tb927.1.1040	7.0	3.0	3.0	3.0	4.0	1.0	4.0	19.0	13.0	7.0
Tb927.1.1050	59.0	54.0	41.0	24.0	21.0	11.0	24.0	68.0	40.0	26.0
Tb927.1.1060	51.0	35.0	27.0	21.0	33.0	19.0	31.0	122.0	115.0	57.0
Tb927.1.1070	0.0	4.0	0.0	1.0	0.0	1.0	3.0	7.0	3.0	3.0
Tb927.1.1080	32.0	27.0	21.0	27.0	22.0	9.0	32.0	90.0	94.0	50.0
Tb927.1.110	6.0	8.0	2.0	7.0	6.0	2.0	4.0	17.0	8.0	5.0
Tb927.1.1100	39.0	45.0	39.0	15.0	22.0	12.0	33.0	214.0	198.0	118.0
Tb927.1.1110	3.0	1.0	1.0	2.0	1.0	1.0	1.0	7.0	12.0	4.0
Tb927.1.1120	110.0	103.0	84.0	93.0	96.0	64.0	98.0	188.0	177.0	105.0
Tb927.1.1130	51.0	58.0	35.0	27.0	29.0	18.0	33.0	121.0	108.0	70.0
Tb927.1.1140	42.0	47.0	40.0	30.0	25.0	21.0	24.0	73.0	79.0	37.0
Tb927.1.1150	41.0	32.0	34.0	27.0	23.0	19.0	28.0	70.0	79.0	40.0
Tb927.1.1160	71.0	55.0	50.0	39.0	43.0	21.0	52.0	113.0	94.0	72.0
Tb927.1.1170	38.0	41.0	25.0	20.0	24.0	8.0	24.0	50.0	52.0	33.0
Tb927.1.1180	43.0	53.0	50.0	19.0	20.0	14.0	23.0	37.0	48.0	47.0
Tb927.1.120	617.0	596.0	483.0	393.0	362.0	237.0	457.0	1082.0	986.0	564.0
Tb927.1.1200	88.0	73.0	52.0	35.0	31.0	25.0	42.0	119.0	116.0	73.0
Tb927.1.1210	53.0	54.0	36.0	20.0	15.0	10.0	23.0	72.0	72.0	48.0
Tb927.1.1220	41.0	43.0	36.0	15.0	31.0	21.0	26.0	79.0	71.0	54.0
Tb927.1.1230	40.0	44.0	16.0	23.0	22.0	17.0	24.0	98.0	90.0	58.0
Tb927.1.1240	118.0	133.0	92.0	16.0	26.0	12.0	25.0	132.0	114.0	76.0
Tb927.1.1250	5.0	6.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0
Tb927.1.1260	5.0	2.0	0.0	1.0	1.0	0.0	1.0	5.0	4.0	1.0
Tb927.1.1270	62.0	64.0	63.0	15.0	17.0	10.0	30.0	201.0	194.0	119.0
Tb927.1.1280	7.0	8.0	8.0	2.0	4.0	0.0	2.0	15.0	14.0	10.0
Tb927.1.1290	3.0	5.0	3.0	1.0	3.0	1.0	0.0	13.0	8.0	0.0
Tb927.1.1300	72.0	61.0	78.0	40.0	35.0	29.0	53.0	75.0	91.0	48.0
Tb927.1.1310	63.0	65.0	67.0	37.0	47.0	26.0	53.0	108.0	119.0	65.0
Tb927.1.1320	4.0	2.0	3.0	6.0	0.0	2.0	4.0	9.0	12.0	8.0
Tb927.1.1330	80.0	85.0	70.0	26.0	25.0	23.0	37.0	108.0	110.0	65.0
Tb927.1.1340	40.0	24.0	27.0	15.0	10.0	8.0	29.0	69.0	71.0	38.0
Tb927.1.1350	14.0	12.0	8.0	18.0	10.0	12.0	17.0	34.0	39.0	19.0
Tb927.1.1360	1.0	0.0	1.0	3.0	2.0	2.0	1.0	2.0	1.0	1.0
Tb927.1.1370	52.0	44.0	38.0	32.0	30.0	11.0	20.0	51.0	56.0	36.0
Tb927.1.1380	9.0	15.0	9.0	10.0	7.0	8.0	10.0	31.0	22.0	24.0
Tb927.1.1390	49.0	50.0	33.0	19.0	37.0	13.0	49.0	90.0	70.0	37.0
Tb927.1.1400	14.0	25.0	21.0	10.0	12.0	3.0	10.0	40.0	35.0	31.0
Tb927.1.1420	21.0	17.0	23.0	17.0	12.0	10.0	19.0	20.0	17.0	10.0
