ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0044281	small molecule metabolic process	364	52	Tb927.1.710,Tb927.10.13040,Tb927.10.1400,Tb927.10.14000,Tb927.10.15410,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2020,Tb927.10.2430,Tb927.10.2560,Tb927.10.2890,Tb927.10.5760,Tb927.10.7570,Tb927.10.880,Tb927.11.1020,Tb927.11.13740,Tb927.11.1480,Tb927.11.15530,Tb927.11.2690,Tb927.11.5520,Tb927.11.5940,Tb927.11.6280,Tb927.11.900,Tb927.2.4210,Tb927.3.1840,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.2740,Tb927.6.760,Tb927.6.790,Tb927.7.1790,Tb927.7.4180,Tb927.7.4390,Tb927.7.4570,Tb927.7.5480,Tb927.7.7470,Tb927.8.3380,Tb927.8.5630,Tb927.8.6060,Tb927.8.6110,Tb927.8.6170,Tb927.8.6580,Tb927.8.7590,	14.3	4.18	5.61	2.11687855025e-19	1.19391950234e-16	1.19391950234e-16
GO:0055086	nucleobase-containing small molecule metabolic process	214	35	Tb927.1.710,Tb927.10.13040,Tb927.10.1400,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2020,Tb927.10.2430,Tb927.10.2890,Tb927.10.5760,Tb927.10.7570,Tb927.10.880,Tb927.11.13740,Tb927.11.1480,Tb927.11.5520,Tb927.11.5940,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.760,Tb927.6.790,Tb927.7.1790,Tb927.7.4570,Tb927.7.5480,Tb927.7.7470,Tb927.8.5630,Tb927.8.6170,Tb927.8.7590,	16.4	4.78	6.21	4.66413801422e-15	1.31528692001e-12	2.63057384002e-12
GO:0009165	nucleotide biosynthetic process	151	29	Tb927.1.710,Tb927.10.13040,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2020,Tb927.10.2430,Tb927.10.2890,Tb927.10.7570,Tb927.10.880,Tb927.11.13740,Tb927.11.1480,Tb927.11.5520,Tb927.11.5940,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.760,Tb927.6.790,Tb927.7.5480,Tb927.7.7470,Tb927.8.7590,	19.2	5.62	7.41	1.64381315739e-14	2.31777655192e-12	9.27110620767e-12
GO:1901293	nucleoside phosphate biosynthetic process	151	29	Tb927.1.710,Tb927.10.13040,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2020,Tb927.10.2430,Tb927.10.2890,Tb927.10.7570,Tb927.10.880,Tb927.11.13740,Tb927.11.1480,Tb927.11.5520,Tb927.11.5940,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.760,Tb927.6.790,Tb927.7.5480,Tb927.7.7470,Tb927.8.7590,	19.2	5.62	7.41	1.64381315739e-14	2.31777655192e-12	9.27110620767e-12
GO:0009117	nucleotide metabolic process	179	30	Tb927.1.710,Tb927.10.13040,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2020,Tb927.10.2430,Tb927.10.2890,Tb927.10.7570,Tb927.10.880,Tb927.11.13740,Tb927.11.1480,Tb927.11.5520,Tb927.11.5940,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.760,Tb927.6.790,Tb927.7.5480,Tb927.7.7470,Tb927.8.6170,Tb927.8.7590,	16.8	4.9	6.28	2.50744060788e-13	2.74392934704e-11	1.41419650284e-10
GO:0006753	nucleoside phosphate metabolic process	180	30	Tb927.1.710,Tb927.10.13040,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2020,Tb927.10.2430,Tb927.10.2890,Tb927.10.7570,Tb927.10.880,Tb927.11.13740,Tb927.11.1480,Tb927.11.5520,Tb927.11.5940,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.760,Tb927.6.790,Tb927.7.5480,Tb927.7.7470,Tb927.8.6170,Tb927.8.7590,	16.7	4.87	6.24	2.91907377345e-13	2.74392934704e-11	1.64635760822e-10
GO:0009190	cyclic nucleotide biosynthetic process	82	20	Tb927.10.13040,Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.11.13740,Tb927.11.1480,Tb927.11.5940,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.760,Tb927.6.790,Tb927.7.7470,Tb927.8.7590,	24.4	7.13	9.77	2.17721493514e-12	1.53493652928e-10	1.22794922342e-09
GO:0009187	cyclic nucleotide metabolic process	82	20	Tb927.10.13040,Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.11.13740,Tb927.11.1480,Tb927.11.5940,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.760,Tb927.6.790,Tb927.7.7470,Tb927.8.7590,	24.4	7.13	9.77	2.17721493514e-12	1.53493652928e-10	1.22794922342e-09
GO:1901362	organic cyclic compound biosynthetic process	280	36	Tb927.1.710,Tb927.10.13040,Tb927.10.1400,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2020,Tb927.10.2430,Tb927.10.2890,Tb927.10.7570,Tb927.10.880,Tb927.11.13740,Tb927.11.1480,Tb927.11.15530,Tb927.11.5520,Tb927.11.5940,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.2740,Tb927.6.760,Tb927.6.790,Tb927.7.1790,Tb927.7.4570,Tb927.7.5480,Tb927.7.7470,Tb927.8.5630,Tb927.8.6110,Tb927.8.7590,	12.9	3.76	4.66	3.46021169075e-12	2.16839932621e-10	1.95155939358e-09
GO:0018130	heterocycle biosynthetic process	267	34	Tb927.1.710,Tb927.10.13040,Tb927.10.1400,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2020,Tb927.10.2430,Tb927.10.2890,Tb927.10.7570,Tb927.10.880,Tb927.11.13740,Tb927.11.1480,Tb927.11.5520,Tb927.11.5940,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.2740,Tb927.6.760,Tb927.6.790,Tb927.7.1790,Tb927.7.4570,Tb927.7.5480,Tb927.7.7470,Tb927.8.5630,Tb927.8.7590,	12.7	3.72	4.58	1.92344226898e-11	1.0848214397e-09	1.0848214397e-08
