ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0020015	glycosome	166	29	Tb927.1.4490,Tb927.10.1400,Tb927.10.15410,Tb927.10.2010,Tb927.10.2020,Tb927.10.5760,Tb927.11.1020,Tb927.11.3850,Tb927.11.5520,Tb927.11.6280,Tb927.11.900,Tb927.2.4210,Tb927.3.1840,Tb927.3.3270,Tb927.3.4500,Tb927.4.1360,Tb927.5.930,Tb927.7.1140,Tb927.7.1790,Tb927.7.4570,Tb927.7.7500,Tb927.8.2450,Tb927.8.3530,Tb927.8.6170,Tb927.9.11580,Tb927.9.11600,Tb927.9.6210,Tb927.9.6250,Tb927.9.6290,	17.5	5.11	6.59	2.14368610139e-13	1.83879922204e-11	3.90150870453e-11
GO:0016020	membrane	1039	80	Tb927.1.2160,Tb927.1.4420,Tb927.1.580,Tb927.1.600,Tb927.10.10260,Tb927.10.12840,Tb927.10.14170,Tb927.10.16190,Tb927.10.2430,Tb927.10.2560,Tb927.10.6830,Tb927.10.7570,Tb927.10.8450,Tb927.10.8470,Tb927.10.9080,Tb927.11.13740,Tb927.11.1480,Tb927.11.15080,Tb927.11.15530,Tb927.11.15960,Tb927.11.1830,Tb927.11.2410,Tb927.11.5290,Tb927.11.5350,Tb927.11.5940,Tb927.11.6040,Tb927.11.6640,Tb927.11.7490,Tb927.11.7500,Tb927.11.8990,Tb927.2.4700,Tb927.3.1690,Tb927.3.1790,Tb927.3.1840,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.4.440,Tb927.5.1450,Tb927.5.1550,Tb927.5.4540,Tb927.5.4550,Tb927.5.510,Tb927.6.1520,Tb927.6.190,Tb927.6.200,Tb927.6.450,Tb927.6.480,Tb927.6.520,Tb927.6.760,Tb927.6.790,Tb927.7.3520,Tb927.7.4180,Tb927.7.4270,Tb927.7.5930,Tb927.7.5940,Tb927.7.5950,Tb927.7.5960,Tb927.7.5970,Tb927.7.5980,Tb927.7.5990,Tb927.7.6000,Tb927.7.7210,Tb927.7.7470,Tb927.8.3240,Tb927.8.3630,Tb927.8.3650,Tb927.8.4060,Tb927.8.6580,Tb927.8.7590,Tb927.8.7700,Tb927.8.8300,Tb927.8.8360,Tb927.9.11580,Tb927.9.11600,Tb927.9.2320,Tb927.9.4310,Tb927.9.6210,Tb927.9.7470,	7.7	2.25	2.94	3.42110076744e-13	1.83879922204e-11	6.22640339674e-11
GO:0042579	microbody	170	29	Tb927.1.4490,Tb927.10.1400,Tb927.10.15410,Tb927.10.2010,Tb927.10.2020,Tb927.10.5760,Tb927.11.1020,Tb927.11.3850,Tb927.11.5520,Tb927.11.6280,Tb927.11.900,Tb927.2.4210,Tb927.3.1840,Tb927.3.3270,Tb927.3.4500,Tb927.4.1360,Tb927.5.930,Tb927.7.1140,Tb927.7.1790,Tb927.7.4570,Tb927.7.7500,Tb927.8.2450,Tb927.8.3530,Tb927.8.6170,Tb927.9.11580,Tb927.9.11600,Tb927.9.6210,Tb927.9.6250,Tb927.9.6290,	17.1	4.99	6.4	4.04131697151e-13	1.83879922204e-11	7.35519688814e-11
GO:0005777	peroxisome	170	29	Tb927.1.4490,Tb927.10.1400,Tb927.10.15410,Tb927.10.2010,Tb927.10.2020,Tb927.10.5760,Tb927.11.1020,Tb927.11.3850,Tb927.11.5520,Tb927.11.6280,Tb927.11.900,Tb927.2.4210,Tb927.3.1840,Tb927.3.3270,Tb927.3.4500,Tb927.4.1360,Tb927.5.930,Tb927.7.1140,Tb927.7.1790,Tb927.7.4570,Tb927.7.7500,Tb927.8.2450,Tb927.8.3530,Tb927.8.6170,Tb927.9.11580,Tb927.9.11600,Tb927.9.6210,Tb927.9.6250,Tb927.9.6290,	17.1	4.99	6.4	4.04131697151e-13	1.83879922204e-11	7.35519688814e-11
GO:0031224	intrinsic component of membrane	593	53	Tb927.1.4420,Tb927.10.16190,Tb927.10.2430,Tb927.10.8450,Tb927.10.8470,Tb927.10.9080,Tb927.11.13740,Tb927.11.1480,Tb927.11.15530,Tb927.11.15960,Tb927.11.5290,Tb927.11.5350,Tb927.11.5940,Tb927.11.6040,Tb927.11.6640,Tb927.11.7490,Tb927.11.7500,Tb927.3.1840,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.450,Tb927.6.480,Tb927.6.520,Tb927.6.760,Tb927.6.790,Tb927.7.4180,Tb927.7.5930,Tb927.7.5940,Tb927.7.5950,Tb927.7.5960,Tb927.7.5970,Tb927.7.5980,Tb927.7.5990,Tb927.7.6000,Tb927.7.7470,Tb927.8.3240,Tb927.8.3630,Tb927.8.3650,Tb927.8.4060,Tb927.8.7590,Tb927.8.7700,Tb927.8.8300,Tb927.8.8360,Tb927.9.11580,Tb927.9.11600,Tb927.9.7470,	8.9	2.61	3.21	4.16393392095e-11	1.26305995602e-09	7.57835973613e-09
GO:0016021	integral component of membrane	593	53	Tb927.1.4420,Tb927.10.16190,Tb927.10.2430,Tb927.10.8450,Tb927.10.8470,Tb927.10.9080,Tb927.11.13740,Tb927.11.1480,Tb927.11.15530,Tb927.11.15960,Tb927.11.5290,Tb927.11.5350,Tb927.11.5940,Tb927.11.6040,Tb927.11.6640,Tb927.11.7490,Tb927.11.7500,Tb927.3.1840,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.450,Tb927.6.480,Tb927.6.520,Tb927.6.760,Tb927.6.790,Tb927.7.4180,Tb927.7.5930,Tb927.7.5940,Tb927.7.5950,Tb927.7.5960,Tb927.7.5970,Tb927.7.5980,Tb927.7.5990,Tb927.7.6000,Tb927.7.7470,Tb927.8.3240,Tb927.8.3630,Tb927.8.3650,Tb927.8.4060,Tb927.8.7590,Tb927.8.7700,Tb927.8.8300,Tb927.8.8360,Tb927.9.11580,Tb927.9.11600,Tb927.9.7470,	8.9	2.61	3.21	4.16393392095e-11	1.26305995602e-09	7.57835973613e-09
GO:0044425	membrane part	779	62	Tb927.1.2160,Tb927.1.4420,Tb927.10.16190,Tb927.10.2430,Tb927.10.6830,Tb927.10.8450,Tb927.10.8470,Tb927.10.9080,Tb927.11.13740,Tb927.11.1480,Tb927.11.15530,Tb927.11.15960,Tb927.11.1830,Tb927.11.2410,Tb927.11.5290,Tb927.11.5350,Tb927.11.5940,Tb927.11.6040,Tb927.11.6640,Tb927.11.7490,Tb927.11.7500,Tb927.3.1690,Tb927.3.1840,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.4.440,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.450,Tb927.6.480,Tb927.6.520,Tb927.6.760,Tb927.6.790,Tb927.7.4180,Tb927.7.4270,Tb927.7.5930,Tb927.7.5940,Tb927.7.5950,Tb927.7.5960,Tb927.7.5970,Tb927.7.5980,Tb927.7.5990,Tb927.7.6000,Tb927.7.7470,Tb927.8.3240,Tb927.8.3630,Tb927.8.3650,Tb927.8.4060,Tb927.8.6580,Tb927.8.7590,Tb927.8.7700,Tb927.8.8300,Tb927.8.8360,Tb927.9.11580,Tb927.9.11600,Tb927.9.6210,Tb927.9.7470,	8.0	2.33	2.88	9.2493642292e-11	2.40483469959e-09	1.68338428971e-08
GO:0009986	cell surface	35	10	Tb927.10.10260,Tb927.6.450,Tb927.6.480,Tb927.6.520,Tb927.7.5930,Tb927.7.6850,Tb927.9.15510,Tb927.9.15570,Tb927.9.15590,Tb927.9.15630,	28.6	8.36	11.7	1.5920002364e-07	3.62180053781e-06	2.89744043025e-05
GO:0035328	transcriptionally silent chromatin	5	4	Tb927.11.1790,Tb927.11.1800,Tb927.11.1860,Tb927.11.1880,	80.0	23.4	114.69	6.50771651925e-06	0.000131600489612	0.0011844044065
GO:0031090	organelle membrane	317	27	Tb927.1.2160,Tb927.1.4420,Tb927.10.12840,Tb927.10.2560,Tb927.10.6830,Tb927.10.7570,Tb927.11.1830,Tb927.11.2410,Tb927.11.5290,Tb927.11.6640,Tb927.11.8990,Tb927.2.4700,Tb927.3.1690,Tb927.3.1790,Tb927.3.1840,Tb927.4.440,Tb927.5.1550,Tb927.5.510,Tb927.7.3520,Tb927.7.4270,Tb927.7.7210,Tb927.8.6580,Tb927.9.11580,Tb927.9.11600,Tb927.9.2320,Tb927.9.4310,Tb927.9.6210,	8.5	2.49	2.81	9.93311352847e-06	0.000180782666218	0.00180782666218
