ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0009975	cyclase activity	57	21	Tb927.10.13040,Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.11.13740,Tb927.11.1480,Tb927.11.5940,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.760,Tb927.6.790,Tb927.7.7470,Tb927.8.7590,Tb927.8.8360,	36.8	10.77	17.8	5.28021747408e-17	7.89392512376e-15	1.57878502475e-14
GO:0004016	adenylate cyclase activity	57	21	Tb927.10.13040,Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.11.13740,Tb927.11.1480,Tb927.11.5940,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.760,Tb927.6.790,Tb927.7.7470,Tb927.8.7590,Tb927.8.8360,	36.8	10.77	17.8	5.28021747408e-17	7.89392512376e-15	1.57878502475e-14
GO:0016829	lyase activity	124	28	Tb927.10.13040,Tb927.10.14000,Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.10.2890,Tb927.11.13740,Tb927.11.1480,Tb927.11.5940,Tb927.2.4210,Tb927.3.4500,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.4470,Tb927.6.760,Tb927.6.790,Tb927.7.3220,Tb927.7.4390,Tb927.7.7470,Tb927.8.7590,Tb927.8.8360,	22.6	6.6	9.09	5.88527106567e-16	5.86565349545e-14	1.75969604864e-13
GO:0016849	phosphorus-oxygen lyase activity	83	21	Tb927.10.13040,Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.11.13740,Tb927.11.1480,Tb927.11.5940,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.4540,Tb927.5.4550,Tb927.6.190,Tb927.6.200,Tb927.6.760,Tb927.6.790,Tb927.7.7470,Tb927.8.7590,Tb927.8.8360,	25.3	7.4	10.3	2.73594877253e-13	2.04512170746e-11	8.18048682986e-11
GO:0031490	chromatin DNA binding	5	4	Tb927.11.1790,Tb927.11.1800,Tb927.11.1860,Tb927.11.1880,	80.0	23.4	114.69	6.50771651925e-06	0.000389161447851	0.00194580723926
GO:0042803	protein homodimerization activity	10	5	Tb927.10.13040,Tb927.10.16190,Tb927.11.13740,Tb927.7.7470,Tb927.8.3530,	50.0	14.62	28.77	9.8582323386e-06	0.000451607844587	0.00294761146924
GO:0016491	oxidoreductase activity	229	22	Tb927.1.4490,Tb927.10.15410,Tb927.10.2560,Tb927.10.430,Tb927.10.470,Tb927.10.7570,Tb927.11.1310,Tb927.11.15530,Tb927.11.15550,Tb927.11.6640,Tb927.11.900,Tb927.2.4370,Tb927.3.1840,Tb927.5.1470,Tb927.5.930,Tb927.7.1140,Tb927.7.5480,Tb927.7.7500,Tb927.8.3240,Tb927.8.3380,Tb927.8.3530,Tb927.8.6580,	9.6	2.81	3.18	1.05727589034e-05	0.000451607844587	0.00316125491211
GO:0042802	identical protein binding	11	5	Tb927.10.13040,Tb927.10.16190,Tb927.11.13740,Tb927.7.7470,Tb927.8.3530,	45.5	13.29	23.97	1.75695981087e-05	0.000656663729313	0.0052533098345
GO:0003824	catalytic activity	1989	98	Tb927.1.2110,Tb927.1.4420,Tb927.1.4490,Tb927.1.710,Tb927.10.11970,Tb927.10.12260,Tb927.10.13040,Tb927.10.13430,Tb927.10.1400,Tb927.10.14000,Tb927.10.15410,Tb927.10.160,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2020,Tb927.10.2210,Tb927.10.2430,Tb927.10.2560,Tb927.10.2890,Tb927.10.4000,Tb927.10.430,Tb927.10.470,Tb927.10.5760,Tb927.10.5940,Tb927.10.7500,Tb927.10.7570,Tb927.10.880,Tb927.11.1020,Tb927.11.11560,Tb927.11.1310,Tb927.11.13740,Tb927.11.1480,Tb927.11.15530,Tb927.11.15550,Tb927.11.2650,Tb927.11.2690,Tb927.11.3200,Tb927.11.3850,Tb927.11.5520,Tb927.11.5940,Tb927.11.6280,Tb927.11.6640,Tb927.11.6990,Tb927.11.8170,Tb927.11.900,Tb927.11.9310,Tb927.2.4210,Tb927.2.4370,Tb927.3.1790,Tb927.3.1840,Tb927.3.3270,Tb927.3.4500,Tb927.4.1360,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1450,Tb927.5.1470,Tb927.5.4540,Tb927.5.4550,Tb927.5.930,Tb927.6.1640,Tb927.6.1650,Tb927.6.190,Tb927.6.200,Tb927.6.2740,Tb927.6.2790,Tb927.6.4470,Tb927.6.760,Tb927.6.790,Tb927.7.1140,Tb927.7.1790,Tb927.7.3220,Tb927.7.4180,Tb927.7.4390,Tb927.7.4570,Tb927.7.5480,Tb927.7.6850,Tb927.7.7470,Tb927.7.7500,Tb927.8.1130,Tb927.8.2550,Tb927.8.3240,Tb927.8.3380,Tb927.8.3530,Tb927.8.5630,Tb927.8.6060,Tb927.8.6110,Tb927.8.6170,Tb927.8.6580,Tb927.8.7590,Tb927.8.8360,Tb927.9.6210,Tb927.9.6250,Tb927.9.6290,Tb927.9.7770,	4.9	1.44	1.73	2.34563626476e-05	0.000779272492403	0.00701345243163
GO:0004054	arginine kinase activity	3	3	Tb927.9.6210,Tb927.9.6250,Tb927.9.6290,	100.0	29.24	inf	3.95482825403e-05	0.00100036875066	0.0118249364796
