ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0055085	transmembrane transport	175	29	Tb927.10.14170,Tb927.10.1570,Tb927.10.8440,Tb927.10.8450,Tb927.10.8470,Tb927.10.8500,Tb927.11.3610,Tb927.11.3620,Tb927.11.6680,Tb927.11.7480,Tb927.11.8990,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.3.590,Tb927.6.1520,Tb927.6.220,Tb927.7.5930,Tb927.7.5940,Tb927.7.5960,Tb927.7.5970,Tb927.7.5980,Tb927.7.5990,Tb927.7.6000,Tb927.8.1650,Tb927.8.2160,Tb927.8.2770,Tb927.9.7470,	16.6	2.93	3.48	1.32126977819e-07	5.25164933642e-05	8.35042499813e-05
GO:0044281	small molecule metabolic process	364	46	Tb927.1.3830,Tb927.1.700,Tb927.1.710,Tb927.10.13040,Tb927.10.13360,Tb927.10.1500,Tb927.10.15410,Tb927.10.15910,Tb927.10.4040,Tb927.10.4280,Tb927.10.5760,Tb927.10.7100,Tb927.11.1020,Tb927.11.13740,Tb927.11.1480,Tb927.11.15530,Tb927.11.17040,Tb927.11.2690,Tb927.11.4700,Tb927.11.5090,Tb927.11.5940,Tb927.11.6280,Tb927.11.900,Tb927.2.4210,Tb927.2.4590,Tb927.3.2960,Tb927.4.3860,Tb927.5.285b,Tb927.5.320,Tb927.5.330,Tb927.5.3800,Tb927.6.200,Tb927.6.430,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.1790,Tb927.7.4570,Tb927.7.5480,Tb927.7.7470,Tb927.7.7530,Tb927.8.6060,Tb927.8.6110,Tb927.8.6170,Tb927.8.7430,Tb927.9.15660,	12.6	2.23	2.58	1.66191434697e-07	5.25164933642e-05	0.000105032986728
GO:0046942	carboxylic acid transport	53	14	Tb927.11.15960,Tb927.11.6680,Tb927.4.4730,Tb927.7.5930,Tb927.7.5940,Tb927.7.6850,Tb927.8.1650,Tb927.8.7600,Tb927.8.7610,Tb927.8.7620,Tb927.8.7670,Tb927.8.7680,Tb927.8.7740,Tb927.8.8300,	26.4	4.67	6.15	8.76715673426e-07	0.000138521076401	0.000554084305605
GO:0015849	organic acid transport	53	14	Tb927.11.15960,Tb927.11.6680,Tb927.4.4730,Tb927.7.5930,Tb927.7.5940,Tb927.7.6850,Tb927.8.1650,Tb927.8.7600,Tb927.8.7610,Tb927.8.7620,Tb927.8.7670,Tb927.8.7680,Tb927.8.7740,Tb927.8.8300,	26.4	4.67	6.15	8.76715673426e-07	0.000138521076401	0.000554084305605
GO:0006811	ion transport	145	24	Tb927.10.1570,Tb927.11.15960,Tb927.11.6680,Tb927.11.7480,Tb927.11.8990,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.4.4730,Tb927.7.5930,Tb927.7.5940,Tb927.7.6850,Tb927.8.1650,Tb927.8.2770,Tb927.8.7600,Tb927.8.7610,Tb927.8.7620,Tb927.8.7670,Tb927.8.7680,Tb927.8.7740,Tb927.8.8300,Tb927.9.15460,	16.6	2.93	3.44	1.66706302314e-06	0.0001921428024	0.00105358383062
GO:0015711	organic anion transport	57	14	Tb927.11.15960,Tb927.11.6680,Tb927.4.4730,Tb927.7.5930,Tb927.7.5940,Tb927.7.6850,Tb927.8.1650,Tb927.8.7600,Tb927.8.7610,Tb927.8.7620,Tb927.8.7670,Tb927.8.7680,Tb927.8.7740,Tb927.8.8300,	24.6	4.34	5.58	2.27717080061e-06	0.0001921428024	0.00143917194598
GO:0009187	cyclic nucleotide metabolic process	82	17	Tb927.10.13040,Tb927.11.13740,Tb927.11.1480,Tb927.11.17040,Tb927.11.5940,Tb927.4.3860,Tb927.5.285b,Tb927.5.320,Tb927.5.330,Tb927.6.200,Tb927.6.430,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.7470,Tb927.7.7530,Tb927.9.15660,	20.7	3.67	4.5	2.43218737215e-06	0.0001921428024	0.0015371424192
GO:0009190	cyclic nucleotide biosynthetic process	82	17	Tb927.10.13040,Tb927.11.13740,Tb927.11.1480,Tb927.11.17040,Tb927.11.5940,Tb927.4.3860,Tb927.5.285b,Tb927.5.320,Tb927.5.330,Tb927.6.200,Tb927.6.430,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.7470,Tb927.7.7530,Tb927.9.15660,	20.7	3.67	4.5	2.43218737215e-06	0.0001921428024	0.0015371424192
GO:0055086	nucleobase-containing small molecule metabolic process	214	30	Tb927.1.3830,Tb927.1.700,Tb927.1.710,Tb927.10.13040,Tb927.10.13360,Tb927.10.4280,Tb927.10.5760,Tb927.11.13740,Tb927.11.1480,Tb927.11.17040,Tb927.11.5940,Tb927.3.2960,Tb927.4.3860,Tb927.5.285b,Tb927.5.320,Tb927.5.330,Tb927.5.3800,Tb927.6.200,Tb927.6.430,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.1790,Tb927.7.4570,Tb927.7.5480,Tb927.7.7470,Tb927.7.7530,Tb927.8.6170,Tb927.8.7430,Tb927.9.15660,	14.0	2.48	2.85	3.17698690714e-06	0.00022309508059	0.00200785572531
GO:0006820	anion transport	63	14	Tb927.11.15960,Tb927.11.6680,Tb927.4.4730,Tb927.7.5930,Tb927.7.5940,Tb927.7.6850,Tb927.8.1650,Tb927.8.7600,Tb927.8.7610,Tb927.8.7620,Tb927.8.7670,Tb927.8.7680,Tb927.8.7740,Tb927.8.8300,	22.2	3.93	4.89	8.09076822289e-06	0.000511336551687	0.00511336551687
