ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0022857	transmembrane transporter activity	214	38	Tb927.1.4100,Tb927.10.14170,Tb927.10.1570,Tb927.10.8440,Tb927.10.8450,Tb927.10.8470,Tb927.10.8500,Tb927.10.9080,Tb927.11.15960,Tb927.11.3610,Tb927.11.3620,Tb927.11.6680,Tb927.11.7480,Tb927.11.8990,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.3.590,Tb927.4.4730,Tb927.6.1520,Tb927.6.220,Tb927.8.2160,Tb927.8.2770,Tb927.8.3620,Tb927.8.3650,Tb927.8.7600,Tb927.8.7610,Tb927.8.7620,Tb927.8.7650,Tb927.8.7670,Tb927.8.7680,Tb927.8.7740,Tb927.8.8300,Tb927.9.15460,Tb927.9.6310,Tb927.9.7470,	17.8	3.14	3.85	1.74148040304e-10	6.28674425496e-08	6.28674425496e-08
GO:0005215	transporter activity	221	38	Tb927.1.4100,Tb927.10.14170,Tb927.10.1570,Tb927.10.8440,Tb927.10.8450,Tb927.10.8470,Tb927.10.8500,Tb927.10.9080,Tb927.11.15960,Tb927.11.3610,Tb927.11.3620,Tb927.11.6680,Tb927.11.7480,Tb927.11.8990,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.3.590,Tb927.4.4730,Tb927.6.1520,Tb927.6.220,Tb927.8.2160,Tb927.8.2770,Tb927.8.3620,Tb927.8.3650,Tb927.8.7600,Tb927.8.7610,Tb927.8.7620,Tb927.8.7650,Tb927.8.7670,Tb927.8.7680,Tb927.8.7740,Tb927.8.8300,Tb927.9.15460,Tb927.9.6310,Tb927.9.7470,	17.2	3.04	3.7	4.60347596031e-10	8.30927410836e-08	1.66185482167e-07
GO:0004016	adenylate cyclase activity	57	16	Tb927.10.13040,Tb927.11.13740,Tb927.11.1480,Tb927.11.17040,Tb927.11.5940,Tb927.4.3860,Tb927.5.320,Tb927.5.330,Tb927.6.200,Tb927.6.430,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.7470,Tb927.7.7530,Tb927.9.15660,	28.1	4.96	6.72	5.64809187384e-08	5.09740291614e-06	2.03896116645e-05
GO:0009975	cyclase activity	57	16	Tb927.10.13040,Tb927.11.13740,Tb927.11.1480,Tb927.11.17040,Tb927.11.5940,Tb927.4.3860,Tb927.5.320,Tb927.5.330,Tb927.6.200,Tb927.6.430,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.7470,Tb927.7.7530,Tb927.9.15660,	28.1	4.96	6.72	5.64809187384e-08	5.09740291614e-06	2.03896116645e-05
GO:0016849	phosphorus-oxygen lyase activity	83	17	Tb927.10.13040,Tb927.11.13740,Tb927.11.1480,Tb927.11.17040,Tb927.11.5940,Tb927.4.3860,Tb927.5.285b,Tb927.5.320,Tb927.5.330,Tb927.6.200,Tb927.6.430,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.7470,Tb927.7.7530,Tb927.9.15660,	20.5	3.62	4.43	2.90207338049e-06	0.000209529698071	0.00104764849036
GO:0005275	amine transmembrane transporter activity	39	11	Tb927.11.15960,Tb927.11.6680,Tb927.4.4730,Tb927.8.7600,Tb927.8.7610,Tb927.8.7620,Tb927.8.7650,Tb927.8.7670,Tb927.8.7680,Tb927.8.7740,Tb927.8.8300,	28.2	4.99	6.7	6.62481893847e-06	0.000398593272798	0.00239155963679
GO:0016491	oxidoreductase activity	229	30	Tb927.1.4100,Tb927.1.4490,Tb927.10.15410,Tb927.10.4040,Tb927.10.470,Tb927.10.7090,Tb927.10.7100,Tb927.11.1310,Tb927.11.15530,Tb927.11.15550,Tb927.11.4430,Tb927.11.4700,Tb927.11.6210,Tb927.11.900,Tb927.2.6180,Tb927.5.930,Tb927.6.1570,Tb927.7.1120,Tb927.7.1130,Tb927.7.1140,Tb927.7.2700,Tb927.7.3500,Tb927.7.5480,Tb927.8.1890,Tb927.8.2210,Tb927.8.3240,Tb927.8.5120,Tb927.8.550,Tb927.8.7430,Tb927.9.14160,	13.1	2.32	2.63	1.26763449492e-05	0.000653737218096	0.00457616052667
GO:0016829	lyase activity	124	19	Tb927.10.13040,Tb927.11.13740,Tb927.11.1480,Tb927.11.17040,Tb927.11.5940,Tb927.2.4210,Tb927.3.4500,Tb927.4.3860,Tb927.5.285b,Tb927.5.320,Tb927.5.330,Tb927.6.200,Tb927.6.430,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.7470,Tb927.7.7530,Tb927.9.15660,	15.3	2.71	3.11	6.13396889114e-05	0.00276795346213	0.022143627697
GO:0015318	inorganic molecular entity transmembrane transporter activity	76	14	Tb927.1.4100,Tb927.10.14170,Tb927.10.1570,Tb927.11.7480,Tb927.11.8990,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.6.1520,Tb927.6.220,Tb927.8.2770,Tb927.9.15460,	18.4	3.26	3.86	7.55920764693e-05	0.00303208217838	0.0272887396054
GO:0042803	protein homodimerization activity	10	5	Tb927.10.13040,Tb927.11.13740,Tb927.11.17040,Tb927.7.7470,Tb927.9.15660,	50.0	8.84	16.86	0.000112534027777	0.00406247840275	0.0406247840275
