ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0009986	cell surface	35	23	Tb927.10.10250,Tb927.10.10260,Tb927.11.3610,Tb927.11.3620,Tb927.6.450,Tb927.6.480,Tb927.6.520,Tb927.7.5930,Tb927.7.6570,Tb927.7.6850,Tb927.8.1650,Tb927.9.15510,Tb927.9.15530,Tb927.9.15540,Tb927.9.15560,Tb927.9.15570,Tb927.9.15580,Tb927.9.15590,Tb927.9.15600,Tb927.9.15610,Tb927.9.15620,Tb927.9.15630,Tb927.9.15640,	65.7	11.62	33.68	5.17471029042e-21	1.09186387128e-18	1.09186387128e-18
GO:0016020	membrane	1039	129	Tb927.1.2040,Tb927.1.2230,Tb927.1.2260,Tb927.1.4100,Tb927.1.4900,Tb927.1.5100,Tb927.1.5110,Tb927.1.5120,Tb927.1.5170,Tb927.10.10250,Tb927.10.10260,Tb927.10.14170,Tb927.10.14760,Tb927.10.1570,Tb927.10.2410,Tb927.10.300,Tb927.10.3040,Tb927.10.4040,Tb927.10.4280,Tb927.10.7090,Tb927.10.7100,Tb927.10.7140,Tb927.10.7180,Tb927.10.8440,Tb927.10.8450,Tb927.10.8470,Tb927.10.8500,Tb927.10.9080,Tb927.11.13740,Tb927.11.14620,Tb927.11.1480,Tb927.11.1520,Tb927.11.15530,Tb927.11.15960,Tb927.11.1830,Tb927.11.2410,Tb927.11.2750,Tb927.11.3610,Tb927.11.3620,Tb927.11.4430,Tb927.11.4680,Tb927.11.5940,Tb927.11.6040,Tb927.11.6680,Tb927.11.7410,Tb927.11.7480,Tb927.11.7490,Tb927.11.7500,Tb927.11.8800,Tb927.11.8990,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.2.2970,Tb927.2.3270,Tb927.2.3320,Tb927.2.4760,Tb927.2.4920,Tb927.2.5290,Tb927.2.5300,Tb927.2.5310,Tb927.2.5320,Tb927.2.5330,Tb927.2.5350,Tb927.2.5360,Tb927.2.5530,Tb927.3.1500,Tb927.3.1510,Tb927.3.3730,Tb927.3.590,Tb927.4.3860,Tb927.5.1310,Tb927.5.1710,Tb927.5.320,Tb927.5.330,Tb927.5.440,Tb927.6.1410,Tb927.6.1520,Tb927.6.200,Tb927.6.220,Tb927.6.2540,Tb927.6.430,Tb927.6.450,Tb927.6.480,Tb927.6.520,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.4270,Tb927.7.5060,Tb927.7.5930,Tb927.7.5940,Tb927.7.5960,Tb927.7.5970,Tb927.7.5980,Tb927.7.5990,Tb927.7.6000,Tb927.7.6110,Tb927.7.6440,Tb927.7.7470,Tb927.7.7530,Tb927.8.1650,Tb927.8.1890,Tb927.8.2070,Tb927.8.2160,Tb927.8.2770,Tb927.8.3240,Tb927.8.3620,Tb927.8.3650,Tb927.8.4010,Tb927.8.4060,Tb927.8.4250,Tb927.8.7150,Tb927.8.7430,Tb927.8.7600,Tb927.8.7680,Tb927.8.8300,Tb927.9.11600,Tb927.9.12500,Tb927.9.14160,Tb927.9.15460,Tb927.9.15660,Tb927.9.2320,Tb927.9.3120,Tb927.9.6310,Tb927.9.7470,Tb927.9.7830,	12.4	2.2	2.93	9.82772578659e-20	1.03682507048e-17	2.07365014097e-17
GO:0044425	membrane part	779	106	Tb927.1.2040,Tb927.1.2230,Tb927.1.2260,Tb927.1.4100,Tb927.1.4900,Tb927.1.5100,Tb927.1.5110,Tb927.1.5120,Tb927.1.5170,Tb927.10.14760,Tb927.10.1570,Tb927.10.300,Tb927.10.4040,Tb927.10.4280,Tb927.10.7100,Tb927.10.7140,Tb927.10.7180,Tb927.10.8440,Tb927.10.8450,Tb927.10.8470,Tb927.10.8500,Tb927.10.9080,Tb927.11.13740,Tb927.11.14620,Tb927.11.1480,Tb927.11.1520,Tb927.11.15530,Tb927.11.15960,Tb927.11.1830,Tb927.11.2410,Tb927.11.3610,Tb927.11.3620,Tb927.11.4430,Tb927.11.5940,Tb927.11.6040,Tb927.11.6680,Tb927.11.7480,Tb927.11.7490,Tb927.11.7500,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.2.4760,Tb927.2.4920,Tb927.2.5290,Tb927.2.5300,Tb927.2.5310,Tb927.2.5320,Tb927.2.5330,Tb927.2.5350,Tb927.2.5360,Tb927.3.1500,Tb927.3.1510,Tb927.3.3730,Tb927.3.590,Tb927.4.3860,Tb927.5.1310,Tb927.5.1710,Tb927.5.320,Tb927.5.330,Tb927.5.440,Tb927.6.1410,Tb927.6.200,Tb927.6.220,Tb927.6.430,Tb927.6.450,Tb927.6.480,Tb927.6.520,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.4270,Tb927.7.5930,Tb927.7.5940,Tb927.7.5960,Tb927.7.5970,Tb927.7.5980,Tb927.7.5990,Tb927.7.6000,Tb927.7.6110,Tb927.7.6440,Tb927.7.7470,Tb927.7.7530,Tb927.8.1650,Tb927.8.1890,Tb927.8.2070,Tb927.8.2160,Tb927.8.3240,Tb927.8.3620,Tb927.8.3650,Tb927.8.4010,Tb927.8.4060,Tb927.8.4250,Tb927.8.7150,Tb927.8.7430,Tb927.8.7680,Tb927.8.8300,Tb927.9.11600,Tb927.9.14160,Tb927.9.15460,Tb927.9.15660,Tb927.9.3120,Tb927.9.6310,Tb927.9.7470,	13.6	2.41	3.14	6.49845570502e-19	4.57058051253e-17	1.37117415376e-16
GO:0031224	intrinsic component of membrane	593	86	Tb927.1.2040,Tb927.1.4900,Tb927.1.5100,Tb927.1.5110,Tb927.1.5120,Tb927.1.5170,Tb927.10.300,Tb927.10.7100,Tb927.10.7140,Tb927.10.7180,Tb927.10.8440,Tb927.10.8450,Tb927.10.8470,Tb927.10.8500,Tb927.10.9080,Tb927.11.13740,Tb927.11.14620,Tb927.11.1480,Tb927.11.1520,Tb927.11.15530,Tb927.11.15960,Tb927.11.3610,Tb927.11.3620,Tb927.11.4430,Tb927.11.5940,Tb927.11.6040,Tb927.11.6680,Tb927.11.7490,Tb927.11.7500,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.2.4760,Tb927.2.4920,Tb927.2.5290,Tb927.2.5300,Tb927.2.5310,Tb927.2.5320,Tb927.2.5330,Tb927.2.5350,Tb927.2.5360,Tb927.3.1500,Tb927.3.1510,Tb927.3.3730,Tb927.3.590,Tb927.4.3860,Tb927.5.1310,Tb927.5.320,Tb927.5.330,Tb927.6.200,Tb927.6.220,Tb927.6.430,Tb927.6.450,Tb927.6.480,Tb927.6.520,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.5930,Tb927.7.5940,Tb927.7.5960,Tb927.7.5970,Tb927.7.5980,Tb927.7.5990,Tb927.7.6000,Tb927.7.6110,Tb927.7.7470,Tb927.7.7530,Tb927.8.1650,Tb927.8.2160,Tb927.8.3240,Tb927.8.3620,Tb927.8.3650,Tb927.8.4010,Tb927.8.4060,Tb927.8.7150,Tb927.8.7680,Tb927.8.8300,Tb927.9.11600,Tb927.9.15460,Tb927.9.15660,Tb927.9.3120,Tb927.9.6310,Tb927.9.7470,	14.5	2.56	3.27	5.68062322873e-17	2.39722300252e-15	1.19861150126e-14
GO:0016021	integral component of membrane	593	86	Tb927.1.2040,Tb927.1.4900,Tb927.1.5100,Tb927.1.5110,Tb927.1.5120,Tb927.1.5170,Tb927.10.300,Tb927.10.7100,Tb927.10.7140,Tb927.10.7180,Tb927.10.8440,Tb927.10.8450,Tb927.10.8470,Tb927.10.8500,Tb927.10.9080,Tb927.11.13740,Tb927.11.14620,Tb927.11.1480,Tb927.11.1520,Tb927.11.15530,Tb927.11.15960,Tb927.11.3610,Tb927.11.3620,Tb927.11.4430,Tb927.11.5940,Tb927.11.6040,Tb927.11.6680,Tb927.11.7490,Tb927.11.7500,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.2.4760,Tb927.2.4920,Tb927.2.5290,Tb927.2.5300,Tb927.2.5310,Tb927.2.5320,Tb927.2.5330,Tb927.2.5350,Tb927.2.5360,Tb927.3.1500,Tb927.3.1510,Tb927.3.3730,Tb927.3.590,Tb927.4.3860,Tb927.5.1310,Tb927.5.320,Tb927.5.330,Tb927.6.200,Tb927.6.220,Tb927.6.430,Tb927.6.450,Tb927.6.480,Tb927.6.520,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.5930,Tb927.7.5940,Tb927.7.5960,Tb927.7.5970,Tb927.7.5980,Tb927.7.5990,Tb927.7.6000,Tb927.7.6110,Tb927.7.7470,Tb927.7.7530,Tb927.8.1650,Tb927.8.2160,Tb927.8.3240,Tb927.8.3620,Tb927.8.3650,Tb927.8.4010,Tb927.8.4060,Tb927.8.7150,Tb927.8.7680,Tb927.8.8300,Tb927.9.11600,Tb927.9.15460,Tb927.9.15660,Tb927.9.3120,Tb927.9.6310,Tb927.9.7470,	14.5	2.56	3.27	5.68062322873e-17	2.39722300252e-15	1.19861150126e-14
GO:0005575	cellular component	6378	401	Tb927.1.1000,Tb927.1.1530,Tb927.1.2040,Tb927.1.2110,Tb927.1.2150,Tb927.1.2230,Tb927.1.2260,Tb927.1.3130,Tb927.1.3830,Tb927.1.4100,Tb927.1.420,Tb927.1.4490,Tb927.1.4560,Tb927.1.4580,Tb927.1.4600,Tb927.1.4650,Tb927.1.470,Tb927.1.4900,Tb927.1.5100,Tb927.1.5110,Tb927.1.5120,Tb927.1.5170,Tb927.1.70,Tb927.1.700,Tb927.1.710,Tb927.1.800,Tb927.10.10000,Tb927.10.10110,Tb927.10.10250,Tb927.10.10260,Tb927.10.10360,Tb927.10.1050,Tb927.10.10590,Tb927.10.10640,Tb927.10.10770,Tb927.10.11060,Tb927.10.1120,Tb927.10.11630,Tb927.10.11830,Tb927.10.11880,Tb927.10.11970,Tb927.10.12010,Tb927.10.12060,Tb927.10.12220,Tb927.10.12260,Tb927.10.12350,Tb927.10.12370,Tb927.10.12650,Tb927.10.12780,Tb927.10.13360,Tb927.10.13400,Tb927.10.13410,Tb927.10.13420,Tb927.10.13430,Tb927.10.13700,Tb927.10.13930,Tb927.10.14170,Tb927.10.14600,Tb927.10.14760,Tb927.10.14890,Tb927.10.14950,Tb927.10.1500,Tb927.10.15320,Tb927.10.15350,Tb927.10.15410,Tb927.10.15600,Tb927.10.1570,Tb927.10.15910,Tb927.10.15960,Tb927.10.16140,Tb927.10.2300,Tb927.10.2410,Tb927.10.2540,Tb927.10.2660,Tb927.10.2850,Tb927.10.300,Tb927.10.3040,Tb927.10.3360,Tb927.10.3620,Tb927.10.4040,Tb927.10.4280,Tb927.10.470,Tb927.10.4780,Tb927.10.4880,Tb927.10.5190,Tb927.10.5760,Tb927.10.6040,Tb927.10.6130,Tb927.10.6200,Tb927.10.6720,Tb927.10.7090,Tb927.10.7100,Tb927.10.7140,Tb927.10.7180,Tb927.10.7230,Tb927.10.8050,Tb927.10.8070,Tb927.10.8230,Tb927.10.8320,Tb927.10.8440,Tb927.10.8450,Tb927.10.8470,Tb927.10.8500,Tb927.10.8800,Tb927.10.9080,Tb927.11.1020,Tb927.11.1130,Tb927.11.12040,Tb927.11.12320,Tb927.11.12620,Tb927.11.12760,Tb927.11.1310,Tb927.11.13230,Tb927.11.13470,Tb927.11.13740,Tb927.11.14620,Tb927.11.1480,Tb927.11.14970,Tb927.11.1520,Tb927.11.15360,Tb927.11.15410,Tb927.11.15530,Tb927.11.15550,Tb927.11.15590,Tb927.11.15660,Tb927.11.15960,Tb927.11.16080,Tb927.11.16200,Tb927.11.16300,Tb927.11.16310,Tb927.11.16430,Tb927.11.16740,Tb927.11.1790,Tb927.11.1800,Tb927.11.1830,Tb927.11.1880,Tb927.11.2410,Tb927.11.250,Tb927.11.2690,Tb927.11.2750,Tb927.11.2930,Tb927.11.3610,Tb927.11.3620,Tb927.11.3980,Tb927.11.4020,Tb927.11.4430,Tb927.11.4450,Tb927.11.4680,Tb927.11.4750,Tb927.11.4760,Tb927.11.4860,Tb927.11.5090,Tb927.11.5540,Tb927.11.5720,Tb927.11.5860,Tb927.11.5940,Tb927.11.6040,Tb927.11.6210,Tb927.11.6280,Tb927.11.6350,Tb927.11.6430,Tb927.11.6440,Tb927.11.6680,Tb927.11.6700,Tb927.11.7100,Tb927.11.7250,Tb927.11.7410,Tb927.11.7480,Tb927.11.7490,Tb927.11.7500,Tb927.11.7550,Tb927.11.780,Tb927.11.8090,Tb927.11.840,Tb927.11.8800,Tb927.11.8990,Tb927.11.900,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.11.9250,Tb927.2.1170,Tb927.2.240,Tb927.2.2510,Tb927.2.2970,Tb927.2.3270,Tb927.2.3320,Tb927.2.3720,Tb927.2.4200,Tb927.2.4210,Tb927.2.4580,Tb927.2.4590,Tb927.2.4760,Tb927.2.4920,Tb927.2.5290,Tb927.2.5300,Tb927.2.5310,Tb927.2.5320,Tb927.2.5330,Tb927.2.5350,Tb927.2.5360,Tb927.2.5530,Tb927.3.1410,Tb927.3.1500,Tb927.3.1510,Tb927.3.1870,Tb927.3.2360,Tb927.3.2600,Tb927.3.2800,Tb927.3.2960,Tb927.3.3010,Tb927.3.3340,Tb927.3.3700,Tb927.3.3730,Tb927.3.3750,Tb927.3.3890,Tb927.3.4070,Tb927.3.4100,Tb927.3.4500,Tb927.3.4650,Tb927.3.590,Tb927.3.600,Tb927.3.700,Tb927.4.1230,Tb927.4.1360,Tb927.4.2750,Tb927.4.3510,Tb927.4.3860,Tb927.4.3940,Tb927.4.4620,Tb927.4.500,Tb927.4.840,Tb927.5.1060,Tb927.5.1310,Tb927.5.1700,Tb927.5.1710,Tb927.5.2160,Tb927.5.2580,Tb927.5.320,Tb927.5.330,Tb927.5.3800,Tb927.5.4010,Tb927.5.4020,Tb927.5.410,Tb927.5.4180,Tb927.5.4260,Tb927.5.440,Tb927.5.500,Tb927.5.740,Tb927.5.930,Tb927.6.1410,Tb927.6.1470,Tb927.6.1520,Tb927.6.1570,Tb927.6.160,Tb927.6.200,Tb927.6.220,Tb927.6.2390,Tb927.6.2530,Tb927.6.2540,Tb927.6.2790,Tb927.6.3140,Tb927.6.430,Tb927.6.4320,Tb927.6.450,Tb927.6.480,Tb927.6.520,Tb927.6.560,Tb927.6.760,Tb927.6.790,Tb927.6.800,Tb927.7.1120,Tb927.7.1130,Tb927.7.1140,Tb927.7.1790,Tb927.7.2660,Tb927.7.2680,Tb927.7.2700,Tb927.7.300,Tb927.7.3450,Tb927.7.3500,Tb927.7.3970,Tb927.7.4270,Tb927.7.4570,Tb927.7.4920,Tb927.7.5060,Tb927.7.5170,Tb927.7.5280,Tb927.7.5340,Tb927.7.5400,Tb927.7.5480,Tb927.7.5930,Tb927.7.5940,Tb927.7.5960,Tb927.7.5970,Tb927.7.5980,Tb927.7.5990,Tb927.7.6000,Tb927.7.6110,Tb927.7.6220,Tb927.7.6440,Tb927.7.6490,Tb927.7.6570,Tb927.7.6850,Tb927.7.7090,Tb927.7.7320,Tb927.7.7470,Tb927.7.7530,Tb927.8.1650,Tb927.8.1890,Tb927.8.2070,Tb927.8.2160,Tb927.8.2210,Tb927.8.2470,Tb927.8.2540,Tb927.8.2770,Tb927.8.2970,Tb927.8.3060,Tb927.8.3240,Tb927.8.3620,Tb927.8.3650,Tb927.8.3720,Tb927.8.3730,Tb927.8.4010,Tb927.8.4060,Tb927.8.4250,Tb927.8.510,Tb927.8.5120,Tb927.8.5260,Tb927.8.5360,Tb927.8.5480,Tb927.8.550,Tb927.8.6060,Tb927.8.6110,Tb927.8.6170,Tb927.8.6520,Tb927.8.6630,Tb927.8.6640,Tb927.8.6930,Tb927.8.7150,Tb927.8.7280,Tb927.8.7430,Tb927.8.7600,Tb927.8.7610,Tb927.8.7650,Tb927.8.7680,Tb927.8.7740,Tb927.8.8030,Tb927.8.8190,Tb927.8.8300,Tb927.8.920,Tb927.8.930,Tb927.8.970,Tb927.9.10250,Tb927.9.10530,Tb927.9.10950,Tb927.9.11480,Tb927.9.11600,Tb927.9.11640,Tb927.9.11720,Tb927.9.12040,Tb927.9.12300,Tb927.9.12450,Tb927.9.12500,Tb927.9.12820,Tb927.9.12980,Tb927.9.13200,Tb927.9.13650,Tb927.9.14000,Tb927.9.14160,Tb927.9.15460,Tb927.9.15510,Tb927.9.15530,Tb927.9.15540,Tb927.9.15560,Tb927.9.15570,Tb927.9.15580,Tb927.9.15590,Tb927.9.15600,Tb927.9.15610,Tb927.9.15620,Tb927.9.15630,Tb927.9.15640,Tb927.9.15660,Tb927.9.1650,Tb927.9.2320,Tb927.9.2700,Tb927.9.3120,Tb927.9.3170,Tb927.9.4550,Tb927.9.4950,Tb927.9.5040,Tb927.9.6290,Tb927.9.6310,Tb927.9.7470,Tb927.9.7830,Tb927.9.8030,Tb927.9.8570,Tb927.9.9300,Tb927.9.9370,	6.3	1.11	2.34	2.15953878658e-08	7.59437806612e-07	4.55662683967e-06
GO:0071944	cell periphery	164	27	Tb927.1.2230,Tb927.1.2260,Tb927.10.10360,Tb927.10.14170,Tb927.10.14760,Tb927.11.1830,Tb927.11.2410,Tb927.11.3610,Tb927.11.3620,Tb927.11.4430,Tb927.2.3270,Tb927.2.3320,Tb927.5.440,Tb927.6.1520,Tb927.7.3450,Tb927.7.4270,Tb927.7.5400,Tb927.7.5930,Tb927.7.5940,Tb927.8.1650,Tb927.8.2070,Tb927.8.2160,Tb927.8.3060,Tb927.8.3620,Tb927.8.8300,Tb927.9.15460,Tb927.9.6310,	16.5	2.91	3.44	4.14151730605e-07	1.22585533289e-05	8.73860151576e-05
GO:0005886	plasma membrane	126	23	Tb927.1.2230,Tb927.1.2260,Tb927.10.14170,Tb927.10.14760,Tb927.11.1830,Tb927.11.2410,Tb927.11.3610,Tb927.11.3620,Tb927.11.4430,Tb927.2.3270,Tb927.2.3320,Tb927.5.440,Tb927.6.1520,Tb927.7.4270,Tb927.7.5930,Tb927.7.5940,Tb927.8.1650,Tb927.8.2070,Tb927.8.2160,Tb927.8.3620,Tb927.8.8300,Tb927.9.15460,Tb927.9.6310,	18.3	3.23	3.87	4.64779273134e-07	1.22585533289e-05	9.80684266314e-05
GO:0020015	glycosome	166	24	Tb927.1.3830,Tb927.1.4490,Tb927.1.700,Tb927.10.15410,Tb927.10.2540,Tb927.10.5760,Tb927.11.1020,Tb927.11.6280,Tb927.11.900,Tb927.2.4210,Tb927.3.2960,Tb927.3.4500,Tb927.3.4650,Tb927.4.1360,Tb927.5.930,Tb927.6.2540,Tb927.7.1130,Tb927.7.1140,Tb927.7.1790,Tb927.7.4570,Tb927.8.6170,Tb927.9.11600,Tb927.9.11640,Tb927.9.6290,	14.5	2.56	2.92	1.84403844047e-05	0.00043232456771	0.00389092110939
GO:0042579	microbody	170	24	Tb927.1.3830,Tb927.1.4490,Tb927.1.700,Tb927.10.15410,Tb927.10.2540,Tb927.10.5760,Tb927.11.1020,Tb927.11.6280,Tb927.11.900,Tb927.2.4210,Tb927.3.2960,Tb927.3.4500,Tb927.3.4650,Tb927.4.1360,Tb927.5.930,Tb927.6.2540,Tb927.7.1130,Tb927.7.1140,Tb927.7.1790,Tb927.7.4570,Tb927.8.6170,Tb927.9.11600,Tb927.9.11640,Tb927.9.6290,	14.1	2.5	2.84	2.75969444618e-05	0.000529359571039	0.00582295528143
