ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0044281	small molecule metabolic process	364	43	Tb927.1.1270,Tb927.1.3830,Tb927.1.700,Tb927.10.11700,Tb927.10.11930,Tb927.10.1400,Tb927.10.1470,Tb927.10.1500,Tb927.10.15910,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2430,Tb927.10.2560,Tb927.10.2890,Tb927.10.4280,Tb927.10.7570,Tb927.10.880,Tb927.11.15530,Tb927.11.17040,Tb927.11.3650,Tb927.11.4700,Tb927.11.5090,Tb927.11.8970,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.2740,Tb927.6.430,Tb927.7.1110,Tb927.7.4390,Tb927.7.7530,Tb927.8.3380,Tb927.8.6060,Tb927.8.6580,	11.8	2.34	2.7	1.21358930136e-07	6.08132253564e-05	7.9368740309e-05
GO:0009117	nucleotide metabolic process	179	27	Tb927.1.3830,Tb927.1.700,Tb927.10.11700,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2430,Tb927.10.2890,Tb927.10.4280,Tb927.10.7570,Tb927.10.880,Tb927.11.17040,Tb927.11.3650,Tb927.11.8970,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.430,Tb927.7.7530,	15.1	2.99	3.51	2.63814330568e-07	6.08132253564e-05	0.000172534572192
GO:0006753	nucleoside phosphate metabolic process	180	27	Tb927.1.3830,Tb927.1.700,Tb927.10.11700,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2430,Tb927.10.2890,Tb927.10.4280,Tb927.10.7570,Tb927.10.880,Tb927.11.17040,Tb927.11.3650,Tb927.11.8970,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.430,Tb927.7.7530,	15.0	2.97	3.49	2.96146877542e-07	6.08132253564e-05	0.000193680057912
GO:0009165	nucleotide biosynthetic process	151	24	Tb927.1.3830,Tb927.1.700,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2430,Tb927.10.2890,Tb927.10.7570,Tb927.10.880,Tb927.11.17040,Tb927.11.3650,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.430,Tb927.7.7530,	15.9	3.15	3.72	4.64932915569e-07	6.08132253564e-05	0.000304066126782
GO:1901293	nucleoside phosphate biosynthetic process	151	24	Tb927.1.3830,Tb927.1.700,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2430,Tb927.10.2890,Tb927.10.7570,Tb927.10.880,Tb927.11.17040,Tb927.11.3650,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.430,Tb927.7.7530,	15.9	3.15	3.72	4.64932915569e-07	6.08132253564e-05	0.000304066126782
GO:0055086	nucleobase-containing small molecule metabolic process	214	29	Tb927.1.3830,Tb927.1.700,Tb927.10.11700,Tb927.10.1400,Tb927.10.1470,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2430,Tb927.10.2890,Tb927.10.4280,Tb927.10.7570,Tb927.10.880,Tb927.11.17040,Tb927.11.3650,Tb927.11.8970,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.430,Tb927.7.7530,	13.6	2.68	3.1	9.58678956862e-07	0.000104496006298	0.000626976037788
GO:0090407	organophosphate biosynthetic process	219	29	Tb927.1.3830,Tb927.1.700,Tb927.10.15910,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2430,Tb927.10.2890,Tb927.10.4780,Tb927.10.7570,Tb927.10.880,Tb927.11.17040,Tb927.11.3650,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1140,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.2740,Tb927.6.430,Tb927.7.300,Tb927.7.7530,	13.2	2.62	3.02	1.55355189668e-06	0.000145146134347	0.00101602294043
GO:0019637	organophosphate metabolic process	273	33	Tb927.1.3830,Tb927.1.700,Tb927.10.11700,Tb927.10.15910,Tb927.10.16000,Tb927.10.16190,Tb927.10.2010,Tb927.10.2430,Tb927.10.2890,Tb927.10.4280,Tb927.10.4780,Tb927.10.7570,Tb927.10.880,Tb927.11.17040,Tb927.11.3650,Tb927.11.8970,Tb927.3.3270,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1140,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.2740,Tb927.6.430,Tb927.7.300,Tb927.7.7530,Tb927.8.3530,	12.1	2.39	2.73	2.33918665909e-06	0.000168212524355	0.00152982807505
GO:0009187	cyclic nucleotide metabolic process	82	16	Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.11.17040,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.430,Tb927.7.7530,	19.5	3.86	4.71	2.57205694733e-06	0.000168212524355	0.00168212524355
GO:0009190	cyclic nucleotide biosynthetic process	82	16	Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.11.17040,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.430,Tb927.7.7530,	19.5	3.86	4.71	2.57205694733e-06	0.000168212524355	0.00168212524355
