ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0009986	cell surface	35	18	Tb927.10.10250,Tb927.10.10260,Tb927.6.480,Tb927.6.520,Tb927.7.4260,Tb927.7.6570,Tb927.8.1650,Tb927.9.15530,Tb927.9.15540,Tb927.9.15560,Tb927.9.15570,Tb927.9.15580,Tb927.9.15590,Tb927.9.15600,Tb927.9.15610,Tb927.9.15620,Tb927.9.15630,Tb927.9.15640,	51.4	10.18	20.81	6.46051122107e-15	1.3179442891e-12	1.3179442891e-12
GO:0016020	membrane	1039	98	Tb927.1.2160,Tb927.1.2260,Tb927.1.4100,Tb927.1.4420,Tb927.1.4870,Tb927.1.4900,Tb927.1.5100,Tb927.1.5120,Tb927.1.580,Tb927.1.600,Tb927.10.10250,Tb927.10.10260,Tb927.10.16190,Tb927.10.2410,Tb927.10.2430,Tb927.10.2560,Tb927.10.3040,Tb927.10.4280,Tb927.10.7090,Tb927.10.7140,Tb927.10.7180,Tb927.10.7570,Tb927.10.8440,Tb927.10.9080,Tb927.11.14620,Tb927.11.15240,Tb927.11.15530,Tb927.11.5350,Tb927.11.6640,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.2.3320,Tb927.2.4700,Tb927.2.4760,Tb927.2.4920,Tb927.2.5290,Tb927.2.5300,Tb927.2.5310,Tb927.2.5320,Tb927.2.5330,Tb927.2.5350,Tb927.2.5360,Tb927.2.5530,Tb927.2.5980,Tb927.3.1500,Tb927.3.1510,Tb927.3.1790,Tb927.3.3730,Tb927.3.590,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.1550,Tb927.5.320,Tb927.5.390,Tb927.5.4540,Tb927.5.4550,Tb927.5.510,Tb927.5.650,Tb927.5.900,Tb927.6.1410,Tb927.6.1520,Tb927.6.190,Tb927.6.220,Tb927.6.2490,Tb927.6.2540,Tb927.6.430,Tb927.6.480,Tb927.6.520,Tb927.7.3520,Tb927.7.4260,Tb927.7.5060,Tb927.7.5960,Tb927.7.5980,Tb927.7.6000,Tb927.7.6150,Tb927.7.6440,Tb927.7.7530,Tb927.8.1650,Tb927.8.1870,Tb927.8.1890,Tb927.8.2160,Tb927.8.2770,Tb927.8.3620,Tb927.8.3630,Tb927.8.6580,Tb927.8.7640,Tb927.8.8360,Tb927.9.11600,Tb927.9.14160,Tb927.9.15460,Tb927.9.6210,Tb927.9.7470,Tb927.9.9750,	9.4	1.87	2.28	1.61051584785e-10	1.64272616481e-08	3.28545232961e-08
GO:0031224	intrinsic component of membrane	593	60	Tb927.1.4420,Tb927.1.4870,Tb927.1.4900,Tb927.1.5100,Tb927.1.5120,Tb927.10.16190,Tb927.10.2430,Tb927.10.7140,Tb927.10.7180,Tb927.10.8440,Tb927.10.9080,Tb927.11.14620,Tb927.11.15530,Tb927.11.5350,Tb927.11.6640,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.2.4760,Tb927.2.4920,Tb927.2.5290,Tb927.2.5300,Tb927.2.5310,Tb927.2.5320,Tb927.2.5330,Tb927.2.5350,Tb927.2.5360,Tb927.3.1500,Tb927.3.1510,Tb927.3.3730,Tb927.3.590,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.220,Tb927.6.430,Tb927.6.480,Tb927.6.520,Tb927.7.5960,Tb927.7.5980,Tb927.7.6000,Tb927.7.6150,Tb927.7.7530,Tb927.8.1650,Tb927.8.2160,Tb927.8.3620,Tb927.8.3630,Tb927.8.8360,Tb927.9.11600,Tb927.9.15460,Tb927.9.7470,Tb927.9.9750,	10.1	2.0	2.32	1.03608266484e-07	5.28402159068e-06	2.11360863627e-05
GO:0016021	integral component of membrane	593	60	Tb927.1.4420,Tb927.1.4870,Tb927.1.4900,Tb927.1.5100,Tb927.1.5120,Tb927.10.16190,Tb927.10.2430,Tb927.10.7140,Tb927.10.7180,Tb927.10.8440,Tb927.10.9080,Tb927.11.14620,Tb927.11.15530,Tb927.11.5350,Tb927.11.6640,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.2.4760,Tb927.2.4920,Tb927.2.5290,Tb927.2.5300,Tb927.2.5310,Tb927.2.5320,Tb927.2.5330,Tb927.2.5350,Tb927.2.5360,Tb927.3.1500,Tb927.3.1510,Tb927.3.3730,Tb927.3.590,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.220,Tb927.6.430,Tb927.6.480,Tb927.6.520,Tb927.7.5960,Tb927.7.5980,Tb927.7.6000,Tb927.7.6150,Tb927.7.7530,Tb927.8.1650,Tb927.8.2160,Tb927.8.3620,Tb927.8.3630,Tb927.8.8360,Tb927.9.11600,Tb927.9.15460,Tb927.9.7470,Tb927.9.9750,	10.1	2.0	2.32	1.03608266484e-07	5.28402159068e-06	2.11360863627e-05
GO:0044425	membrane part	779	72	Tb927.1.2160,Tb927.1.2260,Tb927.1.4100,Tb927.1.4420,Tb927.1.4870,Tb927.1.4900,Tb927.1.5100,Tb927.1.5120,Tb927.10.16190,Tb927.10.2430,Tb927.10.4280,Tb927.10.7140,Tb927.10.7180,Tb927.10.8440,Tb927.10.9080,Tb927.11.14620,Tb927.11.15530,Tb927.11.5350,Tb927.11.6640,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.2.4760,Tb927.2.4920,Tb927.2.5290,Tb927.2.5300,Tb927.2.5310,Tb927.2.5320,Tb927.2.5330,Tb927.2.5350,Tb927.2.5360,Tb927.3.1500,Tb927.3.1510,Tb927.3.3730,Tb927.3.590,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.1410,Tb927.6.190,Tb927.6.220,Tb927.6.2490,Tb927.6.430,Tb927.6.480,Tb927.6.520,Tb927.7.4260,Tb927.7.5960,Tb927.7.5980,Tb927.7.6000,Tb927.7.6150,Tb927.7.6440,Tb927.7.7530,Tb927.8.1650,Tb927.8.1890,Tb927.8.2160,Tb927.8.3620,Tb927.8.3630,Tb927.8.6580,Tb927.8.8360,Tb927.9.11600,Tb927.9.14160,Tb927.9.15460,Tb927.9.6210,Tb927.9.7470,Tb927.9.9750,	9.2	1.83	2.12	1.83711301148e-07	7.49542108685e-06	3.74771054342e-05
GO:0005575	cellular component	6378	355	Tb927.1.1100,Tb927.1.1270,Tb927.1.1470,Tb927.1.2150,Tb927.1.2160,Tb927.1.2260,Tb927.1.3150,Tb927.1.3390,Tb927.1.3830,Tb927.1.4100,Tb927.1.420,Tb927.1.4420,Tb927.1.4650,Tb927.1.4870,Tb927.1.4900,Tb927.1.5100,Tb927.1.5120,Tb927.1.580,Tb927.1.600,Tb927.1.70,Tb927.1.700,Tb927.1.800,Tb927.10.10250,Tb927.10.10260,Tb927.10.10360,Tb927.10.1050,Tb927.10.10770,Tb927.10.10820,Tb927.10.11700,Tb927.10.11920,Tb927.10.11930,Tb927.10.12010,Tb927.10.12160,Tb927.10.12700,Tb927.10.12750,Tb927.10.13400,Tb927.10.13700,Tb927.10.1400,Tb927.10.14230,Tb927.10.14330,Tb927.10.14500,Tb927.10.14600,Tb927.10.1470,Tb927.10.14890,Tb927.10.1500,Tb927.10.15730,Tb927.10.15910,Tb927.10.16000,Tb927.10.16190,Tb927.10.1850,Tb927.10.190,Tb927.10.1900,Tb927.10.2010,Tb927.10.2410,Tb927.10.2420,Tb927.10.2430,Tb927.10.2560,Tb927.10.260,Tb927.10.2890,Tb927.10.3040,Tb927.10.3110,Tb927.10.3360,Tb927.10.3620,Tb927.10.4280,Tb927.10.4420,Tb927.10.4580,Tb927.10.4780,Tb927.10.4880,Tb927.10.5160,Tb927.10.5190,Tb927.10.5330,Tb927.10.5350,Tb927.10.6200,Tb927.10.6330,Tb927.10.6720,Tb927.10.7000,Tb927.10.7090,Tb927.10.7140,Tb927.10.7180,Tb927.10.7270,Tb927.10.7570,Tb927.10.7590,Tb927.10.8320,Tb927.10.8440,Tb927.10.8770,Tb927.10.880,Tb927.10.890,Tb927.10.9080,Tb927.11.10040,Tb927.11.10670,Tb927.11.12320,Tb927.11.1370,Tb927.11.14330,Tb927.11.14620,Tb927.11.14860,Tb927.11.14970,Tb927.11.15230,Tb927.11.15240,Tb927.11.15270,Tb927.11.15410,Tb927.11.15530,Tb927.11.15660,Tb927.11.15910,Tb927.11.16200,Tb927.11.16430,Tb927.11.16720,Tb927.11.16740,Tb927.11.2710,Tb927.11.2810,Tb927.11.2930,Tb927.11.3080,Tb927.11.3250,Tb927.11.340,Tb927.11.3650,Tb927.11.3980,Tb927.11.4180,Tb927.11.4750,Tb927.11.4760,Tb927.11.5090,Tb927.11.5210,Tb927.11.5350,Tb927.11.5410,Tb927.11.5660,Tb927.11.5720,Tb927.11.5790,Tb927.11.6210,Tb927.11.6350,Tb927.11.6440,Tb927.11.6640,Tb927.11.6920,Tb927.11.7060,Tb927.11.7130,Tb927.11.8090,Tb927.11.8160,Tb927.11.8210,Tb927.11.8970,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.11.9090,Tb927.11.9250,Tb927.11.9540,Tb927.11.9700,Tb927.2.1080,Tb927.2.1170,Tb927.2.1330,Tb927.2.240,Tb927.2.2510,Tb927.2.3320,Tb927.2.4580,Tb927.2.4700,Tb927.2.4760,Tb927.2.4920,Tb927.2.5290,Tb927.2.5300,Tb927.2.5310,Tb927.2.5320,Tb927.2.5330,Tb927.2.5350,Tb927.2.5360,Tb927.2.5530,Tb927.2.5980,Tb927.3.1400,Tb927.3.1410,Tb927.3.1500,Tb927.3.1510,Tb927.3.1790,Tb927.3.2050,Tb927.3.2360,Tb927.3.2600,Tb927.3.2790,Tb927.3.2920,Tb927.3.3270,Tb927.3.3330,Tb927.3.3340,Tb927.3.3700,Tb927.3.3730,Tb927.3.3780,Tb927.3.4070,Tb927.3.4100,Tb927.3.4110,Tb927.3.590,Tb927.3.600,Tb927.3.700,Tb927.4.1230,Tb927.4.1330,Tb927.4.2400,Tb927.4.2750,Tb927.4.2800,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.4.3910,Tb927.4.3940,Tb927.4.4130,Tb927.4.4180,Tb927.4.4320,Tb927.4.4500,Tb927.4.4620,Tb927.4.500,Tb927.5.1060,Tb927.5.1140,Tb927.5.1550,Tb927.5.287b,Tb927.5.320,Tb927.5.3260,Tb927.5.390,Tb927.5.4010,Tb927.5.4020,Tb927.5.410,Tb927.5.4540,Tb927.5.4550,Tb927.5.510,Tb927.5.650,Tb927.5.900,Tb927.6.1410,Tb927.6.1520,Tb927.6.1570,Tb927.6.160,Tb927.6.1640,Tb927.6.190,Tb927.6.220,Tb927.6.2490,Tb927.6.2530,Tb927.6.2540,Tb927.6.2740,Tb927.6.2790,Tb927.6.3140,Tb927.6.430,Tb927.6.4320,Tb927.6.480,Tb927.6.5010,Tb927.6.520,Tb927.6.560,Tb927.6.850,Tb927.7.1050,Tb927.7.1110,Tb927.7.1120,Tb927.7.1730,Tb927.7.2200,Tb927.7.2340,Tb927.7.2680,Tb927.7.300,Tb927.7.3160,Tb927.7.3450,Tb927.7.3500,Tb927.7.3520,Tb927.7.3590,Tb927.7.3830,Tb927.7.4260,Tb927.7.4280,Tb927.7.4390,Tb927.7.4440,Tb927.7.4540,Tb927.7.4920,Tb927.7.5000,Tb927.7.5060,Tb927.7.5170,Tb927.7.5180,Tb927.7.5320,Tb927.7.5340,Tb927.7.5780,Tb927.7.5960,Tb927.7.5980,Tb927.7.6000,Tb927.7.6150,Tb927.7.6310,Tb927.7.6440,Tb927.7.6490,Tb927.7.6570,Tb927.7.6920,Tb927.7.7090,Tb927.7.7200,Tb927.7.7320,Tb927.7.750,Tb927.7.7500,Tb927.7.7530,Tb927.8.1650,Tb927.8.1870,Tb927.8.1890,Tb927.8.2160,Tb927.8.2210,Tb927.8.2470,Tb927.8.2550,Tb927.8.2770,Tb927.8.3530,Tb927.8.3620,Tb927.8.3630,Tb927.8.3720,Tb927.8.3730,Tb927.8.4240,Tb927.8.4520,Tb927.8.5120,Tb927.8.5480,Tb927.8.550,Tb927.8.5640,Tb927.8.5870,Tb927.8.6060,Tb927.8.6390,Tb927.8.6500,Tb927.8.6580,Tb927.8.7260,Tb927.8.7500,Tb927.8.7610,Tb927.8.7640,Tb927.8.7650,Tb927.8.7740,Tb927.8.8190,Tb927.8.8360,Tb927.8.970,Tb927.9.10950,Tb927.9.11380,Tb927.9.11600,Tb927.9.12040,Tb927.9.12300,Tb927.9.12390,Tb927.9.12700,Tb927.9.12820,Tb927.9.13200,Tb927.9.13440,Tb927.9.14000,Tb927.9.14160,Tb927.9.15460,Tb927.9.15470,Tb927.9.15530,Tb927.9.15540,Tb927.9.15560,Tb927.9.15570,Tb927.9.15580,Tb927.9.15590,Tb927.9.15600,Tb927.9.15610,Tb927.9.15620,Tb927.9.15630,Tb927.9.15640,Tb927.9.1680,Tb927.9.1960,Tb927.9.3100,Tb927.9.3170,Tb927.9.4950,Tb927.9.4960,Tb927.9.5040,Tb927.9.5590,Tb927.9.5960,Tb927.9.6210,Tb927.9.6250,Tb927.9.6290,Tb927.9.7470,Tb927.9.7770,Tb927.9.8760,Tb927.9.9370,Tb927.9.9730,Tb927.9.9750,	5.6	1.1	2.11	1.66828103045e-06	5.67215550352e-05	0.000340329330211
GO:0070469	respiratory chain	20	6	Tb927.1.4100,Tb927.10.4280,Tb927.6.2490,Tb927.8.1890,Tb927.8.6580,Tb927.9.14160,	30.0	5.94	8.16	0.00033861649564	0.00986825215866	0.0690777651106
GO:0005746	mitochondrial respiratory chain	16	5	Tb927.1.4100,Tb927.10.4280,Tb927.6.2490,Tb927.8.1890,Tb927.8.6580,	31.3	6.19	8.64	0.000881771073766	0.022440658561	0.179881299048
GO:1990204	oxidoreductase complex	24	6	Tb927.10.4280,Tb927.10.7570,Tb927.6.2490,Tb927.8.3530,Tb927.8.6580,Tb927.9.14160,	25.0	4.95	6.35	0.000990029054163	0.022440658561	0.201965927049
GO:0020015	glycosome	166	18	Tb927.1.3830,Tb927.1.700,Tb927.10.1400,Tb927.10.1470,Tb927.10.2010,Tb927.11.15910,Tb927.11.3650,Tb927.11.8970,Tb927.3.3270,Tb927.6.2540,Tb927.7.7500,Tb927.8.3530,Tb927.8.6390,Tb927.9.11600,Tb927.9.12700,Tb927.9.6210,Tb927.9.6250,Tb927.9.6290,	10.8	2.15	2.35	0.00173676705621	0.0231306718233	0.354300479467
