ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0004016	adenylate cyclase activity	57	16	Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.11.17040,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.430,Tb927.7.7530,Tb927.8.8360,	28.1	5.56	7.6	1.14402946913e-08	2.04781274974e-06	4.09562549949e-06
GO:0009975	cyclase activity	57	16	Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.11.17040,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.430,Tb927.7.7530,Tb927.8.8360,	28.1	5.56	7.6	1.14402946913e-08	2.04781274974e-06	4.09562549949e-06
GO:0022857	transmembrane transporter activity	214	30	Tb927.1.4100,Tb927.1.4420,Tb927.1.580,Tb927.1.600,Tb927.10.8440,Tb927.10.9080,Tb927.11.15230,Tb927.11.5350,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.3.590,Tb927.4.4730,Tb927.4.4860,Tb927.6.1520,Tb927.6.220,Tb927.8.2160,Tb927.8.2770,Tb927.8.3620,Tb927.8.3630,Tb927.8.7610,Tb927.8.7620,Tb927.8.7630,Tb927.8.7640,Tb927.8.7650,Tb927.8.7740,Tb927.9.15460,Tb927.9.7470,	14.0	2.77	3.23	2.93729073172e-07	3.50516693985e-05	0.000105155008196
GO:0005215	transporter activity	221	30	Tb927.1.4100,Tb927.1.4420,Tb927.1.580,Tb927.1.600,Tb927.10.8440,Tb927.10.9080,Tb927.11.15230,Tb927.11.5350,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.3.590,Tb927.4.4730,Tb927.4.4860,Tb927.6.1520,Tb927.6.220,Tb927.8.2160,Tb927.8.2770,Tb927.8.3620,Tb927.8.3630,Tb927.8.7610,Tb927.8.7620,Tb927.8.7630,Tb927.8.7640,Tb927.8.7650,Tb927.8.7740,Tb927.9.15460,Tb927.9.7470,	13.6	2.69	3.11	5.96377642783e-07	4.34402142486e-05	0.000213503196116
GO:0016849	phosphorus-oxygen lyase activity	83	17	Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.11.17040,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.430,Tb927.7.7530,Tb927.8.8360,	20.5	4.05	5.01	6.06706902913e-07	4.34402142486e-05	0.000217201071243
GO:0016829	lyase activity	124	19	Tb927.10.16000,Tb927.10.16190,Tb927.10.2430,Tb927.10.2890,Tb927.11.17040,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.5.285b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.6.190,Tb927.6.430,Tb927.7.4390,Tb927.7.7530,Tb927.8.8360,	15.3	3.03	3.52	1.28044277324e-05	0.000763997521368	0.00458398512821
GO:0016775	phosphotransferase activity, nitrogenous group as acceptor	3	3	Tb927.9.6210,Tb927.9.6250,Tb927.9.6290,	100.0	19.79	inf	0.000128012260179	0.005728548643	0.045828389144
GO:0004054	arginine kinase activity	3	3	Tb927.9.6210,Tb927.9.6250,Tb927.9.6290,	100.0	19.79	inf	0.000128012260179	0.005728548643	0.045828389144
GO:0016491	oxidoreductase activity	229	25	Tb927.1.4100,Tb927.10.11930,Tb927.10.12700,Tb927.10.2560,Tb927.10.7090,Tb927.10.7570,Tb927.11.1370,Tb927.11.15530,Tb927.11.15910,Tb927.11.4700,Tb927.11.6210,Tb927.11.6640,Tb927.2.6180,Tb927.6.1570,Tb927.7.1120,Tb927.7.3500,Tb927.7.7500,Tb927.8.1890,Tb927.8.2210,Tb927.8.3380,Tb927.8.3530,Tb927.8.5120,Tb927.8.550,Tb927.8.6580,Tb927.9.14160,	10.9	2.16	2.39	0.000213169929806	0.00847942609674	0.0763148348707
GO:0009055	electron transfer activity	28	7	Tb927.1.4100,Tb927.11.1370,Tb927.7.3500,Tb927.8.1890,Tb927.8.3380,Tb927.8.5120,Tb927.9.14160,	25.0	4.95	6.36	0.000374073536709	0.0124850347896	0.133918326142
GO:0015318	inorganic molecular entity transmembrane transporter activity	76	12	Tb927.1.4100,Tb927.1.580,Tb927.1.600,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.6.1520,Tb927.6.220,Tb927.8.2770,Tb927.9.15460,	15.8	3.13	3.6	0.000383618387388	0.0124850347896	0.137335382685
GO:0019202	amino acid kinase activity	4	3	Tb927.9.6210,Tb927.9.6250,Tb927.9.6290,	75.0	14.85	56.81	0.000492787936752	0.0147015067798	0.176418081357
GO:0005275	amine transmembrane transporter activity	39	8	Tb927.4.4730,Tb927.4.4860,Tb927.8.7610,Tb927.8.7620,Tb927.8.7630,Tb927.8.7640,Tb927.8.7650,Tb927.8.7740,	20.5	4.06	4.93	0.000610362884323	0.0168084548144	0.218509912588
GO:0046873	metal ion transmembrane transporter activity	27	6	Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.8.2770,Tb927.9.15460,	22.2	4.4	5.44	0.00191463540603	0.0489599625255	0.685439475358
GO:0005315	inorganic phosphate transmembrane transporter activity	2	2	Tb927.1.580,Tb927.1.600,	100.0	19.79	inf	0.00254616712897	0.0580300692638	0.911527832172
GO:0048037	cofactor binding	119	14	Tb927.11.5090,Tb927.11.6210,Tb927.6.1570,Tb927.6.2790,Tb927.7.4440,Tb927.8.1890,Tb927.8.3380,Tb927.8.3530,Tb927.8.5120,Tb927.8.6060,Tb927.8.6580,Tb927.9.14160,Tb927.9.4950,Tb927.9.5960,	11.8	2.33	2.56	0.00259352264866	0.0580300692638	0.928481108222
GO:0003824	catalytic activity	1989	124	Tb927.1.1270,Tb927.1.3830,Tb927.1.4100,Tb927.1.4420,Tb927.1.700,Tb927.10.1050,Tb927.10.11700,Tb927.10.11930,Tb927.10.12700,Tb927.10.1400,Tb927.10.1470,Tb927.10.14890,Tb927.10.1500,Tb927.10.15910,Tb927.10.16000,Tb927.10.16190,Tb927.10.1900,Tb927.10.2010,Tb927.10.2410,Tb927.10.2430,Tb927.10.2560,Tb927.10.2890,Tb927.10.3110,Tb927.10.4780,Tb927.10.5350,Tb927.10.7090,Tb927.10.7140,Tb927.10.7570,Tb927.10.880,Tb927.10.890,Tb927.11.10670,Tb927.11.1180,Tb927.11.1370,Tb927.11.14330,Tb927.11.15240,Tb927.11.15270,Tb927.11.15530,Tb927.11.15910,Tb927.11.17040,Tb927.11.3250,Tb927.11.3650,Tb927.11.3980,Tb927.11.4700,Tb927.11.5090,Tb927.11.6210,Tb927.11.6350,Tb927.11.6640,Tb927.11.6990,Tb927.11.7060,Tb927.11.8090,Tb927.11.8160,Tb927.11.8210,Tb927.11.8970,Tb927.2.2340,Tb927.2.5980,Tb927.2.6180,Tb927.3.1400,Tb927.3.1790,Tb927.3.3270,Tb927.3.3340,Tb927.3.3730,Tb927.4.1330,Tb927.4.3750,Tb927.4.3860,Tb927.4.3870,Tb927.4.3880,Tb927.4.3910,Tb927.4.3940,Tb927.4.5310,Tb927.5.1060,Tb927.5.1140,Tb927.5.285b,Tb927.5.287b,Tb927.5.320,Tb927.5.4540,Tb927.5.4550,Tb927.5.650,Tb927.5.900,Tb927.6.1570,Tb927.6.1640,Tb927.6.190,Tb927.6.2740,Tb927.6.2790,Tb927.6.430,Tb927.6.560,Tb927.7.1110,Tb927.7.1120,Tb927.7.300,Tb927.7.3160,Tb927.7.3500,Tb927.7.3830,Tb927.7.4390,Tb927.7.4440,Tb927.7.4480,Tb927.7.6310,Tb927.7.7500,Tb927.7.7530,Tb927.8.1890,Tb927.8.2160,Tb927.8.2210,Tb927.8.2550,Tb927.8.3380,Tb927.8.3530,Tb927.8.5120,Tb927.8.550,Tb927.8.6060,Tb927.8.6090,Tb927.8.6390,Tb927.8.6580,Tb927.8.8360,Tb927.9.12040,Tb927.9.12700,Tb927.9.12820,Tb927.9.14160,Tb927.9.15460,Tb927.9.15470,Tb927.9.1680,Tb927.9.4950,Tb927.9.5040,Tb927.9.5590,Tb927.9.6210,Tb927.9.6250,Tb927.9.6290,Tb927.9.7770,	6.2	1.23	1.36	0.00366556356596	0.0724602270575	1.0
GO:0051185	coenzyme transmembrane transporter activity	7	3	Tb927.10.9080,Tb927.8.3620,Tb927.8.3630,	42.9	8.48	14.2	0.00384565450864	0.0724602270575	1.0
GO:0015224	biopterin transmembrane transporter activity	7	3	Tb927.10.9080,Tb927.8.3620,Tb927.8.3630,	42.9	8.48	14.2	0.00384565450864	0.0724602270575	1.0
GO:0015075	ion transmembrane transporter activity	88	11	Tb927.1.4100,Tb927.1.580,Tb927.1.600,Tb927.11.9000,Tb927.11.9010,Tb927.11.9020,Tb927.11.9030,Tb927.2.2510,Tb927.6.220,Tb927.8.2770,Tb927.9.15460,	12.5	2.47	2.73	0.00456270185795	0.0816723632574	1.0
GO:0003916	DNA topoisomerase activity	8	3	Tb927.10.1900,Tb927.4.1330,Tb927.9.5590,	37.5	7.42	11.36	0.00592394674361	0.100989187343	1.0
GO:0015114	phosphate ion transmembrane transporter activity	3	2	Tb927.1.580,Tb927.1.600,	66.7	13.2	37.77	0.00738247686641	0.109393717172	1.0
GO:0004422	hypoxanthine phosphoribosyltransferase activity	3	2	Tb927.10.1400,Tb927.10.1470,	66.7	13.2	37.77	0.00738247686641	0.109393717172	1.0
GO:0051184	cofactor transmembrane transporter activity	9	3	Tb927.10.9080,Tb927.8.3620,Tb927.8.3630,	33.3	6.6	9.46	0.00855593318667	0.109393717172	1.0
GO:0015103	inorganic anion transmembrane transporter activity	9	3	Tb927.1.580,Tb927.1.600,Tb927.2.2510,	33.3	6.6	9.46	0.00855593318667	0.109393717172	1.0
GO:0020037	heme binding	9	3	Tb927.11.6210,Tb927.8.1890,Tb927.8.5120,	33.3	6.6	9.46	0.00855593318667	0.109393717172	1.0
GO:0046906	tetrapyrrole binding	9	3	Tb927.11.6210,Tb927.8.1890,Tb927.8.5120,	33.3	6.6	9.46	0.00855593318667	0.109393717172	1.0
GO:0015144	carbohydrate transmembrane transporter activity	9	3	Tb927.10.8440,Tb927.11.5350,Tb927.6.1520,	33.3	6.6	9.46	0.00855593318667	0.109393717172	1.0
