"","x"
"1","Tb927.2.2440"
"2","Tb927.2.3460"
"3","Tb927.2.5750"
"4","Tb927.3.780"
"5","Tb927.4.5160"
"6","Tb927.6.140"
"7","Tb927.7.1470"
"8","Tb927.7.1480"
"9","Tb927.7.2160"
"10","Tb927.8.890"
"11","Tb927.8.1220"
"12","Tb927.8.3850"
"13","Tb927.9.2030"
"14","Tb927.9.9780"
"15","Tb927.9.15690"
"16","Tb927.10.2490"
"17","Tb927.10.7750"
"18","Tb927.10.11400"
"19","Tb927.10.12410"
"20","Tb927.11.8070"
"21","Tb927.11.12720"
"22","Tb927.11.16300"
"23","Tb927.1.420"
"24","Tb927.1.560"
"25","Tb927.1.1160"
"26","Tb927.1.2400"
"27","Tb927.1.2410"
"28","Tb927.1.3390"
"29","Tb927.2.240"
"30","Tb927.2.2180"
"31","Tb927.2.2540"
"32","Tb927.2.5000"
"33","Tb927.2.5260"
"34","Tb927.2.5280"
"35","Tb927.2.5350"
"36","Tb927.3.1160"
"37","Tb927.3.1250"
"38","Tb927.3.1540"
"39","Tb927.3.1680"
"40","Tb927.3.2830"
"41","Tb927.3.2900"
"42","Tb927.3.3970"
"43","Tb927.3.4200"
"44","Tb927.3.5130"
"45","Tb927.3.5180"
"46","Tb927.3.5200"
"47","Tb927.3.5430"
"48","Tb927.4.680"
"49","Tb927.4.750"
"50","Tb927.4.860"
"51","Tb927.4.920"
"52","Tb927.4.970"
"53","Tb927.4.990"
"54","Tb927.4.1270"
"55","Tb927.4.1440"
"56","Tb927.4.1900"
"57","Tb927.4.2260"
"58","Tb927.4.2290"
"59","Tb927.4.3110"
"60","Tb927.4.3150"
"61","Tb927.4.3360"
"62","Tb927.4.3670"
"63","Tb927.4.4330"
"64","Tb927.4.4650"
"65","Tb927.4.4670"
"66","Tb927.4.4910"
"67","Tb927.4.4950"
"68","Tb927.4.5440"
"69","Tb927.5.600"
"70","Tb927.5.830"
"71","Tb927.5.1180"
"72","Tb927.5.1270"
"73","Tb927.5.1390"
"74","Tb927.5.1750"
"75","Tb927.5.2020"
"76","Tb927.5.2380"
"77","Tb927.5.2520"
"78","Tb927.5.2650"
"79","Tb927.5.2780"
"80","Tb927.5.3340"
"81","Tb927.5.3520"
"82","Tb927.5.3810"
"83","Tb927.5.3940"
"84","Tb927.5.4010"
"85","Tb927.5.4420"
"86","Tb927.6.670"
"87","Tb927.6.900"
"88","Tb927.6.1260"
"89","Tb927.6.1490"
"90","Tb927.6.1900"
"91","Tb927.6.2170"
"92","Tb927.6.2420"
"93","Tb927.6.2450"
"94","Tb927.6.2670"
"95","Tb927.6.2780"
"96","Tb927.6.2840"
"97","Tb927.6.2890"
"98","Tb927.6.2990"
"99","Tb927.6.3100"
"100","Tb927.6.3210"
"101","Tb927.6.3470"
"102","Tb927.6.3540"
"103","Tb927.6.3580"
"104","Tb927.6.4080"
"105","Tb927.6.4200"
"106","Tb927.6.4350"
"107","Tb927.6.5170"
"108","Tb927.7.270"
"109","Tb927.7.620"
"110","Tb927.7.2030"
"111","Tb927.7.2510"
"112","Tb927.7.2590"
"113","Tb927.7.3220"
"114","Tb927.7.3410"
"115","Tb927.7.4050"
"116","Tb927.7.4350"
"117","Tb927.7.4590"
"118","Tb927.7.4720"
"119","Tb927.7.4820"
"120","Tb927.7.5120"
"121","Tb927.7.5300"
"122","Tb927.7.5480"
"123","Tb927.7.5640"
"124","Tb927.7.5760"
"125","Tb927.7.5950"
"126","Tb927.7.6090"
"127","Tb927.7.6240"
"128","Tb927.7.6530"
"129","Tb927.7.6730"
"130","Tb927.8.630"
"131","Tb927.8.680"
"132","Tb927.8.1000"
"133","Tb927.8.1750"
"134","Tb927.8.1800"
"135","Tb927.8.1980"
"136","Tb927.8.2330"
"137","Tb927.8.2500"
"138","Tb927.8.3050"
"139","Tb927.8.3060"
"140","Tb927.8.3110"
"141","Tb927.8.3300"
"142","Tb927.8.3470"
"143","Tb927.8.3920"
"144","Tb927.8.4150"
"145","Tb927.8.4290"
"146","Tb927.8.4380"
"147","Tb927.8.4650"
"148","Tb927.8.5040"
"149","Tb927.8.5380"
"150","Tb927.8.5490"
"151","Tb927.8.5520"
"152","Tb927.8.5690"
"153","Tb927.8.5770"
"154","Tb927.8.5860"
"155","Tb927.8.5880"
"156","Tb927.8.5990"
"157","Tb927.8.6020"
"158","Tb927.8.6300"
"159","Tb927.8.6530"
"160","Tb927.8.6770"
"161","Tb927.8.6780"
"162","Tb927.8.7350"
"163","Tb927.8.7530"
