"","x"
"1","Tb927.1.4730"
"2","Tb927.2.1790"
"3","Tb927.2.2770"
"4","Tb927.2.5810"
"5","Tb927.2.5950"
"6","Tb927.3.680"
"7","Tb927.3.3080"
"8","Tb927.3.3290"
"9","Tb927.3.3620"
"10","Tb927.3.3640"
"11","Tb927.4.810"
"12","Tb927.4.880"
"13","Tb927.4.1230"
"14","Tb927.4.1350"
"15","Tb927.4.1460"
"16","Tb927.4.2570"
"17","Tb927.4.2700"
"18","Tb927.4.5310"
"19","Tb927.5.330"
"20","Tb927.5.430"
"21","Tb927.5.630"
"22","Tb927.5.1910"
"23","Tb927.5.3790"
"24","Tb927.6.220"
"25","Tb927.6.1070"
"26","Tb927.6.1130"
"27","Tb927.6.1510"
"28","Tb927.6.1820"
"29","Tb927.6.2660"
"30","Tb927.6.2740"
"31","Tb927.6.2770"
"32","Tb927.6.2790"
"33","Tb927.6.2920"
"34","Tb927.7.330"
"35","Tb927.7.540"
"36","Tb927.7.2970"
"37","Tb927.7.4560"
"38","Tb927.7.4690"
"39","Tb927.7.4750"
"40","Tb927.7.5510"
"41","Tb927.7.6760"
"42","Tb927.8.790"
"43","Tb927.8.2580"
"44","Tb927.8.4420"
"45","Tb927.8.4520"
"46","Tb927.8.4680"
"47","Tb927.8.4900"
"48","Tb927.8.5130"
"49","Tb927.8.5140"
"50","Tb927.8.5170"
"51","Tb927.8.5210"
"52","Tb927.8.5220"
"53","Tb927.8.5400"
"54","Tb927.8.5530"
"55","Tb927.8.6060"
"56","Tb927.8.8280"
"57","Tb927.9.3600"
"58","Tb927.9.4350"
"59","Tb927.9.5630"
"60","Tb927.9.5840"
"61","Tb927.9.5910"
"62","Tb927.9.6090"
"63","Tb927.9.7140"
"64","Tb927.9.7160"
"65","Tb927.9.9260"
"66","Tb927.9.11480"
"67","Tb927.9.11660"
"68","Tb927.9.11830"
"69","Tb927.9.12160"
"70","Tb927.9.12300"
"71","Tb927.9.15260"
"72","Tb927.10.210"
"73","Tb927.10.460"
"74","Tb927.10.1240"
"75","Tb927.10.3330"
"76","Tb927.10.3490"
"77","Tb927.10.3800"
"78","Tb927.10.3880"
"79","Tb927.10.3960"
"80","Tb927.10.4150"
"81","Tb927.10.5520"
"82","Tb927.10.7090"
"83","Tb927.10.7560"
"84","Tb927.10.8760"
"85","Tb927.10.9100"
"86","Tb927.10.10100"
"87","Tb927.10.10600"
"88","Tb927.10.10660"
"89","Tb927.10.12870"
"90","Tb927.10.15480"
"91","Tb927.11.1240"
"92","Tb927.11.1310"
"93","Tb927.11.1460"
"94","Tb927.11.2110"
"95","Tb927.11.2450"
"96","Tb927.11.4340"
"97","Tb927.11.5070"
"98","Tb927.11.5080"
"99","Tb927.11.6840"
"100","Tb927.11.6940"
"101","Tb927.11.8410"
"102","Tb927.11.8990"
"103","Tb927.11.10000"
"104","Tb927.11.10690"
"105","Tb927.11.11350"
"106","Tb927.11.11650"
"107","Tb927.11.15700"
"108","Tb927.11.16120"
