"","x"
"1","Tb927.1.4280"
"2","Tb927.3.5220"
"3","Tb927.3.5520"
"4","Tb927.4.1300"
"5","Tb927.4.3890"
"6","Tb927.4.3920"
"7","Tb927.4.3950"
"8","Tb927.4.5160"
"9","Tb927.7.1600"
"10","Tb927.7.2680"
"11","Tb927.7.3040"
"12","Tb927.7.3550"
"13","Tb927.7.4450"
"14","Tb927.8.1300"
"15","Tb927.8.5100"
"16","Tb927.8.7830"
"17","Tb927.8.8350"
"18","Tb927.9.5750"
"19","Tb927.9.6650"
"20","Tb927.9.8540"
"21","Tb927.9.13580"
"22","Tb927.9.15290"
"23","Tb927.10.3340"
"24","Tb927.10.11450"
"25","Tb927.11.780"
"26","Tb927.11.2610"
"27","Tb927.11.6280"
"28","Tb927.11.10560"
"29","Tb927.11.14560"
"30","Tb927.11.15530"
