"","x"
"1","Tb927.1.700"
"2","Tb927.1.710"
"3","Tb927.1.1050"
"4","Tb927.1.1210"
"5","Tb927.1.1300"
"6","Tb927.1.1470"
"7","Tb927.1.1570"
"8","Tb927.1.2110"
"9","Tb927.1.2120"
"10","Tb927.1.2370"
"11","Tb927.1.2670"
"12","Tb927.1.2820"
"13","Tb927.1.2880"
"14","Tb927.1.3220"
"15","Tb927.1.3550"
"16","Tb927.1.3830"
"17","Tb927.1.3950"
"18","Tb927.1.3980"
"19","Tb927.1.4280"
"20","Tb927.1.4310"
"21","Tb927.1.4500"
"22","Tb927.1.4650"
"23","Tb927.1.4730"
"24","Tb927.1.4830"
"25","Tb927.2.660"
"26","Tb927.2.820"
"27","Tb927.2.1700"
"28","Tb927.2.1790"
"29","Tb927.2.2440"
"30","Tb927.2.2490"
"31","Tb927.2.2580"
"32","Tb927.2.2590"
"33","Tb927.2.2720"
"34","Tb927.2.2770"
"35","Tb927.2.3000"
"36","Tb927.2.3390"
"37","Tb927.2.3400"
"38","Tb927.2.3460"
"39","Tb927.2.3880"
"40","Tb927.2.3920"
"41","Tb927.2.4140"
"42","Tb927.2.4200"
"43","Tb927.2.4210"
"44","Tb927.2.4410"
"45","Tb927.2.4460"
"46","Tb927.2.4590"
"47","Tb927.2.5150"
"48","Tb927.2.5250"
"49","Tb927.2.5750"
"50","Tb927.2.5760"
"51","Tb927.2.5810"
"52","Tb927.2.5870"
"53","Tb927.2.5950"
"54","Tb927.2.5980"
"55","Tb927.3.650"
"56","Tb927.3.680"
"57","Tb927.3.780"
"58","Tb927.3.800"
"59","Tb927.3.1110"
"60","Tb927.3.1390"
"61","Tb927.3.1730"
"62","Tb927.3.1760"
"63","Tb927.3.1770"
"64","Tb927.3.1840"
"65","Tb927.3.1900"
"66","Tb927.3.2370"
"67","Tb927.3.2390"
"68","Tb927.3.2420"
"69","Tb927.3.2620"
"70","Tb927.3.2780"
"71","Tb927.3.2790"
"72","Tb927.3.2860"
"73","Tb927.3.2960"
"74","Tb927.3.3000"
"75","Tb927.3.3080"
"76","Tb927.3.3270"
"77","Tb927.3.3290"
"78","Tb927.3.3450"
"79","Tb927.3.3620"
"80","Tb927.3.3640"
"81","Tb927.3.3830"
"82","Tb927.3.3950"
"83","Tb927.3.4100"
"84","Tb927.3.4110"
"85","Tb927.3.4170"
"86","Tb927.3.4230"
"87","Tb927.3.4870"
"88","Tb927.3.5220"
"89","Tb927.3.5230"
"90","Tb927.3.5250"
"91","Tb927.3.5520"
"92","Tb927.3.5570"
"93","Tb927.4.160"
"94","Tb927.4.370"
"95","Tb927.4.540"
"96","Tb927.4.640"
"97","Tb927.4.770"
"98","Tb927.4.810"
"99","Tb927.4.880"
"100","Tb927.4.1000"
"101","Tb927.4.1230"
"102","Tb927.4.1300"
"103","Tb927.4.1350"
"104","Tb927.4.1460"
"105","Tb927.4.1850"
"106","Tb927.4.1880"
"107","Tb927.4.1910"
"108","Tb927.4.2220"
"109","Tb927.4.2360"
"110","Tb927.4.2450"
"111","Tb927.4.2570"
"112","Tb927.4.2700"
"113","Tb927.4.2760"
"114","Tb927.4.2770"
"115","Tb927.4.3060"
"116","Tb927.4.3170"
"117","Tb927.4.3180"
"118","Tb927.4.3300"
"119","Tb927.4.3380"
"120","Tb927.4.3890"
"121","Tb927.4.3920"
"122","Tb927.4.3930"
"123","Tb927.4.3950"
"124","Tb927.4.4730"
"125","Tb927.4.4740"
"126","Tb927.4.4870"
"127","Tb927.4.4880"
"128","Tb927.4.5010"
"129","Tb927.4.5100"
"130","Tb927.4.5160"
"131","Tb927.4.5310"
"132","Tb927.5.286b"
"133","Tb927.5.289b"
"134","Tb927.5.330"
"135","Tb927.5.430"
"136","Tb927.5.500"
"137","Tb927.5.630"
"138","Tb927.5.650"
"139","Tb927.5.810"
"140","Tb927.5.1060"
"141","Tb927.5.1100"
"142","Tb927.5.1210"
"143","Tb927.5.1330"
"144","Tb927.5.1490"
"145","Tb927.5.1590"
"146","Tb927.5.1640"
"147","Tb927.5.1780"
"148","Tb927.5.1910"
"149","Tb927.5.1930"
"150","Tb927.5.2000"
"151","Tb927.5.2010"
"152","Tb927.5.2120"
"153","Tb927.5.2850"
"154","Tb927.5.3120"
"155","Tb927.5.3130"
"156","Tb927.5.3240"
"157","Tb927.5.3290"
"158","Tb927.5.3320"
"159","Tb927.5.3530"
"160","Tb927.5.3620"
"161","Tb927.5.3670"
"162","Tb927.5.3780"
"163","Tb927.5.3790"
"164","Tb927.5.3840"
"165","Tb927.5.4380"
"166","Tb927.5.4550"
"167","Tb927.5.4560"
"168","Tb927.6.140"
"169","Tb927.6.220"
"170","Tb927.6.450"
"171","Tb927.6.480"
"172","Tb927.6.540"
"173","Tb927.6.560"
"174","Tb927.6.600"
"175","Tb927.6.640"
"176","Tb927.6.660"
"177","Tb927.6.690"
"178","Tb927.6.770"
"179","Tb927.6.790"
"180","Tb927.6.1070"
"181","Tb927.6.1130"
"182","Tb06.3A7.960"
"183","Tb927.6.1510"
"184","Tb927.6.1600"
"185","Tb927.6.1800"
"186","Tb927.6.1820"
"187","Tb927.6.2020"
"188","Tb927.6.2030"
"189","Tb927.6.2100"
"190","Tb927.6.2190"
"191","Tb927.6.2660"
"192","Tb927.6.2740"
"193","Tb927.6.2770"
"194","Tb927.6.2790"
"195","Tb927.6.2810"
"196","Tb927.6.2920"
"197","Tb927.6.2930"
"198","Tb927.6.3280"
"199","Tb927.6.3290"
"200","Tb927.6.3830"
"201","Tb927.6.3880"
"202","Tb927.6.4050"
"203","Tb927.6.4110"
"204","Tb927.6.4320"
"205","Tb927.6.4420"
"206","Tb927.6.4540"
"207","Tb927.6.4660"
"208","Tb927.6.4760"
"209","Tb927.6.5020"
"210","Tb927.7.200"
"211","Tb927.7.210"
"212","Tb927.7.280"
"213","Tb927.7.310"
"214","Tb927.7.330"
"215","Tb927.7.540"
"216","Tb927.7.550"
"217","Tb927.7.590"
"218","Tb927.7.740"
"219","Tb927.7.850"
"220","Tb927.7.930"
"221","Tb927.7.960"
"222","Tb927.7.1290"
"223","Tb927.7.1370"
"224","Tb927.7.1380"
"225","Tb927.7.1460"
"226","Tb927.7.1470"
"227","Tb927.7.1480"
"228","Tb927.7.1490"
"229","Tb927.7.1600"
"230","Tb927.7.1620"
"231","Tb927.7.1630"
"232","Tb927.7.1640"
"233","Tb927.7.1660"
"234","Tb927.7.2160"
"235","Tb927.7.2370"
"236","Tb927.7.2570"
"237","Tb927.7.2650"
"238","Tb927.7.2670"
"239","Tb927.7.2680"
"240","Tb927.7.2700"
"241","Tb927.7.2740"
"242","Tb927.7.2970"
"243","Tb927.7.3040"
"244","Tb927.7.3070"
"245","Tb927.7.3330"
"246","Tb927.7.3450"
"247","Tb927.7.3500"
"248","Tb927.7.3550"
"249","Tb927.7.3650"
"250","Tb927.7.4110"
"251","Tb927.7.4160"
"252","Tb927.7.4170"
"253","Tb927.7.4200"
"254","Tb927.7.4260"
"255","Tb927.7.4450"
"256","Tb927.7.4490"
"257","Tb927.7.4560"
"258","Tb927.7.4630"
"259","Tb927.7.4680"
"260","Tb927.7.4690"
"261","Tb927.7.4750"
"262","Tb927.7.4830"
"263","Tb927.7.4870"
"264","Tb927.7.4970"
"265","Tb927.7.5340"
"266","Tb927.7.5390"
"267","Tb927.7.5510"
"268","Tb927.7.5680"
"269","Tb927.7.5780"
"270","Tb927.7.5810"
"271","Tb927.7.6000"
"272","Tb927.7.6310"
"273","Tb927.7.6450"
"274","Tb927.7.6600"
"275","Tb927.7.6610"
"276","Tb927.7.6680"
"277","Tb927.7.6690"
"278","Tb927.7.6740"
"279","Tb927.7.6760"
"280","Tb927.7.6820"
"281","Tb927.7.6850"
"282","Tb927.7.6970"
"283","Tb927.7.7040"
"284","Tb927.7.7090"
"285","Tb927.7.7100"
"286","Tb927.7.7230"
"287","Tb927.7.7480"
"288","Tb927.8.480"
"289","Tb927.8.670"
"290","Tb927.8.790"
"291","Tb927.8.890"
"292","Tb927.8.900"
"293","Tb927.8.910"
"294","Tb927.8.970"
"295","Tb927.8.1030"
"296","Tb927.8.1220"
"297","Tb927.8.1300"
"298","Tb927.8.1810"
"299","Tb927.8.2050"
"300","Tb927.8.2110"
"301","Tb927.8.2150"
"302","Tb927.8.2210"
"303","Tb927.8.2430"
"304","Tb927.8.2450"
"305","Tb927.8.2540"
"306","Tb927.8.2580"
"307","Tb927.8.2630"
"308","Tb927.8.2670"
"309","Tb927.8.2930"
"310","Tb927.8.3350"
"311","Tb927.8.3390"
"312","Tb927.8.3530"
"313","Tb927.8.3720"
"314","Tb927.8.3850"
"315","Tb927.8.3870"
"316","Tb927.8.4270"
"317","Tb927.8.4420"
"318","Tb927.8.4430"
"319","Tb927.8.4520"
"320","Tb927.8.4670"
"321","Tb927.8.4680"
"322","Tb927.8.4900"
"323","Tb927.8.5090"
"324","Tb927.8.5100"
"325","Tb927.8.5110"
"326","Tb927.8.5130"
"327","Tb927.8.5140"
"328","Tb927.8.5170"
"329","Tb927.8.5210"
"330","Tb927.8.5220"
"331","Tb927.8.5260"
"332","Tb927.8.5290"
"333","Tb927.8.5320"
"334","Tb927.8.5330"
"335","Tb927.8.5400"
"336","Tb927.8.5510"
"337","Tb927.8.5530"
"338","Tb927.8.5600"
"339","Tb927.8.6060"
"340","Tb927.8.6070"
"341","Tb927.8.6100"
"342","Tb927.8.6110"
"343","Tb927.8.6290"
"344","Tb927.8.6350"
"345","Tb927.8.6500"
"346","Tb927.8.6550"
"347","Tb927.8.6560"
"348","Tb927.8.6610"
"349","Tb927.8.6660"
"350","Tb927.8.6710"
"351","Tb927.8.6740"
"352","Tb927.8.6840"
"353","Tb927.8.7040"
"354","Tb927.8.7120"
"355","Tb927.8.7230"
"356","Tb927.8.7640"
"357","Tb927.8.7740"
"358","Tb927.8.7790"
"359","Tb927.8.7830"
"360","Tb927.8.8050"
"361","Tb927.8.8070"
"362","Tb927.8.8250"
"363","Tb927.8.8280"
"364","Tb927.8.8330"
"365","Tb927.8.8350"
"366","Tb927.9.1400"
"367","Tb927.9.1570"
"368","Tb927.9.2030"
"369","Tb927.9.2220"
"370","Tb927.9.2240"
"371","Tb927.9.2350"
"372","Tb927.9.2390"
"373","Tb927.9.2450"
"374","Tb927.9.2620"
"375","Tb927.9.2910"
"376","Tb927.9.3170"
"377","Tb927.9.3520"
"378","Tb927.9.3590"
"379","Tb927.9.3600"
"380","Tb927.9.4080"
"381","Tb927.9.4110"
"382","Tb927.9.4270"
"383","Tb927.9.4350"
"384","Tb927.9.4390"
"385","Tb927.9.4550"
"386","Tb927.9.4560"
"387","Tb927.9.4960"
"388","Tb927.9.5040"
"389","Tb927.9.5370"
"390","Tb927.9.5630"
"391","Tb927.9.5640"
"392","Tb927.9.5750"
"393","Tb927.9.5840"
"394","Tb927.9.5910"
"395","Tb927.9.6090"
"396","Tb927.9.6170"
"397","Tb927.9.6650"
"398","Tb927.9.7140"
"399","Tb927.9.7150"
"400","Tb927.9.7160"
"401","Tb927.9.7470"
"402","Tb927.9.7770"
"403","Tb927.9.7820"
"404","Tb927.9.7890"
"405","Tb927.9.8050"
"406","Tb927.9.8070"
"407","Tb927.9.8180"
"408","Tb927.9.8320"
"409","Tb927.9.8540"
"410","Tb927.9.9140"
"411","Tb927.9.9180"
"412","Tb927.9.9260"
"413","Tb927.9.9370"
"414","Tb927.9.9410"
"415","Tb927.9.9450"
"416","Tb927.9.9780"
"417","Tb927.9.10190"
"418","Tb927.9.10300"
"419","Tb927.9.10520"
"420","Tb927.9.11050"
"421","Tb927.9.11150"
"422","Tb927.9.11480"
