Geneid,comparison,genename,bnum,group
CDS:b0008:talB:transaldolase_B:cds7:+:953:NC_000913.3,WT0_WT30,talB,b0008,NA
CDS:b0010:satP:succinate-acetate_transporter:cds9:-:566:NC_000913.3,WT0_WT30,satP,b0010,NA
CDS:b0030:rihC:ribonucleoside_hydrolase_3:cds28:+:914:NC_000913.3,WT0_WT30,rihC,b0030,NA
CDS:b0058:rluA:dual_specificity_23S_rRNA_pseudouridine746%2C_tRNA_pseudouridine32_synthase%2C_SAM-dependent:cds55:-:659:NC_000913.3,WT0_WT30,rluA,b0058,NA
AS_CDS:b0059:rapA:RNA_polymerase_remodeling/recycling_factor_ATPase%3B_RNA_polymerase-associated%2C_ATP-dependent_RNA_translocase:cds56:-:2906:NC_000913.3,WT0_WT30,rapA,b0059,NA
CDS:b0072:leuC:3-isopropylmalate_dehydratase_large_subunit:cds70:-:1400:NC_000913.3,WT0_WT30,leuC,b0072,NA
CDS:b0112:aroP:aromatic_amino_acid_transporter:cds107:-:1373:NC_000913.3,WT0_WT30,aroP,b0112,NA
CDS:b0115:aceF:pyruvate_dehydrogenase%2C_dihydrolipoyltransacetylase_component_E2:cds110:+:1892:NC_000913.3,WT0_WT30,aceF,b0115,NA
AS_CDS:b0123:cueO:multicopper_oxidase_laccase:cds118:+:1550:NC_000913.3,WT0_WT30,cueO,b0123,NA
"AS_IGR:(CDS,b0123,cueO,multicopper_oxidase_laccase,cds118,+,1550/CDS,b0124,gcd,glucose_dehydrogenase,cds119,-,2390):+:140:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b0124:gcd:glucose_dehydrogenase:cds119:-:2390:NC_000913.3,WT0_WT30,gcd,b0124,NA
CDS:b0162:cdaR:carbohydrate_diacid_regulon_transcriptional_regulator%3B_autoregulator:cds157:+:1157:NC_000913.3,WT0_WT30,cdaR,b0162,NA
CDS:b0199:metN:DL-methionine_transporter_subunit:cds194:-:1031:NC_000913.3,WT0_WT30,metN,b0199,NA
CDS:b0217:yafT:lipoprotein:cds205:+:785:NC_000913.3,WT0_WT30,yafT,b0217,NA
"IGR:(CDS,b0217,yafT,lipoprotein,cds205,+,785/CDS,b4586,ykfM,lethality_reduction_protein%2C_putative_inner_membrane_protein,cds206,-,479):+:75:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b0225:yafQ:mRNA_interferase_toxin_of_toxin-antitoxin_pair_YafQ/DinJ:cds215:-:278:NC_000913.3,WT0_WT30,yafQ,b0225,NA
CDS:b0226:dinJ:antitoxin_of_YafQ-DinJ_toxin-antitoxin_system:cds216:-:260:NC_000913.3,WT0_WT30,dinJ,b0226,NA
AS_CDS:b4626:ykfN:-:cds234:-:62:NC_000913.3,WT0_WT30,ykfN,b4626,NA
"IGR:(CDS,b4626,ykfN,-,cds234,-,62/CDS,b0245,ykfI,CP4-6_prophage%3B_toxin_of_the_YkfI-YafW_toxin-antitoxin_system,cds235,-,341):+:64:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b0269:yagF:CP4-6_prophage%3B_dehydratase_family_protein:cds263:+:1967:NC_000913.3,WT0_WT30,yagF,b0269,NA
CDS:b0287:yagU:DUF1440_family_inner_membrane_acid_resistance_protein:cds283:+:614:NC_000913.3,WT0_WT30,yagU,b0287,NA
"IGR:(CDS,b0287,yagU,DUF1440_family_inner_membrane_acid_resistance_protein,cds283,+,614/CDS,b0288,ykgJ,UPF0153_cysteine_cluster_protein,cds284,-,329):+:186:NC_000913.3",WT0_WT30,NA,NA,NA
AS_mobile_genetic_element:-:-:-:id48:+:1254:NC_000913.3,WT0_WT30,NA,NA,NA
AS_CDS:b0299:insF1:IS3_transposase_B:cds298:+:866:NC_000913.3,WT0_WT30,insF1,b0299,NA
"IGR:(CDS,b0300,ykgA,-,cds299,-,683/CDS,b4631,ykgQ,-,cds300,+,128):+:228:NC_000913.3",WT0_WT30,NA,NA,NA
"IGR:(CDS,b0305,rclR,reactive_chlorine_species_RCS-specific_activator_of_the_rcl_genes,cds304,+,854/CDS,b0306,ykgE,cysteine-rich_LutA_family_protein%3B_putative_electron_transport_chain_YkgEFG_component,cds305,+,719):+:475:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b0306:ykgE:cysteine-rich_LutA_family_protein%3B_putative_electron_transport_chain_YkgEFG_component:cds305:+:719:NC_000913.3,WT0_WT30,ykgE,b0306,NA
CDS:b0307:ykgF:ferridoxin-like_LutB_family_protein%3B_putative_electron_transport_chain_YkgEFG_component:cds306:+:1427:NC_000913.3,WT0_WT30,ykgF,b0307,NA
CDS:b0308:ykgG:LutC_family_protein%3B_putative_electron_transport_chain_YkgEFG_component:cds307:+:695:NC_000913.3,WT0_WT30,ykgG,b0308,NA
"IGR:(CDS,b0308,ykgG,LutC_family_protein%3B_putative_electron_transport_chain_YkgEFG_component,cds307,+,695/CDS,b0310,ykgH,putative_inner_membrane_protein,cds308,-,668):+:181:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b0329:yahO:periplasmic_protein%2C_function_unknown%2C_YhcN_family:cds326:+:275:NC_000913.3,WT0_WT30,yahO,b0329,NA
AS_CDS:b0372:insF1:IS3_transposase_B:cds366:-:866:NC_000913.3,WT0_WT30,insF1,b0372,NA
AS_mobile_genetic_element:-:-:-:id60:-:1257:NC_000913.3,WT0_WT30,NA,NA,NA
CDS:b0382:iraP:anti-RssB_factor%2C_RpoS_stabilzer_during_Pi_starvation%3B_anti-adapter_protein:cds375:+:260:NC_000913.3,WT0_WT30,iraP,b0382,NA
"IGR:(CDS,b0382,iraP,anti-RssB_factor%2C_RpoS_stabilzer_during_Pi_starvation%3B_anti-adapter_protein,cds375,+,260/CDS,b0383,phoA,bacterial_alkaline_phosphatase,cds376,+,1415):+:49:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b0383:phoA:bacterial_alkaline_phosphatase:cds376:+:1415:NC_000913.3,WT0_WT30,phoA,b0383,NA
CDS:b0384:psiF:PsiF_family_protein:cds377:+:320:NC_000913.3,WT0_WT30,psiF,b0384,NA
CDS:b0483:ybaQ:putative_DNA-binding_transcriptional_regulator:cds474:+:341:NC_000913.3,WT0_WT30,ybaQ,b0483,NA
AS_CDS:b0488:ybbJ:inner_membrane_protein%3B_stimulator_of_the_QmcA_suppressor_of_ftsH-htpX:cds479:-:458:NC_000913.3,WT0_WT30,ybbJ,b0488,NA
AS_mobile_genetic_element:-:-:-:id85:+:1257:NC_000913.3,WT0_WT30,NA,NA,NA
AS_CDS:b0541:insF1:IS3_transposase_B:cds532:+:866:NC_000913.3,WT0_WT30,insF1,b0541,NA
CDS:b0581:ybdK:weak_gamma-glutamyl:cysteine_ligase:cds576:-:1118:NC_000913.3,WT0_WT30,ybdK,b0581,NA
AS_CDS:b0644:ybeQ:Sel1_family_TPR-like_repeat_protein:cds640:-:977:NC_000913.3,WT0_WT30,ybeQ,b0644,NA
CDS:b0654:gltJ:glutamate/aspartate_ABC_transporter_permease:cds650:-:740:NC_000913.3,WT0_WT30,gltJ,b0654,NA
CDS:b0655:gltI:glutamate/aspartate_periplasmic_binding_protein:cds651:-:908:NC_000913.3,WT0_WT30,gltI,b0655,NA
CDS:b0676:nagC:N-acetylglucosamine-inducible_nag_divergent_operon_transcriptional_repressor:cds661:-:1220:NC_000913.3,WT0_WT30,nagC,b0676,NA
CDS:b0707:ybgA:DUF1722_family_protein:cds695:+:509:NC_000913.3,WT0_WT30,ybgA,b0707,NA
CDS:b0726:sucA:2-oxoglutarate_decarboxylase%2C_thiamine_triphosphate-binding:cds713:+:2801:NC_000913.3,WT0_WT30,sucA,b0726,NA
CDS:b0727:sucB:dihydrolipoyltranssuccinase:cds714:+:1217:NC_000913.3,WT0_WT30,sucB,b0727,NA
"IGR:(CDS,b0727,sucB,dihydrolipoyltranssuccinase,cds714,+,1217/CDS,b0728,sucC,succinyl-CoA_synthetase%2C_beta_subunit,cds715,+,1166):+:223:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b0728:sucC:succinyl-CoA_synthetase%2C_beta_subunit:cds715:+:1166:NC_000913.3,WT0_WT30,sucC,b0728,NA
CDS:b0729:sucD:succinyl-CoA_synthetase%2C_NADP-binding%2C_alpha_subunit:cds716:+:869:NC_000913.3,WT0_WT30,sucD,b0729,NA
"IGR:(CDS,b0729,sucD,succinyl-CoA_synthetase%2C_NADP-binding%2C_alpha_subunit,cds716,+,869/CDS,b0730,mngR,transcriptional_repressor_for_the_mannosyl-D-glycerate_catabolic_operon,cds717,-,722):+:42:NC_000913.3",WT0_WT30,NA,NA,NA
AS_CDS:b0730:mngR:transcriptional_repressor_for_the_mannosyl-D-glycerate_catabolic_operon:cds717:-:722:NC_000913.3,WT0_WT30,mngR,b0730,NA
CDS:b0756:galM:aldose_1-epimerase%3B_type-1_mutarotase%3B_galactose_mutarotase:cds737:-:1040:NC_000913.3,WT0_WT30,galM,b0756,NA
CDS:b0757:galK:galactokinase:cds738:-:1148:NC_000913.3,WT0_WT30,galK,b0757,NA
CDS:b0764:modB:molybdate_ABC_transporter_permease%3B_chlorate_resistance_protein:cds745:+:689:NC_000913.3,WT0_WT30,modB,b0764,NA
"AS_IGR:(CDS,b0810,glnP,glutamine_transporter_subunit,cds791,-,659/CDS,b0811,glnH,glutamine_transporter_subunit,cds792,-,746):+:87:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b0811:glnH:glutamine_transporter_subunit:cds792:-:746:NC_000913.3,WT0_WT30,glnH,b0811,NA
CDS:b0812:dps:Fe-binding_and_storage_protein%3B_stress-inducible_DNA-binding_protein:cds793:-:503:NC_000913.3,WT0_WT30,dps,b0812,NA
"AS_IGR:(CDS,b0812,dps,Fe-binding_and_storage_protein%3B_stress-inducible_DNA-binding_protein,cds793,-,503/CDS,b0813,rhtA,threonine_and_homoserine_efflux_system,cds794,-,887):+:247:NC_000913.3",WT0_WT30,NA,NA,NA
"IGR:(CDS,b0813,rhtA,threonine_and_homoserine_efflux_system,cds794,-,887/CDS,b0814,ompX,outer_membrane_protein_X,cds795,+,515):+:311:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b0839:dacC:D-alanyl-D-alanine_carboxypeptidase%3B_penicillin-binding_protein_6a:cds820:+:1202:NC_000913.3,WT0_WT30,dacC,b0839,NA
AS_CDS:b0882:clpA:ATPase_and_specificity_subunit_of_ClpA-ClpP_ATP-dependent_serine_protease%2C_chaperone_activity:cds863:+:2276:NC_000913.3,WT0_WT30,clpA,b0882,NA
"AS_IGR:(CDS,b0882,clpA,ATPase_and_specificity_subunit_of_ClpA-ClpP_ATP-dependent_serine_protease%2C_chaperone_activity,cds863,+,2276/tRNA,b0883,ID,serW,tRNA-Ser,id137,-,87):+:312:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b0897:ycaC:putative_isochorismatase_family_hydrolase:cds877:-:626:NC_000913.3,WT0_WT30,ycaC,b0897,NA
CDS:b0906:ycaP:UPF0702_family_putative_inner_membrane_protein:cds886:+:692:NC_000913.3,WT0_WT30,ycaP,b0906,NA
"AS_IGR:(CDS,b0927,ycbL,putative_metal-binding_enzyme,cds907,+,647/CDS,b0928,aspC,aspartate_aminotransferase%2C_PLP-dependent,cds908,-,1190):+:160:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b0928:aspC:aspartate_aminotransferase%2C_PLP-dependent:cds908:-:1190:NC_000913.3,WT0_WT30,aspC,b0928,NA
CDS:b0953:rmf:ribosome_modulation_factor:cds933:+:167:NC_000913.3,WT0_WT30,rmf,b0953,NA
CDS:b0970:yccA:Modulator_of_FtsH_protease%2C_inner_membrane_protein:cds950:-:659:NC_000913.3,WT0_WT30,yccA,b0970,NA
CDS:b1002:agp:glucose-1-phosphatase/inositol_phosphatase:cds984:+:1241:NC_000913.3,WT0_WT30,agp,b1002,NA
AS_CDS:b1003:yccJ:uncharacterized_protein:cds985:-:227:NC_000913.3,WT0_WT30,yccJ,b1003,NA
CDS:b1004:wrbA:NADPH:quinone_oxidoreductase:cds986:-:596:NC_000913.3,WT0_WT30,wrbA,b1004,NA
AS_CDS:b1026:insF1:IS3_transposase_B:cds1007:-:866:NC_000913.3,WT0_WT30,insF1,b1026,NA
AS_mobile_genetic_element:-:-:-:id151:-:1257:NC_000913.3,WT0_WT30,NA,NA,NA
CDS:b1033:ghrA:glyoxylate/hydroxypyruvate_reductase_A:cds1011:+:938:NC_000913.3,WT0_WT30,ghrA,b1033,NA
CDS:b1034:ycdX:alkaline_phosphatase:cds1012:+:737:NC_000913.3,WT0_WT30,ycdX,b1034,NA
CDS:b1035:ycdY:redox_enzyme_maturation_protein_REMP_chaperone_for_YcdX:cds1013:+:554:NC_000913.3,WT0_WT30,ycdY,b1035,NA
CDS:b1036:ycdZ:DUF1097_family_inner_membrane_protein:cds1014:+:491:NC_000913.3,WT0_WT30,ycdZ,b1036,NA
AS_CDS:b1037:csgG:curli_production_assembly/transport_outer_membrane_lipoprotein:cds1015:-:833:NC_000913.3,WT0_WT30,csgG,b1037,NA
CDS:b1056:yceI:periplasmic_high_pH-inducible_lipid-binding_protein:cds1033:-:575:NC_000913.3,WT0_WT30,yceI,b1056,NA
CDS:b1057:yceJ:putative_cytochrome_b561:cds1034:-:566:NC_000913.3,WT0_WT30,yceJ,b1057,NA
AS_CDS:b1057:yceJ:putative_cytochrome_b561:cds1034:-:566:NC_000913.3,WT0_WT30,yceJ,b1057,NA
CDS:b1064:grxB:glutaredoxin_2_Grx2:cds1041:-:647:NC_000913.3,WT0_WT30,grxB,b1064,NA
AS_CDS:b1100:ycfH:putative_DNase:cds1077:+:797:NC_000913.3,WT0_WT30,ycfH,b1100,NA
"IGR:(CDS,b1100,ycfH,putative_DNase,cds1077,+,797/CDS,b1101,ptsG,fused_glucose-specific_PTS_enzymes,_IIB_component/IIC_component,cds1078,+,1433):+:243:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1101:ptsG:fused_glucose-specific_PTS_enzymes:_IIB_component/IIC_component:cds1078:+:1433:NC_000913.3,WT0_WT30,ptsG,b1101,NA
AS_CDS:b1101:ptsG:fused_glucose-specific_PTS_enzymes:_IIB_component/IIC_component:cds1078:+:1433:NC_000913.3,WT0_WT30,ptsG,b1101,NA
AS_CDS:b1102:fhuE:ferric-rhodotorulic_acid_outer_membrane_transporter:cds1079:-:2189:NC_000913.3,WT0_WT30,fhuE,b1102,NA
CDS:b1104:ycfL:uncharacterized_protein:cds1081:+:377:NC_000913.3,WT0_WT30,ycfL,b1104,NA
CDS:b1110:ycfJ:uncharacterized_protein:cds1087:+:539:NC_000913.3,WT0_WT30,ycfJ,b1110,NA
CDS:b1112:bhsA:biofilm%2C_cell_surface_and_signaling_protein:cds1089:+:257:NC_000913.3,WT0_WT30,bhsA,b1112,NA
CDS:b1113:ldtC:L%2CD-transpeptidase_linking_Lpp_to_murein:cds1090:-:962:NC_000913.3,WT0_WT30,ldtC,b1113,NA
CDS:b1219:ychN:putative_sulfur_relay_protein:cds1202:-:353:NC_000913.3,WT0_WT30,ychN,b1219,NA
CDS:b1223:narK:nitrate/nitrite_transporter:cds1206:+:1391:NC_000913.3,WT0_WT30,narK,b1223,NA
CDS:b1224:narG:nitrate_reductase_1%2C_alpha_subunit:cds1207:+:3743:NC_000913.3,WT0_WT30,narG,b1224,NA
CDS:b1308:pspE:thiosulfate:cyanide_sulfurtransferase_rhodanese:cds1292:+:314:NC_000913.3,WT0_WT30,pspE,b1308,NA
"IGR:(CDS,b1308,pspE,thiosulfate,cyanide_sulfurtransferase_rhodanese,cds1292,+,314/CDS,b1309,ycjM,alpha_amylase_catalytic_domain_family_protein,cds1293,+,1679):+:161:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1312:ycjP:putative_sugar_ABC_transporter_permease:cds1296:+:842:NC_000913.3,WT0_WT30,ycjP,b1312,NA
CDS:b1344:ttcA:tRNA_s2C32_thioltransferase%2C_iron_sulfur_cluster_protein:cds1330:-:935:NC_000913.3,WT0_WT30,ttcA,b1344,NA
CDS:b1376:uspF:stress-induced_protein%2C_ATP-binding_protein:cds1362:-:434:NC_000913.3,WT0_WT30,uspF,b1376,NA
"AS_IGR:(CDS,b1376,uspF,stress-induced_protein%2C_ATP-binding_protein,cds1362,-,434/CDS,b1377,ompN,outer_membrane_pore_protein_N%2C_non-specific,cds1363,-,1133):+:89:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1379:hslJ:heat-inducible_lipoprotein_involved_in_novobiocin_resistance:cds1366:-:422:NC_000913.3,WT0_WT30,hslJ,b1379,NA
"AS_IGR:(CDS,b1379,hslJ,heat-inducible_lipoprotein_involved_in_novobiocin_resistance,cds1366,-,422/CDS,b1380,ldhA,fermentative_D-lactate_dehydrogenase%2C_NAD-dependent,cds1367,-,989):+:59:NC_000913.3",WT0_WT30,NA,NA,NA
AS_CDS:b1419:ydcA:putative_periplasmic_protein:cds1405:+:173:NC_000913.3,WT0_WT30,ydcA,b1419,NA
