Geneid,comparison,genename,bnum
CDS:b0008:talB:transaldolase_B:cds7:+:953:NC_000913.3,WT0_WT30,talB,b0008
CDS:b0010:satP:succinate-acetate_transporter:cds9:-:566:NC_000913.3,WT0_WT30,satP,b0010
CDS:b0030:rihC:ribonucleoside_hydrolase_3:cds28:+:914:NC_000913.3,WT0_WT30,rihC,b0030
CDS:b0058:rluA:dual_specificity_23S_rRNA_pseudouridine746%2C_tRNA_pseudouridine32_synthase%2C_SAM-dependent:cds55:-:659:NC_000913.3,WT0_WT30,rluA,b0058
AS_CDS:b0059:rapA:RNA_polymerase_remodeling/recycling_factor_ATPase%3B_RNA_polymerase-associated%2C_ATP-dependent_RNA_translocase:cds56:-:2906:NC_000913.3,WT0_WT30,rapA,b0059
CDS:b0072:leuC:3-isopropylmalate_dehydratase_large_subunit:cds70:-:1400:NC_000913.3,WT0_WT30,leuC,b0072
CDS:b0112:aroP:aromatic_amino_acid_transporter:cds107:-:1373:NC_000913.3,WT0_WT30,aroP,b0112
CDS:b0115:aceF:pyruvate_dehydrogenase%2C_dihydrolipoyltransacetylase_component_E2:cds110:+:1892:NC_000913.3,WT0_WT30,aceF,b0115
AS_CDS:b0123:cueO:multicopper_oxidase_laccase:cds118:+:1550:NC_000913.3,WT0_WT30,cueO,b0123
"AS_IGR:(CDS,b0123,cueO,multicopper_oxidase_laccase,cds118,+,1550/CDS,b0124,gcd,glucose_dehydrogenase,cds119,-,2390):+:140:NC_000913.3",WT0_WT30,NA,NA
CDS:b0124:gcd:glucose_dehydrogenase:cds119:-:2390:NC_000913.3,WT0_WT30,gcd,b0124
CDS:b0162:cdaR:carbohydrate_diacid_regulon_transcriptional_regulator%3B_autoregulator:cds157:+:1157:NC_000913.3,WT0_WT30,cdaR,b0162
CDS:b0199:metN:DL-methionine_transporter_subunit:cds194:-:1031:NC_000913.3,WT0_WT30,metN,b0199
CDS:b0217:yafT:lipoprotein:cds205:+:785:NC_000913.3,WT0_WT30,yafT,b0217
"IGR:(CDS,b0217,yafT,lipoprotein,cds205,+,785/CDS,b4586,ykfM,lethality_reduction_protein%2C_putative_inner_membrane_protein,cds206,-,479):+:75:NC_000913.3",WT0_WT30,NA,NA
CDS:b0225:yafQ:mRNA_interferase_toxin_of_toxin-antitoxin_pair_YafQ/DinJ:cds215:-:278:NC_000913.3,WT0_WT30,yafQ,b0225
CDS:b0226:dinJ:antitoxin_of_YafQ-DinJ_toxin-antitoxin_system:cds216:-:260:NC_000913.3,WT0_WT30,dinJ,b0226
AS_CDS:b4626:ykfN:-:cds234:-:62:NC_000913.3,WT0_WT30,ykfN,b4626
"IGR:(CDS,b4626,ykfN,-,cds234,-,62/CDS,b0245,ykfI,CP4-6_prophage%3B_toxin_of_the_YkfI-YafW_toxin-antitoxin_system,cds235,-,341):+:64:NC_000913.3",WT0_WT30,NA,NA
CDS:b0269:yagF:CP4-6_prophage%3B_dehydratase_family_protein:cds263:+:1967:NC_000913.3,WT0_WT30,yagF,b0269
CDS:b0287:yagU:DUF1440_family_inner_membrane_acid_resistance_protein:cds283:+:614:NC_000913.3,WT0_WT30,yagU,b0287
"IGR:(CDS,b0287,yagU,DUF1440_family_inner_membrane_acid_resistance_protein,cds283,+,614/CDS,b0288,ykgJ,UPF0153_cysteine_cluster_protein,cds284,-,329):+:186:NC_000913.3",WT0_WT30,NA,NA
AS_mobile_genetic_element:-:-:-:id48:+:1254:NC_000913.3,WT0_WT30,NA,NA
AS_CDS:b0299:insF1:IS3_transposase_B:cds298:+:866:NC_000913.3,WT0_WT30,insF1,b0299
"IGR:(CDS,b0300,ykgA,-,cds299,-,683/CDS,b4631,ykgQ,-,cds300,+,128):+:228:NC_000913.3",WT0_WT30,NA,NA
"IGR:(CDS,b0305,rclR,reactive_chlorine_species_RCS-specific_activator_of_the_rcl_genes,cds304,+,854/CDS,b0306,ykgE,cysteine-rich_LutA_family_protein%3B_putative_electron_transport_chain_YkgEFG_component,cds305,+,719):+:475:NC_000913.3",WT0_WT30,NA,NA
CDS:b0306:ykgE:cysteine-rich_LutA_family_protein%3B_putative_electron_transport_chain_YkgEFG_component:cds305:+:719:NC_000913.3,WT0_WT30,ykgE,b0306
CDS:b0307:ykgF:ferridoxin-like_LutB_family_protein%3B_putative_electron_transport_chain_YkgEFG_component:cds306:+:1427:NC_000913.3,WT0_WT30,ykgF,b0307
CDS:b0308:ykgG:LutC_family_protein%3B_putative_electron_transport_chain_YkgEFG_component:cds307:+:695:NC_000913.3,WT0_WT30,ykgG,b0308
"IGR:(CDS,b0308,ykgG,LutC_family_protein%3B_putative_electron_transport_chain_YkgEFG_component,cds307,+,695/CDS,b0310,ykgH,putative_inner_membrane_protein,cds308,-,668):+:181:NC_000913.3",WT0_WT30,NA,NA
CDS:b0329:yahO:periplasmic_protein%2C_function_unknown%2C_YhcN_family:cds326:+:275:NC_000913.3,WT0_WT30,yahO,b0329
