yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB8C6I	Entry	Metal binding	Keywords	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Developmental stage	Interacts with	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Cross-reference (BioGrid)	Cross-reference (KEGG)	Cross-reference (EcoGene)	yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB644J
talB	P0A870		3D-structure;Complete proteome;Cytoplasm;Direct protein sequencing;Pentose shunt;Reference proteome;Schiff base;Transferase	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	cytosol [GO:0005829]; membrane [GO:0016020]	cytosol [GO:0005829]; membrane [GO:0016020]; sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity [GO:0004801]; transferase activity, transferring aldehyde or ketonic groups [GO:0016744]; carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity [GO:0004801]; transferase activity, transferring aldehyde or ketonic groups [GO:0016744]	GO:0004801; GO:0005829; GO:0005975; GO:0009052; GO:0016020; GO:0016744				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.			4261939;	ecj:JW0007;eco:b0008;	EG11556;	
mog	P0AF03		3D-structure;ATP-binding;Complete proteome;Molybdenum cofactor biosynthesis;Nucleotide-binding;Reference proteome;Transferase	molybdopterin cofactor biosynthetic process [GO:0032324]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; molybdopterin adenylyltransferase activity [GO:0061598]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; molybdopterin cofactor biosynthetic process [GO:0032324]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; molybdopterin adenylyltransferase activity [GO:0061598]	GO:0005524; GO:0005829; GO:0006777; GO:0032324; GO:0042802; GO:0061598							4261931;	ecj:JW0008;eco:b0009;	EG11511;	
nhaA	P13738		3D-structure;Antiport;Cell inner membrane;Cell membrane;Complete proteome;Direct protein sequencing;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Transmembrane;Transmembrane helix;Transport	cellular sodium ion homeostasis [GO:0006883]; regulation of intracellular pH [GO:0051453]; response to cation stress [GO:0043157]; sodium ion export across plasma membrane [GO:0036376]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; cardiolipin binding [GO:1901612]; sodium:proton antiporter activity [GO:0015385]; cellular sodium ion homeostasis [GO:0006883]; regulation of intracellular pH [GO:0051453]; response to cation stress [GO:0043157]; sodium ion export across plasma membrane [GO:0036376]	cardiolipin binding [GO:1901612]; sodium:proton antiporter activity [GO:0015385]	GO:0005886; GO:0005887; GO:0006883; GO:0015385; GO:0036376; GO:0043157; GO:0051453; GO:1901612				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 11 Cytoplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 31 58 Periplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 86 94 Cytoplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 117 120 Periplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 144 149 Cytoplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 176 181 Periplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 201 204 Cytoplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 219 222 Periplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 237 246 Cytoplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 272 289 Periplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 312 326 Cytoplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 351 356 Periplasmic. {ECO:0000269|PubMed:15919996}.; TOPO_DOM 383 388 Cytoplasmic. {ECO:0000269|PubMed:15919996}.	TRANSMEM 12 30 Helical; Name=1.; TRANSMEM 59 85 Helical; Name=2.; TRANSMEM 95 116 Helical; Name=3.; TRANSMEM 121 143 Helical; Name=4.; TRANSMEM 150 175 Helical; Name=5.; TRANSMEM 182 200 Helical; Name=6.; TRANSMEM 205 218 Helical; Name=7.; TRANSMEM 223 236 Helical; Name=8.; TRANSMEM 247 271 Helical; Name=9.; TRANSMEM 290 311 Helical; Name=10.; TRANSMEM 327 350 Helical; Name=11.; TRANSMEM 357 382 Helical; Name=12.	4259720;	ecj:JW0018;eco:b0019;	EG10652;	
kefF	P0A754		3D-structure;Cell inner membrane;Cell membrane;Complete proteome;FMN;Flavoprotein;Membrane;NAD;Oxidoreductase;Reference proteome	positive regulation of ion transmembrane transporter activity [GO:0032414]; positive regulation of potassium ion transmembrane transport [GO:1901381]; potassium ion transport [GO:0006813]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; positive regulation of ion transmembrane transporter activity [GO:0032414]; positive regulation of potassium ion transmembrane transport [GO:1901381]; potassium ion transport [GO:0006813]	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]	GO:0003955; GO:0005886; GO:0006813; GO:0009055; GO:0010181; GO:0032414; GO:1901381				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01414}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01414}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_01414}.			4262201;	ecj:JW0045;eco:b0046;	EG11568;	
kefC	P03819		3D-structure;Antiport;Cell inner membrane;Cell membrane;Complete proteome;Ion transport;Membrane;Nucleotide-binding;Potassium;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	potassium ion transport [GO:0006813]; regulation of pH [GO:0006885]; response to methylglyoxal [GO:0051595]; response to toxic substance [GO:0009636]	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; enzyme binding [GO:0019899]; glutathione-regulated potassium exporter activity [GO:0015503]; nucleotide binding [GO:0000166]; solute:proton antiporter activity [GO:0015299]; toxic substance binding [GO:0015643]; potassium ion transport [GO:0006813]; regulation of pH [GO:0006885]; response to methylglyoxal [GO:0051595]; response to toxic substance [GO:0009636]	enzyme binding [GO:0019899]; glutathione-regulated potassium exporter activity [GO:0015503]; nucleotide binding [GO:0000166]; solute:proton antiporter activity [GO:0015299]; toxic substance binding [GO:0015643]	GO:0000166; GO:0005886; GO:0005887; GO:0006813; GO:0006885; GO:0009636; GO:0015299; GO:0015503; GO:0015643; GO:0016020; GO:0019899; GO:0051595				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01413, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2046548}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01413, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2046548}.	TOPO_DOM 1 3 Periplasmic. {ECO:0000255}.; TOPO_DOM 25 25 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 47 53 Periplasmic. {ECO:0000255}.; TOPO_DOM 75 89 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 111 113 Periplasmic. {ECO:0000255}.; TOPO_DOM 135 148 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 170 177 Periplasmic. {ECO:0000255}.; TOPO_DOM 199 213 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 234 236 Periplasmic. {ECO:0000255}.; TOPO_DOM 255 269 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 291 293 Periplasmic. {ECO:0000255}.; TOPO_DOM 315 326 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 348 358 Periplasmic. {ECO:0000255}.; TOPO_DOM 380 620 Cytoplasmic. {ECO:0000305|PubMed:15919996}.	TRANSMEM 4 24 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 26 46 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 54 74 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 90 110 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 114 134 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 149 169 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 178 198 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 214 233 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 237 254 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 270 290 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 294 314 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 327 347 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.; TRANSMEM 359 379 Helical. {ECO:0000255|HAMAP-Rule:MF_01413}.	4262200;	ecj:JW0046;eco:b0047;	EG10521;	
folA	P0ABQ4		3D-structure;Antibiotic resistance;Complete proteome;Direct protein sequencing;Methotrexate resistance;NADP;One-carbon metabolism;Oxidoreductase;Reference proteome;Trimethoprim resistance	glycine biosynthetic process [GO:0006545]; one-carbon metabolic process [GO:0006730]; response to antibiotic [GO:0046677]; response to drug [GO:0042493]; response to methotrexate [GO:0031427]; tetrahydrofolate biosynthetic process [GO:0046654]	cytosol [GO:0005829]	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; dihydrofolic acid binding [GO:0051871]; folic acid binding [GO:0005542]; methotrexate binding [GO:0051870]; NADP+ binding [GO:0070401]; NADPH binding [GO:0070402]; glycine biosynthetic process [GO:0006545]; one-carbon metabolic process [GO:0006730]; response to antibiotic [GO:0046677]; response to drug [GO:0042493]; response to methotrexate [GO:0031427]; tetrahydrofolate biosynthetic process [GO:0046654]	dihydrofolate reductase activity [GO:0004146]; dihydrofolic acid binding [GO:0051871]; folic acid binding [GO:0005542]; methotrexate binding [GO:0051870]; NADP+ binding [GO:0070401]; NADPH binding [GO:0070402]	GO:0004146; GO:0005542; GO:0005829; GO:0006545; GO:0006730; GO:0031427; GO:0042493; GO:0046654; GO:0046677; GO:0051870; GO:0051871; GO:0070401; GO:0070402		P77609					4262199;	ecj:JW0047;eco:b0048;	EG10326;	
polB	P21189		3D-structure;Complete proteome;DNA damage;DNA repair;DNA-binding;DNA-directed DNA polymerase;Direct protein sequencing;Nucleotidyltransferase;Reference proteome;SOS response;Transferase	DNA-dependent DNA replication [GO:0006261]; DNA replication proofreading [GO:0045004]; SOS response [GO:0009432]		3'-5'-exodeoxyribonuclease activity [GO:0008296]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication proofreading [GO:0045004]; DNA-dependent DNA replication [GO:0006261]; SOS response [GO:0009432]	3'-5'-exodeoxyribonuclease activity [GO:0008296]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]	GO:0000166; GO:0003677; GO:0003887; GO:0006261; GO:0008296; GO:0009432; GO:0045004							4261621;	ecj:JW0059;eco:b0060;	EG10747;	
leuD	P30126		Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Complete proteome;Direct protein sequencing;Leucine biosynthesis;Lyase;Reference proteome	leucine biosynthetic process [GO:0009098]	3-isopropylmalate dehydratase complex [GO:0009316]; cytosol [GO:0005829]	3-isopropylmalate dehydratase complex [GO:0009316]; cytosol [GO:0005829]; 3-isopropylmalate dehydratase activity [GO:0003861]; intramolecular transferase activity [GO:0016866]; leucine biosynthetic process [GO:0009098]	3-isopropylmalate dehydratase activity [GO:0003861]; intramolecular transferase activity [GO:0016866]	GO:0003861; GO:0005829; GO:0009098; GO:0009316; GO:0016866		P0A6A6					4262049;	ecj:JW0070;eco:b0071;	EG11575;	
secM	P62395		3D-structure;Complete proteome;Cytoplasm;Periplasm;Reference proteome;Signal	regulation of translation [GO:0006417]	cytosol [GO:0005829]; periplasmic space [GO:0042597]	cytosol [GO:0005829]; periplasmic space [GO:0042597]; translation regulator activity [GO:0045182]; regulation of translation [GO:0006417]	translation regulator activity [GO:0045182]	GO:0005829; GO:0006417; GO:0042597; GO:0045182				SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:1834634}. Periplasm {ECO:0000269|PubMed:1834634}. Note=The active form is cytosolic, while the periplasmic form is rapidly degraded, mainly by the tail-specific protease.			4261885;	ecj:JW5007;eco:b0097;	EG11087;	
nadC	P30011		Complete proteome;Glycosyltransferase;Pyridine nucleotide biosynthesis;Reference proteome;Transferase	'de novo' NAD biosynthetic process from aspartate [GO:0034628]; NAD biosynthetic process [GO:0009435]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; 'de novo' NAD biosynthetic process from aspartate [GO:0034628]; NAD biosynthetic process [GO:0009435]	nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]	GO:0004514; GO:0005737; GO:0005829; GO:0009435; GO:0034628							4263544;	ecj:JW0105;eco:b0109;	EG11546;	
