ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0044283	small molecule biosynthetic process	108	9	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.2.4210,Tb927.3.1840,Tb927.3.3270,Tb927.7.4160,Tb927.7.4970,Tb927.8.6110,	8.3	25.93	43.49	2.32227082873e-11	4.59809624089e-09	4.59809624089e-09
GO:0044281	small molecule metabolic process	364	12	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.11.5440,Tb927.2.4210,Tb927.3.1840,Tb927.3.3270,Tb927.7.4160,Tb927.7.4970,Tb927.8.4430,Tb927.8.5600,Tb927.8.6110,	3.3	10.26	19.41	2.76188523862e-10	2.73426638623e-08	5.46853277246e-08
GO:0046394	carboxylic acid biosynthetic process	62	6	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.3.3270,Tb927.7.4160,Tb927.7.4970,	9.7	30.11	43.41	3.15091113912e-08	1.55970101386e-06	6.23880405545e-06
GO:0016053	organic acid biosynthetic process	62	6	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.3.3270,Tb927.7.4160,Tb927.7.4970,	9.7	30.11	43.41	3.15091113912e-08	1.55970101386e-06	6.23880405545e-06
GO:0005975	carbohydrate metabolic process	78	6	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.2.4210,Tb927.3.3270,Tb927.8.5600,	7.7	23.94	33.69	1.27287602208e-07	3.6931155516e-06	2.52029452371e-05
GO:0046496	nicotinamide nucleotide metabolic process	41	5	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.3.3270,Tb927.8.5600,	12.2	37.95	53.6	1.55449630322e-07	3.6931155516e-06	3.07790268038e-05
GO:0019362	pyridine nucleotide metabolic process	41	5	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.3.3270,Tb927.8.5600,	12.2	37.95	53.6	1.55449630322e-07	3.6931155516e-06	3.07790268038e-05
GO:0019752	carboxylic acid metabolic process	138	7	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.11.5440,Tb927.3.3270,Tb927.7.4160,Tb927.7.4970,	5.1	15.78	22.63	1.74806718307e-07	3.6931155516e-06	3.46117302247e-05
GO:0072524	pyridine-containing compound metabolic process	42	5	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.3.3270,Tb927.8.5600,	11.9	37.04	52.14	1.76077376504e-07	3.6931155516e-06	3.48633205478e-05
GO:0043436	oxoacid metabolic process	141	7	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.11.5440,Tb927.3.3270,Tb927.7.4160,Tb927.7.4970,	5.0	15.45	22.11	2.02636729289e-07	3.6931155516e-06	4.01220723992e-05
GO:0006082	organic acid metabolic process	142	7	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.11.5440,Tb927.3.3270,Tb927.7.4160,Tb927.7.4970,	4.9	15.34	21.95	2.12707150256e-07	3.6931155516e-06	4.21160157507e-05
GO:0072330	monocarboxylic acid biosynthetic process	44	5	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.3.3270,Tb927.7.4160,	11.4	35.36	49.46	2.23825184945e-07	3.6931155516e-06	4.43173866192e-05
GO:0006733	oxidoreduction coenzyme metabolic process	47	5	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.3.3270,Tb927.8.5600,	10.6	33.1	45.9	3.14110448314e-07	4.78414375124e-06	6.21938687661e-05
GO:0032787	monocarboxylic acid metabolic process	57	5	Tb927.10.2010,Tb927.10.2020,Tb927.10.5620,Tb927.3.3270,Tb927.7.4160,	8.8	27.29	37.03	8.39163539463e-07	8.27475166113e-06	0.000166154380814
