Geneid,comparison,genename,bnum
CDS:b0707:ybgA:DUF1722_family_protein:cds695:+:509:NC_000913.3,WT0_WT30.WT30_dRpoS30,ybgA,b0707
CDS:b0897:ycaC:putative_isochorismatase_family_hydrolase:cds877:-:626:NC_000913.3,WT0_WT30.WT30_dRpoS30,ycaC,b0897
CDS:b2207:napD:assembly_protein_for_periplasmic_nitrate_reductase:cds2190:-:263:NC_000913.3,WT0_WT30.WT30_dRpoS30,napD,b2207
"AS_IGR:(CDS,b2265,menF,isochorismate_synthase_2,cds2249,-,1295/CDS,b2266,elaB,putative_membrane-anchored_DUF883_family_ribosome-binding_protein,cds2250,-,305):+:27:NC_000913.3",WT0_WT30.WT30_dRpoS30,NA,NA
CDS:b2266:elaB:putative_membrane-anchored_DUF883_family_ribosome-binding_protein:cds2250:-:305:NC_000913.3,WT0_WT30.WT30_dRpoS30,elaB,b2266
CDS:b2672:ygaM:putative_membrane-anchored_DUF883_family_ribosome-binding_protein:cds2640:+:329:NC_000913.3,WT0_WT30.WT30_dRpoS30,ygaM,b2672
CDS:b3555:yiaG:HTH_CROC1_family_putative_transcriptional_regulator:cds3491:+:290:NC_000913.3,WT0_WT30.WT30_dRpoS30,yiaG,b3555
CDS:b4376:osmY:salt-inducible_putative_ABC_transporter_periplasmic_binding_protein:cds4290:+:605:NC_000913.3,WT0_WT30.WT30_dRpoS30,osmY,b4376
CDS:b0325:yahK:broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing:cds322:+:1049:NC_000913.3,WT0_WT60.WT60_dRpoS60,yahK,b0325
"IGR:(CDS,b0328,yahN,amino_acid_exporter_for_proline%2C_lysine%2C_glutamate%2C_homoserine,cds325,-,671/CDS,b0329,yahO,periplasmic_protein%2C_function_unknown%2C_YhcN_family,cds326,+,275):+:105:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b0329:yahO:periplasmic_protein%2C_function_unknown%2C_YhcN_family:cds326:+:275:NC_000913.3,WT0_WT60.WT60_dRpoS60,yahO,b0329
"IGR:(CDS,b0329,yahO,periplasmic_protein%2C_function_unknown%2C_YhcN_family,cds326,+,275/CDS,b0330,prpR,propionate_catabolism_operon_regulatory_protein,cds327,-,1586):+:36:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b0330:prpR:propionate_catabolism_operon_regulatory_protein:cds327:-:1586:NC_000913.3,WT0_WT60.WT60_dRpoS60,prpR,b0330
CDS:b0384:psiF:PsiF_family_protein:cds377:+:320:NC_000913.3,WT0_WT60.WT60_dRpoS60,psiF,b0384
"IGR:(CDS,b0384,psiF,PsiF_family_protein,cds377,+,320/CDS,b0385,yaiC,diguanylate_cyclase%2C_cellulose_regualtor,cds378,+,1115):+:50:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
"IGR:(CDS,b0452,tesB,acyl-CoA_thioesterase_2,cds444,-,860/CDS,b0453,ybaY,outer_membrane_lipoprotein,cds445,+,572):+:176:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
